# Generate Mapping Tables Script: Version 4 11:06 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:06 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
entrezgene|10537|10537	refseq_dna|NM_001470|NM_001470	hgnc_symbol|UBD|UBD
entrezgene|5328|5328	refseq_dna|NM_001145031|NM_001145031	hgnc_symbol|PLAU|PLAU
entrezgene|5645|5645	refseq_dna|NM_002770|NM_002770	hgnc_symbol|PRSS2|PRSS2
entrezgene|330|330	refseq_dna|NM_001165|NM_001165	hgnc_symbol|BIRC3|BIRC3
entrezgene|5644|5644	refseq_dna|NM_002769|NM_002769	hgnc_symbol|PRSS1|PRSS1
entrezgene|4050|4050	refseq_dna|NM_002341|NM_002341	hgnc_symbol|LTB|LTB
entrezgene|7128|7128	refseq_dna|NM_006290|NM_006290	hgnc_symbol|TNFAIP3|TNFAIP3
entrezgene|154754|154754	refseq_dna|NM_002769|NM_002769	hgnc_symbol|PRSS1 /// TRY6|PRSS1 /// TRY6
entrezgene|7262|7262	refseq_dna|NM_003311|NM_003311	hgnc_symbol|PHLDA2|PHLDA2
entrezgene|10148|10148	refseq_dna|NM_005755|NM_005755	hgnc_symbol|EBI3|EBI3
entrezgene|4914|4914	refseq_dna|NM_001007792|NM_001007792	hgnc_symbol|NTRK1|NTRK1
entrezgene|6352|6352	refseq_dna|NM_002985|NM_002985	hgnc_symbol|CCL5|CCL5
entrezgene|4792|4792	refseq_dna|NM_020529|NM_020529	hgnc_symbol|NFKBIA|NFKBIA
entrezgene|2015|2015	refseq_dna|NM_001974|NM_001974	hgnc_symbol|EMR1|EMR1
entrezgene|355|355	refseq_dna|NM_000043|NM_000043	hgnc_symbol|FAS|FAS
entrezgene|972|972	refseq_dna|NM_001025158|NM_001025158	hgnc_symbol|CD74|CD74
entrezgene|3117|3117	refseq_dna|NM_002122|NM_002122	hgnc_symbol|HLA-DQA1|HLA-DQA1
entrezgene|259307|259307	refseq_dna|NM_152899|NM_152899	hgnc_symbol|IL4I1|IL4I1
entrezgene|51700|51700	refseq_dna|NM_016229|NM_016229	hgnc_symbol|CYB5R2|CYB5R2
entrezgene|1543|1543	refseq_dna|NM_000499|NM_000499	hgnc_symbol|CYP1A1|CYP1A1
entrezgene|25907|25907	refseq_dna|NM_015444|NM_015444	hgnc_symbol|TMEM158|TMEM158
entrezgene|7273|7273	refseq_dna|NM_003319|NM_003319	hgnc_symbol|TTN|TTN
entrezgene|84033|84033	refseq_dna|NM_001098623|NM_001098623	hgnc_symbol|OBSCN|OBSCN
entrezgene|7412|7412	refseq_dna|NM_001078|NM_001078	hgnc_symbol|VCAM1|VCAM1
entrezgene|9294|9294	refseq_dna|NM_004230|NM_004230	hgnc_symbol|S1PR2|S1PR2
entrezgene|5971|5971	refseq_dna|NM_006509|NM_006509	hgnc_symbol|RELB|RELB
entrezgene|5996|5996	refseq_dna|NM_002922|NM_002922	hgnc_symbol|RGS1|RGS1
entrezgene|9308|9308	refseq_dna|NM_001040280|NM_001040280	hgnc_symbol|CD83|CD83
entrezgene|3383|3383	refseq_dna|NM_000201|NM_000201	hgnc_symbol|ICAM1|ICAM1
entrezgene|25801|25801	refseq_dna|NM_012198|NM_012198	hgnc_symbol|GCA|GCA
entrezgene|9235|9235	refseq_dna|NM_001012631|NM_001012631	hgnc_symbol|IL32|IL32
entrezgene|8651|8651	refseq_dna|NM_003745|NM_003745	hgnc_symbol|SOCS1|SOCS1
entrezgene|11226|11226	refseq_dna|NM_007210|NM_007210	hgnc_symbol|GALNT6|GALNT6
entrezgene|1999|1999	refseq_dna|NM_001114309|NM_001114309	hgnc_symbol|ELF3|ELF3
entrezgene|3109|3109	refseq_dna|NM_002118|NM_002118	hgnc_symbol|HLA-DMB|HLA-DMB
entrezgene|115019|115019	refseq_dna|NM_001142600|NM_001142600	hgnc_symbol|SLC26A9|SLC26A9
entrezgene|3561|3561	refseq_dna|NM_000206|NM_000206	hgnc_symbol|IL2RG|IL2RG
entrezgene|4261|4261	refseq_dna|NM_000246|NM_000246	hgnc_symbol|CIITA|CIITA
entrezgene|4791|4791	refseq_dna|NM_001077493|NM_001077493	hgnc_symbol|NFKB2|NFKB2
entrezgene|718|718	refseq_dna|NM_000064|NM_000064	hgnc_symbol|C3|C3
entrezgene|285025|285025	refseq_dna|NM_173648|NM_173648	hgnc_symbol|CCDC141|CCDC141
entrezgene|100132999|100132999	refseq_dna|XM_001722799|XM_001722799	hgnc_symbol|LOC100132999|LOC100132999
entrezgene|6892|6892	refseq_dna|NM_003190|NM_003190	hgnc_symbol|TAPBP|TAPBP
entrezgene|6236|6236	refseq_dna|NM_001128850|NM_001128850	hgnc_symbol|RRAD|RRAD
entrezgene|27074|27074	refseq_dna|NM_014398|NM_014398	hgnc_symbol|LAMP3|LAMP3
entrezgene|2232|2232	refseq_dna|NM_004110|NM_004110	hgnc_symbol|FDXR|FDXR
entrezgene|3119|3119	refseq_dna|NM_002123|NM_002123	hgnc_symbol|HLA-DQB1|HLA-DQB1
entrezgene|114294|114294	refseq_dna|NM_032857|NM_032857	hgnc_symbol|LACTB|LACTB
entrezgene|64319|64319	refseq_dna|NM_001105079|NM_001105079	hgnc_symbol|FBRS|FBRS
entrezgene|780|780	refseq_dna|NM_001954|NM_001954	hgnc_symbol|DDR1|DDR1
entrezgene|9972|9972	refseq_dna|NM_005124|NM_005124	hgnc_symbol|NUP153|NUP153
entrezgene|11074|11074	refseq_dna|NM_007028|NM_007028	hgnc_symbol|TRIM31|TRIM31
entrezgene|121214|121214	refseq_dna|NM_148897|NM_148897	hgnc_symbol|SDR9C7|SDR9C7
entrezgene|1326|1326	refseq_dna|NM_005204|NM_005204	hgnc_symbol|MAP3K8|MAP3K8
entrezgene|9047|9047	refseq_dna|NM_003975|NM_003975	hgnc_symbol|SH2D2A|SH2D2A
entrezgene|3627|3627	refseq_dna|NM_001565|NM_001565	hgnc_symbol|CXCL10|CXCL10
entrezgene|440279|440279	refseq_dna|NM_001080534|NM_001080534	hgnc_symbol|UNC13C|UNC13C
entrezgene|9429|9429	refseq_dna|NM_004827|NM_004827	hgnc_symbol|ABCG2|ABCG2
entrezgene|222029|222029	refseq_dna|NR_026929|NR_026929	hgnc_symbol|DKFZp434L192|DKFZp434L192
entrezgene|2669|2669	refseq_dna|NM_005261|NM_005261	hgnc_symbol|GEM|GEM
entrezgene|8870|8870	refseq_dna|NM_003897|NM_003897	hgnc_symbol|IER3|IER3
entrezgene|22898|22898	refseq_dna|NM_014957|NM_014957	hgnc_symbol|DENND3|DENND3
entrezgene|6376|6376	refseq_dna|NM_002996|NM_002996	hgnc_symbol|CX3CL1|CX3CL1
entrezgene|26166|26166	refseq_dna|NM_015668|NM_015668	hgnc_symbol|RGS22|RGS22
entrezgene|10865|10865	refseq_dna|NM_212481|NM_212481	hgnc_symbol|ARID5A|ARID5A
entrezgene|3108|3108	refseq_dna|NM_006120|NM_006120	hgnc_symbol|HLA-DMA|HLA-DMA
entrezgene|285966|285966	refseq_dna|NM_001130025|NM_001130025	hgnc_symbol|FAM115C|FAM115C
entrezgene|3361|3361	refseq_dna|NM_024012|NM_024012	hgnc_symbol|HTR5A|HTR5A
entrezgene|79668|79668	refseq_dna|NM_024615|NM_024615	hgnc_symbol|PARP8|PARP8
entrezgene|124944|124944	refseq_dna|NM_001142798|NM_001142798	hgnc_symbol|C17orf49|C17orf49
entrezgene|9466|9466	refseq_dna|NM_004843|NM_004843	hgnc_symbol|IL27RA|IL27RA
entrezgene|901|901	refseq_dna|NM_004354|NM_004354	hgnc_symbol|CCNG2|CCNG2
entrezgene|1956|1956	refseq_dna|NM_005228|NM_005228	hgnc_symbol|EGFR|EGFR
entrezgene|4794|4794	refseq_dna|NM_004556|NM_004556	hgnc_symbol|NFKBIE|NFKBIE
entrezgene|3487|3487	refseq_dna|NM_001552|NM_001552	hgnc_symbol|IGFBP4|IGFBP4
entrezgene|285628|285628	hgnc_symbol|LOC285628|LOC285628
entrezgene|1281|1281	refseq_dna|NM_000090|NM_000090	hgnc_symbol|COL3A1|COL3A1
entrezgene|154761|154761	refseq_dna|NR_015421|NR_015421	hgnc_symbol|LOC154761|LOC154761
entrezgene|149233|149233	refseq_dna|NM_144701|NM_144701	hgnc_symbol|IL23R|IL23R
entrezgene|10809|10809	refseq_dna|NM_006645|NM_006645	hgnc_symbol|STARD10|STARD10
entrezgene|1277|1277	refseq_dna|NM_000088|NM_000088	hgnc_symbol|COL1A1|COL1A1
entrezgene|9641|9641	refseq_dna|NM_014002|NM_014002	hgnc_symbol|IKBKE|IKBKE
