Accession No.	Gene Symbol	Gene Name	Reference to Previous HIV-1 Report(s)
N63940	ACHE	Acetylcholinesterase (YT blood group)	-38
AA683578	ADA	Adenosine deaminase	-38
AA455941	APEH	N-acylaminoacyl-peptide hydrolase	-38
AA425102	CCL2	Chemokine (C-C motif) ligand 2	(18,37–39,77)
AA101971	ETS1	V-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	-38
AA410375	GMPR	Guanosine monophosphate reductase	-38
H50114	GRIN2C	Glutamate receptor, ionotropic, N-methyl-D-aspartate 2C	-38
T80846	HAAO	3-Hydroxyanthranilate-3,4-dioxygenase	-38
AA457705	IER3	Immediate early response 3	-39
AI870374	LDOC1	Leucine zipper, down-regulated in cancer 1	-38
R83837	LYN	V-yes-1 Yamaguchi sarcoma viral-related oncogene homolog	(24,39)
H86558	MAD	MAX dimerization protein 1	-38
NM_012219	MRAS	Muscle RAS oncogene homolog	-38
AA872383	MT1E	Metallothionein 1E (functional)	-38
N55459	MT1F	Metallothionein 1F (functional)	-38
H77597	MT1H	Metallothionein 1H	-38
AA446246	NRAS	Neuroblastoma RAS viral (v-ras) oncogene homolog	-39
AI952615	p21	CDKN1A/Waf1/Cip1/Sdi1	-39
AA258001	RELB	V-rel reticuloendotheliosis viral oncogene homolog B, nuclear factor of   light polypeptide gene enhancer in B cells 3 (avian)	-38
AI473336	WISP1	WNT1 inducible signaling pathway protein 1	-37
AA425900	UNG2	Uracil-DNA glycosylase 2	(41,42)
