Gene Symbol	Gene Description	Ref. Sequences	Unigene ID
KPNA2	nuclear localization sequence receptor hSRP1alpha, karyopherin alpha 2 (RAG cohort 1 importin alpha 1)	NM_002266	4504896
HDAC2	transcriptional regulator homolog RPD3 histone deacetylase 2 similar to yeast RPD3	NM_001527	4557640
PRKAB1	5-AMP-activated protein kinase beta-1, non-catalytic subunit	NM_006253	18602783
IMPDH2	inosine monophosphate dehydrogenase (IMPDH2)	NM_000884	4504688
YR-29	hypothetical protein clone YR-29	NM_014886	7662676
CD2BP2	CD2 antigen (cytoplasmic tail)-binding protein 2	NM_006110	5174408
FHL2	heart protein (FHL-2) four and a half LIM domains 2	NM_001450	4503722
DDB2	damage-specific DNA binding protein p48 subunit (DDB2; 48 kD)	NM_000107	4557514
ASNS	asparagine synthetase	NM_001673	4502258
XPA	XPAC protein xeroderma pigmentosum complementation group A	NM_000380	4507936
PLA2G7	LDL-phospholipase A2 phospholipase A2 group VII (platelet-activating factor acetylhydrolase plasma)	NM_005084	4826883
BTBD2	BTB (POZ) domain containing 2 hypothetical protein FLJ20386 EST	NM_017797	8923361
CCNG1	cyclin G1 clone MGC:6	NM_004060	-
PDHB	pyruvate dehydrogenase E1-beta subunit d pyruvate dehydrogenase (lipoamide) beta	NM_000925	4505686
MKI67	mki67a (long type)antigen of monoclonal antibody Ki-67	NM_002417	4505188
TNRC15	KIAA0642 protein trinucleotide repeat containing 15	AL_045800	18550089
RPL17	ribosomal protein L17	NM_000985	14591906
GNG12	DKFZp586B0918 (from clone DKFZp586B0918)	NM_018841	-
RPL17	ribosomal protein L17	NM_000985	14591906
DKC1	Cbf5p homolog (CBF5) dyskeratosis congenita 1 dyskerin nucleolar protein	NM_001363	15011921
DCTN4	dynactin p62 subunit dynactin 4 (p62)	NM_016221	14733974
FLJ20273	RNA-binding protein	NM_019027	9506670
FLJ11323	hypothetical protein EST	NM_018390	8922994
MGC11242	hypothetical protein MGC11242 ESTs	NM_024320	13236560
SRR	serine racemase Homo sapiens cDNA	NM_021947	8922495
ARL3	48c8 ADP-ribosylation factor-like 3 EST	NM_004311	4757773
CCNB2	cyclin B2	NM_004701	10938017
MAD2L1	MAD2 protein MAD2 (mitotic arrest deficient yeast homolog)-like 1	NM_002358	6466452
LIG1	membrane glycoprotein LIG-1d	NM_015541	18554950
PMSCL1	polymyositisscleroderma autoantigen 1 (75 kD) EST	NM_005033	4826921
APBB2	amyloid beta (A4) precursor protein-binding, family B	NM_173075	18557629
