Symbol	Name	Accessions	UniGeneId	GeneId	Overlaps	Score	Found in 1076 patients	Centroid Good	Centroid Poor
MYBL2	V-myb myeloblastosis viral oncogene homolog (avian)-like 2	NM_002466	Hs.179718	4605	11	65	Yes	-0.195597599	0.057792542
MKI67	Antigen identified by monoclonal antibody Ki-67	NM_002417	Hs.80976	4288	7	50	Yes	-0.029682099	0.054902606
MAD2L1	MAD2 mitotic arrest deficient-like 1 (yeast)	NM_002358	Hs.591697	4085	7	47	Yes	-0.004215536	0.135697528
AURKA	Aurora kinase A	NM_198433 NM_003600 NM_198434 NM_198436 NM_198435 NM_198437	Hs.250822	6790	7	46	Yes	-0.047981937	0.066216648
BCL2	B-cell CLL/lymphoma 2	NM_000633 NM_000657	Hs.150749	596	8	45	Yes	0.011838151	-0.141354609
BUB1	BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)	NM_004336	Hs.469649	699	6	44	Yes	-0.051736302	0.027916018
BIRC5	Baculoviral IAP repeat-containing 5 (survivin)	NM_001012271 NM_001168 NM_001012270	Hs.514527	332	8	42	Yes	-0.031296504	0.05492344
ESR1	Estrogen receptor 1	NM_000125	Hs.598504	2099	8	41	No	NA	NA
CENPN	Centromere protein N	NM_018455	Hs.55028	55839	6	41	No	NA	NA
ERBB2	V-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)	NM_001005862 NM_004448	Hs.446352	2064	7	40	Yes	0.053191859	0.186579707
CCNB1	Cyclin B1	NM_031966	Hs.23960	891	6	40	Yes	-0.034419627	0.048346499
NUDT1	Nudix (nucleoside diphosphate linked moiety X)-type motif 1	NM_198949 NM_198952 NM_198954 NM_198948 NM_198950 NM_198953 NM_002452	Hs.534331	4521	6	39	Yes	-0.020423379	0.077976165
MLF1IP	MLF1 interacting protein	NM_024629	Hs.575032	79682	5	39	No	NA	NA
RNASE4	Ribonuclease, RNase A family, 4	NM_194430 NM_002937 NM_194431 NM_001145	Hs.283749	6038	8	38	Yes	0.038859845	-0.038672529
PLK1	Polo-like kinase 1 (Drosophila)	NM_005030	Hs.592049	5347	6	38	No	NA	NA
GGH	Gamma-glutamyl hydrolase (conjugase, folylpolygammaglutamyl hydrolase)	NM_003878	Hs.78619	8836	5	38	Yes	-0.033349075	0.062109991
CKS2	CDC28 protein kinase regulatory subunit 2	NM_001827	Hs.83758	1164	6	37	Yes	-0.042111736	0.032502869
RRM2	Ribonucleotide reductase M2 polypeptide	NM_001034	Hs.226390	6241	6	37	No	NA	NA
CDKN3	Cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase)	NM_005192	Hs.84113	1033	6	36	Yes	-0.044212181	0.116447906
