#Table III. Genes Differentially Expressed between IBC and Non-IBC in Tumor Stroma and Epithelium1					
Gene symbol	GenBank ID	Tumor stroma		Tumor epithelium	
					
					
		Fold-change	p value2	Fold-change	p value2
Expressed at higher levels in IBC					
EDN1	NM_001955	1.76	5.03E-05	1.83	4.74E-05
ZIC1	NM_003412	1.94	3.54E-04	2.35	1.40E-04
Expressed at lower levels in IBC					
AR	NM_000044	0.67	1.79E-03	0.62	3.28E-03
ARMCX3	NM_016607	0.67	9.44E-05	0.61	1.37E-04
BLNK	NM_013314	0.57	3.39E-04	0.56	2.46E-04
Top of Form IGKV clone 25	AW404894	0.38	9.74E-03	0.34	5.07E-03
CADPS2	NM_017954	0.59	3.70E-05	0.62	6.93E-04
DUSP4	NM_001394	0.47	1.01E-02	0.38	4.61E-03
DKFZP686A01247	NM_014988	0.56	2.86E-04	0.46	2.06E-04
		0.58	2.57E-03	0.5	1.47E-03
		0.67	7.27E-04	0.64	6.32E-03
TMEM135	NM_022918	0.66	4.27E-03	0.6	2.44E-03
IGJ	NM_144646	0.46	3.26E-03	0.44	5.30E-03
MAGED2	NM_014599	0.62	1.98E-04	0.6	4.07E-03
		0.7	4.39E-04	0.71	5.35E-03
NUCB2	NM_005013	0.54	2.42E-04	0.49	4.68E-04
PECI	NM_006117	0.64	8.92E-04	0.54	1.04E-03
PSD3	NM_015310	0.43	5.61E-05	0.38	9.02E-05
# 1The cutoff point for genes to be included in the table is p 0.01 for the moderated t-scores in the tumor stroma and tumor epithelium gene lists.					
  #2 Two-sided Welch t-test.					
