UniGeneID	Gene title	Gene symbol	Fold change
Hs.370359	Nuclear factor I .B	NFIB	34.70 +/- 2.83
Hs.553160	Growth factor independent 1B (potential regulator of CDKN1A, translocated in CML)	GFI1B	16.37 +/- 5.31
Hs.15299	Hexamethylene bis-acetamide inducible 1	HEXIM1	14.59 +/- 1.57
Hs.252229	v-Maf musculoaponeurotic fibrosarcoma oncogene homolog G (avian)	MAFG ...LOC644132	11.06 +/- 1.63
Hs.525324	Cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)	CDKN2C	10.31 +/- 1.88
Hs.397465	Homeodomain interacting protein kinase 2	HIPK2	9.51 +/- 2.22
Hs.495728	Pirin (iron-binding nuclear protein)	PIR	8.57 +/- 1.22
Hs.765	GATA-binding protein 1 (globin transcription factor 1)	GATA-1	6.88 +/- 1.17
Hs.119014	Zinc finger protein 175	ZNF175	6.65 +/- 1.46
Hs.356135	Meis1 homolog 3 (mouse) pseudogene 1	MEIS3P1	5.86 +/- 1.48
Hs.593630	General transcription factor IIA, 1, 19 .37 kDa	GTF2A1	5.53 +/- 2.28
Hs.368525	PDZ and LIM domain 1 (elfin)	PDLIM1	5.46 +/- 1.50
Hs.635685	MADS box transcription enhancer factor 2, polypeptide C (myocyte enhancer factor 2C)	MEF2C	4.98 +/- 1.57
Hs.632218	Zinc finger protein, multitype 1 /// FOG-1	ZFPM1	4.92 +/- 1.14
Hs.445272	General transcription factor IIE, polypeptide 1, alpha 56 kDa	GTF2E1	4.29 +/- 1.16
Hs.499205	Iroquois homeobox protein 3	IRX3	4.29 +/- 2.08
Hs.593995	Transcription factor 7-like 2 (T-cell specific, HMG-box)	TCF7L2	-14.59 +/- 1.28
Hs.440829	CCAAT .enhancer-binding protein (C .EBP-, delta	CEBPD	-29.18 +/- 1.53
Hs.533357	Homeobox A5	HOXA5	-47.40 +/- 1.54
Hs.525704	Jun oncogene	JUN	-67.81 +/- 2.18
Hs.473819	v-Ets erythroblastosis virus E26 oncogene homolog (avian)	ERG	-99.27 +/- 2.91
Hs.535845	Runt-related transcription factor 2	RUNX2	-185.25 +/- 3.04
Hs.110637	Homeobox A9	HOXA9	-311.55 +/- 1.60
