Clone ID	Gene symbol	Gene name	CytoBand	Biological function	SAM fold change^a
796904	PLAGL1	Pleiomorphic adenoma gene-like 1	6q24-q25	Cell cycle/proliferation	2.5
249688	CCND2	Cyclin D2	12p13	Cell cycle/proliferation	0.32
204214	CDC6	CDC6 cell division cycle 6 homolog, S. cerevisiae	17q21.3	Cell cycle/proliferation	0.43
324891	DEGS1	Degenerative spermatocyte homolog 1, lipid desaturase	1q42.12	Fatty acid biosynthesis	0.31
357037	CDON	Cell adhesion molecule-related/down-regulated by oncogenes	11q23	Matrix remodelling/cell adhesion	3.3
784337	CXCL12	Chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)	10q11.1	Matrix remodelling/cell adhesion	3.58
810224	MXRA5	Matrix-remodelling associated 5 (adlican)	Xp22.33	Matrix remodelling/cell adhesion	6.27
813823	LUM	Lumican	12q21.3-q2	Matrix remodelling/cell adhesion	4.77
297392	MT1X	Metallothionein 1X	16q13	ROS scavenging	0.42
245990	MT1F	Metallothionein 1F (functional)	16q13	ROS scavenging	0.41
214162	MT1H	Metallothionein 1H	16q13	ROS scavenging	0.41
85634	C1S	Complement component 1, s subcomponent	12p13	Signal transduction	3.14
269246	NF1	Neurofibromin 1	17q11.2	Signal transduction	2.57
501540	ARID5B	AT rich interactive domain 5B (MRF1-like)	10q21.2	Transcription	2.35
813678	SLC1A3	Solute carrier family 1	5p13	Transport	3.8
283398	TM4SF10	Transmembrane protein 47	Xp11.4	Unknown	2.73
196148	MGC33894	Transcript expressed during hematopoiesis 2	17p11.1	Unknown	1.94
785744	ZDHHC5 / MFGE8b	Zinc finger, DHHC domain containing 5 or milk fat globule-EGF factor 8 protein	11q12.1/15q25	Unknown	0.38
