Rank	Gene	Description	UniGene ID	Class correlation	P	Rank in SQ^
1	NICE-4	NICE-4 protein	Hs.8127	Fatal	0.0036	294
2	WEE1	WEE1 homolog	Hs.75188	Fatal	0.0039	148
3	SSBP1	Single-stranded DNA binding protein	Hs.923	Fatal	0.0122	641
4	WFDC2	WAP four-disulfide core domain 2	Hs.2719	Favorable	0.0155	559
5	ACTA2	Actin, alpha 2, smooth muscle, aorta	Hs.195851	Favorable	0.0149	50
6	G22P1	Thyroid autoantigen 70kDa (Ku70)	Hs.197345	Fatal	0.0176	256
7	MST1	Macrophage stimulating 1	Hs.349110	Fatal	0.0153	684
8	PHB	Prohibitin	Hs.75323	Fatal	0.0219	85
9	DRPLA	Dentatorubral-pallidoluysian atrophy	Hs.169488	Fatal	0.0238	749
10	SNRPB	Small nuclear ribonucleoprotein polypeptides B and B1	Hs.83753	Fatal	0.0192	621
11	GJA	Gap junction protein, alpha 1	Hs.74471	Fatal	0.0268	295
12	SFTPC	Surfactant, pulmonary-associated protein C	Hs.1074	Favorable	0.0313	290
