Gene Symbol	SAGE	Oligonuc. Microarray	cDNA microarray	LocusLink ID	Description
ESR1				2099	estrogen receptor 1
GATA3				2625	GATA binding protein 3
HSD17B4				3295	hydroxysteroid (17-beta) dehydrogenase 4
MUC1				4582	mucin 1, transmembrane
MYB				4602	v-myb myeloblastosis viral oncogene homolog (avian)
TGFB3				7043	transforming growth factor, beta 3
XBP1				7494	X-box binding protein 1
BTG2				7832	BTG family, member 2
STARD10				10809	START domain containing 10
RAB31				11031	RAB31, member RAS oncogene family
KIAA0089				23171	KIAA0089 protein
ABCA3				21	ATP-binding cassette, sub-family A (ABC1), member 3
AGR2				10551	anterior gradient 2 homolog (Xenopus laevis)
ALCAM				214	activated leukocyte cell adhesion molecule
ANXA9				8416	annexin A9
AR				367	androgen receptor (dihydrotestosterone receptor; testicular feminization; spinal and bulbar muscular atrophy; Kennedy disease)
AZGP1				563	alpha-2-glycoprotein 1, zinc
BAI2				576	brain-specific angiogenesis inhibitor 2
BBC3				27113	BCL2 binding component 3
BMPR1B				658	bone morphogenetic protein receptor, type IB
C14orf168				83544	chromosome 14 open reading frame 168
C1orf21				81563	chromosome 1 open reading frame 21
C20orf103				24141	chromosome 20 open reading frame 103
HSMNP1				55861	chromosome 20 open reading frame 35
C4A				720	complement component 4A
CaMKIINalpha				55450	calcium/calmodulin-dependent protein kinase II
CCND1				595	cyclin D1 (PRAD1: parathyroid adenomatosis 1)
CELSR2				1952	cadherin, EGF LAG seven-pass G-type receptor 2 (flamingo homolog, Drosophila)
CGI-111				51015	CGI-111 protein
CHAD				1101	chondroadherin
CRIM1				51232	cysteine-rich motor neuron 1
CRIP2				1397	cysteine-rich protein 2
CROT				54677	carnitine O-octanoyltransferase
CSNK1A1				1452	casein kinase 1, alpha 1
CYB5R1				51706	cytochrome b5 reductase 1 (B5R.1)
CYBRD1				79901	cytochrome b reductase 1
DACH				1602	dachshund homolog (Drosophila)
DKFZP564D172				83989	hypothetical protein DKFZp564D172
DLG3				1741	discs, large homolog 3 (neuroendocrine-dlg, Drosophila)
DP1L1				92840	polyposis locus protein 1-like 1
DUSP4				1846	dual specificity phosphatase 4
ECM1				1893	extracellular matrix protein 1
EEF1A2				1917	eukaryotic translation elongation factor 1 alpha 2
EVL				51466	Enah/Vasp-like
FBP1				2203	fructose-1,6-bisphosphatase 1
FER1L3				26509	fer-1-like 3, myoferlin (C. elegans)
