Gene Name	Hs.Unigene ID	Gene Symbol
ADAM metallopeptidase domain 10	Hs.578508	ADAM10
ADAM metallopeptidase domain 11	Hs.6088	ADAM11
ADAM metallopeptidase domain 12 (meltrin alpha)	Hs.655388	ADAM12
ADAM metallopeptidase domain 15 (metargidin)	Hs.312098	ADAM15
ADAM metallopeptidase domain 17 (tumor necrosis factor, alpha, converting enzyme)	Hs.404914	ADAM17
ADAM metallopeptidase domain 19 (meltrin beta)	Hs.483944	ADAM19
ADAM metallopeptidase domain 2 (fertilin beta)	Hs.177959	ADAM2
ADAM metallopeptidase domain 20	Hs.177984	ADAM20
ADAM metallopeptidase domain 22	Hs.592282	ADAM22
ADAM metallopeptidase domain 23	Hs.591643	ADAM23
ADAM metallopeptidase domain 28	Hs.174030	ADAM28
ADAM metallopeptidase domain 29	Hs.126838	ADAM29
ADAM metallopeptidase domain 33	Hs.173716	ADAM33
ADAM metallopeptidase domain 7	Hs.668805	ADAM7
ADAM metallopeptidase domain 8	Hs.501574	ADAM8
ADAM metallopeptidase domain 9 (meltrin gamma)	Hs.591852	ADAM9
ADAM-like, decysin 1	Hs.521459	ADAMDEC1
ADAM metallopeptidase with thrombospondin type 1 motif, 1	Hs.643357	ADAMTS1
ADAM metallopeptidase with thrombospondin type 1 motif, 10	Hs.657508	ADAMTS10
ADAM metallopeptidase with thrombospondin type 1 motif, 12	Hs.481865	ADAMTS12
ADAM metallopeptidase with thrombospondin type 1 motif, 14	Hs.352156	ADAMTS14
ADAM metallopeptidase with thrombospondin type 1 motif, 15	Hs.681791	ADAMTS15
ADAM metallopeptidase with thrombospondin type 1 motif, 18	Hs.188746	ADAMTS18
ADAM metallopeptidase with thrombospondin type 1 motif, 19	Hs.23751	ADAMTS19
ADAM metallopeptidase with thrombospondin type 1 motif, 2	Hs.591725	ADAMTS2
ADAM metallopeptidase with thrombospondin type 1 motif, 20	Hs.287554	ADAMTS20
ADAM metallopeptidase with thrombospondin type 1 motif, 3	Hs.590919	ADAMTS3
ADAM metallopeptidase with thrombospondin type 1 motif, 4	Hs.211604	ADAMTS4
ADAM metallopeptidase with thrombospondin type 1 motif, 5 (aggrecanase-2)	Hs.58324	ADAMTS5
ADAM metallopeptidase with thrombospondin type 1 motif, 7	Hs.16441	ADAMTS7
ADAM metallopeptidase with thrombospondin type 1 motif, 8	Hs.271605	ADAMTS8
ADAMTS-like 1	Hs.522019	ADAMTSL1
ADAMTS-like 2	Hs.522543	ADAMTSL2
ADAMTS-like 3	Hs.459162	ADAMTSL3
ADAMTS-like 4	Hs.516243	ADAMTSL4
ADAMTS-like 5	Hs.371674	ADAMTSL5
Adhesion regulating molecule 1	Hs.90107	ADRM1
Apoptotic peptidase activating factor 1	Hs.552567	APAF1
Amyloid beta (A4) precursor protein (peptidase nexin-II, Alzheimer disease)	Hs.434980	APP
Adipocyte-specific adhesion molecule	Hs.591949	ASAM
Bone marrow stromal cell antigen 1	Hs.169998	BST1
Bone marrow stromal cell antigen 2	Hs.118110	BST2
