# PMID: 12829800
# Description: 553 Genes
# URL: http://genome-www.stanford.edu/breast_cancer/robustness/data/IntrinsicGeneList.txt
# Filename: 12829800-IntrinsicGeneList
CLONEID	NAME
IMAGE:347348	FLJ10700 hypothetical protein FLJ10700 Hs.295909 W81185
IMAGE:156386	FLOT2 flotillin 2 Hs.184488 R72913
IMAGE:338519	SMARCE1 SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1 Hs.332848 W51779
IMAGE:563451	TLK1 tousled-like kinase 1 Hs.18895 AA113347
IMAGE:245198	TRAP100 thyroid hormone receptor-associated protein (100 kDa) Hs.23106 N54470
IMAGE:68400	PPARBP PPAR binding protein Hs.15589 T57034
IMAGE:756253	ERBB2 v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian) Hs.323910 AA480116
IMAGE:236059	GRB7 growth factor receptor-bound protein 7 Hs.86859 H53702
IMAGE:783729	ERBB2 v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian) Hs.323910 AA443351
IMAGE:825577	Homo sapiens mRNA; cDNA DKFZp761B0319 (from clone DKFZp761B0319) Hs.379960 AA504615
IMAGE:782756	TBPL1 TBP-like 1 Hs.13993 AA448001
IMAGE:418240	Homo sapiens mRNA; cDNA DKFZp564O2364 (from clone DKFZp564O2364) Hs.28893 W90240
IMAGE:509823	CEACAM6 carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen) Hs.73848 AA054073
IMAGE:135221	S100P S100 calcium binding protein P Hs.2962 R32848
IMAGE:138936	EPB72 erythrocyte membrane protein band 7.2 (stomatin) Hs.160483 R62817
IMAGE:259905	FLJ10607 hypothetical protein FLJ10607 similar to glucosamine-phosphate N-acetyltransferase Hs.27931 N32919
IMAGE:201288	HNF3G hepatocyte nuclear factor 3, gamma Hs.36137 R99562
IMAGE:50582	Homo sapiens cDNA FLJ39293 fis, clone OCBBF2012678 Hs.351357 H17037
IMAGE:263014	GSTT1 glutathione S-transferase theta 1 Hs.77490 H99813
IMAGE:810463	DKFZp566O084 DKFZP566O084 protein Hs.11411 AA457140
IMAGE:795893	PPP1R15A protein phosphatase 1, regulatory (inhibitor) subunit 15A Hs.76556 AA460168
IMAGE:128302	PTMS parathymosin Hs.171814 R10451
IMAGE:301043	Homo sapiens cDNA FLJ34425 fis, clone HHDPC2008297 Hs.120638 N81017
IMAGE:148800	N33 Putative prostate cancer tumor suppressor Hs.71119 H13424
IMAGE:284100	COLEC12 collectin sub-family member 12 Hs.29423 N53421
IMAGE:213850	FJX1 four jointed box 1 (Drosophila) Hs.39384 H72368
IMAGE:209655	TGFBR3 transforming growth factor, beta receptor III (betaglycan, 300kDa) Hs.342874 H61499
IMAGE:781007	RPL27A ribosomal protein L27a Hs.76064 AA446013
IMAGE:488434	RB1CC1 RB1-inducible coiled-coil 1 Hs.50421 AA047435
IMAGE:23185	TNC tenascin C (hexabrachion) Hs.289114 R39239
IMAGE:271899	PK428 Ser-Thr protein kinase related to the myotonic dystrophy protein kinase Hs.44708 N35241
IMAGE:249755	KIAA1340 KIAA1340 protein Hs.51743 H85476
IMAGE:362729	KIAA0193 KIAA0193 gene product Hs.75137 AA018658
IMAGE:280236	MTMR6 myotubularin related protein 6 Hs.79877 N49192
IMAGE:292731	HBXAP hepatitis B virus x associated protein Hs.20509 N69398
IMAGE:305809	PHCA phytoceramidase, alkaline Hs.23862 N90051
IMAGE:195138	KIAA0205 KIAA0205 gene product Hs.3610 R91263
IMAGE:740457	MGC12685 hypothetical protein MGC12685 Hs.431 AA478036
IMAGE:279152	PRO0149 PRO0149 protein Hs.64056 N46831
IMAGE:361565	GLUD1 glutamate dehydrogenase 1 Hs.77508 AA017175
IMAGE:343744	H1F0 H1 histone family, member 0 Hs.226117 W69399
IMAGE:340558	ARPC5 actin related protein 2/3 complex, subunit 5, 16kDa Hs.82425 W55964
IMAGE:66792	BART1 binder of Arl Two Hs.9552 T64938
IMAGE:487172	B4GALT1 UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1 Hs.198248 AA043795
IMAGE:109153	COPA coatomer protein complex, subunit alpha Hs.75887 T81091
IMAGE:66728	FECH ferrochelatase (protoporphyria) Hs.26 T64893
IMAGE:261836	TCF12 transcription factor 12 (HTF4, helix-loop-helix transcription factors 4) Hs.21704 H98856
IMAGE:325062	SLC20A1 solute carrier family 20 (phosphate transporter), member 1 Hs.78452 W46972
IMAGE:813254	F2R coagulation factor II (thrombin) receptor Hs.128087 AA455910
IMAGE:471498	GNS glucosamine (N-acetyl)-6-sulfatase (Sanfilippo disease IIID) Hs.334534 AA035347
IMAGE:49464	UNG uracil-DNA glycosylase Hs.78853 H15111
IMAGE:50883	MGC2752 hypothetical protein MGC2752 Hs.7845 H18428
IMAGE:324891	DEGS degenerative spermatocyte homolog, lipid desaturase (Drosophila) Hs.185973 W49667
IMAGE:259996	FLJ20481 hypothetical protein FLJ20481 Hs.102500 N32611
IMAGE:49352	ANXA7 annexin A7 Hs.78637 H15446
IMAGE:784224	FGFR4 fibroblast growth factor receptor 4 Hs.165950 AA446876
IMAGE:295564	RAB31 RAB31, member RAS oncogene family Hs.223025 N72559
IMAGE:120881	RAB31 RAB31, member RAS oncogene family Hs.223025 T96082
IMAGE:487831	Homo sapiens cDNA FLJ14059 fis, clone HEMBB1000573 Hs.289047 AA045083
IMAGE:486591	SEMA3C sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C Hs.171921 AA042990
IMAGE:362853	PTK9 protein tyrosine kinase 9 Hs.82643 AA019459
IMAGE:788518	PXMP3 peroxisomal membrane protein 3, 35kDa (Zellweger syndrome) Hs.180612 AA452566
IMAGE:110281	STX7 syntaxin 7 Hs.8906 T71551
IMAGE:165857	INPP4B inositol polyphosphate-4-phosphatase, type II, 105kDa Hs.153687 R86720
IMAGE:271989	FLJ25604 hypothetical protein FLJ25604 Hs.220745 N31935
IMAGE:489031	KIAA1463 KIAA1463 protein Hs.21104 AA057073
