Gene	Accession	Tissue	Function	Fold	Description
AF099143	Mast cells	Others	9.2	Mast cell tryptase beta III
TPS1	AF206665	Mast cells	Cell signaling	6.7	Tryptase, alpha
TPSB1	AF206666	Mast cells	Cell signaling	5.7	Tryptase beta 1
PGDS	NM_014485	Mast cells	Biosynthesis	5.3	Prostaglandin D2 synthase, hematopoietic
CD61	M35999	Megakaryocytes	Others	5	platelet glycoprotein IIIa (GPIIIa)
SFD	NM_000362	Ubiquitous	Cytoskeleton	4.9	Tissue inhibitor of metalloproteinase 3
TPSB2	NM_024164	Mast cells	Cell signaling	4.9	Tryptase beta 2
NAP1	NM_013436	Ubiquitous	Cell signaling	4.8	NCK-associated protein 1
TPS1	NM_003294	Mast cells	Cell signaling	4.4	Tryptase beta 1
GAS3	L03203	Ubiquitous	Cell cycle	4.4	Peripheral myelin protein 22
TPSB1	AF206667	Mast cells	Cell signaling	4.3	Tryptase beta 1
HBGA	NM_000559	Erythrocytes	Transport	4.3	Hemoglobin, gamma A
RH50A	NM_000324	Erythrocytes	Transport	4.3	Rhesus blood group-associated glycoprotein
TPS1	NM_003293	Basophils	Cell signaling	4.2	Tryptase, alpha
TPA	NM_000930	Endothelial cells	Others	4.1	Plasminogen activator, tissue
LOC51266	NM_016509	Dendritic cells	Others	4	C-type lectin-like receptor-2
LTBP1	NM_000627	Ubiquitous	Cell cycle	3.9	Latent transforming growth factor beta binding protein 1
HBD	NM_000519	Erythrocytes	Transport	3.8	Hemoglobin, delta
HBG2	NM_000184	Erythrocytes	Transport	3.8	Hemoglobin, gamma G
SCYB4	NM_002619	Megakaryocyte/platelet	Cell signaling	3.7	Platelet factor 4
MLPH	NM_024101	Melanocytes	Transport	3.7	Melanophilin
MRG1	NM_020149	Early CD34+ hematopoietic cells	Transcription	3.7	Meis (mouse) homologue 2
LAT	AF036906	T lymphocytes	Others	3.6	Linker for activation of T cells
FS	NM_013409	Pituitary	Others	3.6	Follistatin
PAX4	NM_006193	Pancreatic/fetal	Others	3.5	Paired box gene 4
PBT;CD117	NM_000222	Embryonic/hematopoietic stem cells	Others	3.5	V-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homologue
SCAR3	AB020707	Ovary/brain	Others	3.4	WAS protein family, member 3
AGPT	NM_001146	Widely expressed	Others	3.4	Angiopoietin 1
PGDH1	J05594	Widely expressed	Others	3.2	Hydroxyprostaglandin dehydrogenase 15- (NAD)
PRKAR2	NM_002736	Ubiquitous	Cell signaling	3.2	Protein kinase, cAMP-dependent, regulatory, type II, beta
ANGPT2	NM_001174	Ovary, placenta, uterus	Cell signaling	3.1	Rho GTPase activating protein 6
CPA3	NM_001870	Mast cells	Cell signaling	3.1	Carboxypeptidase A3 (mast cell)
KX	NM_021083	Erythroid tissues	Others	3.1	Kell blood group precursor (McLeod phenotype)
ETB	NM_000115	Ubiquitous	Cell signaling	3.1	Endothelin receptor type B
K1;CK1	NM_006121	Epithelial cells	Cytoskeleton	3.1	Keratin 1 (epidermolytic hyperkeratosis)
PHD3	NM_022073	?	Transcription	3	EGL nine (C. elegans) homologue 3
