Accession #	n-fold change in expression d6	n-fold change in expression d8	n-fold change in expression d16	n-fold change in expression d25	n-fold change in expression d30	Gene
NM_008872	-1.21	1.18	1.26	1.58	2.53	plasminogen activator, tissue
NM_023138	3.88	3.46	-1.14	1.04	1.05	mitogen activated protein kinase kinase 2 (Map2k2)
NM_010516	1.9	1.63	-1.2	-1.09	1.37	cysteine rich protein 61 (Cyr61)
NM_008047	1.47	3.27	-1.05	-2.14	-2.06	follistatin-like (Fstl)
NM_009396	1.93	1.62	1.38	1.07	-1.13	tumor necrosis factor, alpha-induced protein 2 (Tnfaip2)
NM_011122	2.67	4.21	-1.05	1.64	2.7	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 1 (Plod1)
NM_011446	-1.54	-1.5	-1.55	2.48	5.53	SRY-box containing gene 7 (Sox7)
NM_010217	1.33	1.96	1.09	1.57	2.03	connective tissue growth factor (Ctgf)
BC013446	1.96	1.19	-1.66	1.84	2.95	parathyroid hormone receptor
NM_011031	-1.25	1.81	1.05	2.04	2.01	procollagen-proline, 2-oxoglutarate 4-dioxygenase, alpha II polypeptide
M88242	-2.06	2.12	2.55	1.11	1.95	glucocortoid-regulated inflammatory prostaglandin GH synthase (griPGHS)
BC024886	-1.09	1.22	-1.16	2.38	2.25	coagulation factor III
NM_011157	-1.4	1.46	-1.36	2.19	2.24	proteoglycan, secretory granule (Prg)
BC015254	1.84	3.34	1.11	-1.37	-1.03	chemokine orphan receptor 1
AA560093	3.46	7.02	-1	3.25	-1.13	receptor (calcitonin) activity modifying protein 2
NM_007761	1.88	1.66	-1.11	1.67	1.45	calcitonin gene-related peptide-receptor component protein (Crcp)
NM_009398	-1.63	-1.1	2.03	-1.34	1.02	tumor necrosis factor induced protein 6 (Tnfip6)
BE952133	2.12	1.83	1.31	-1.72	-2.25	Notch gene homolog 1, (Drosophila)
NM_007436	-1.68	-1.59	1.54	-3.21	5.59	aldehyde dehydrogenase family 3, subfamily A1 (Aldh3a1)
BB732264	2.06	2.35	1.05	-2.1	-1.68	cadherin 2
NM_011111	-3.6	-2.89	4.6	1.22	2.87	plasminogen activator inhibitor, type II
NM_008871	-2.22	1.94	1.57	1.42	1.84	plasminogen activator inhibitor, type I
NM_007811	3.16	1.16	-1.03	1.3	1.62	cytochrome P450, 26, retinoic acid
AU023352	1.03	-1.19	2.23	1.18	-1.15	Janus kinase 2
NM_010014	-1.4	-1.54	1.23	1.9	1.63	disabled homolog 1 (Drosophila) (Dab1)
BB235045	-1.27	1.02	1.99	-1.12	-1.15	leukemia inhibitory factor
NM_008046	1.24	1.43	-1.08	2.14	1.91	follistatin (Fst)
NM_020259	1.46	1.84	1.02	1.47	2.59	Hedgehog-interacting protein (Hhip)
NM_011612	-1.02	-1.2	1.01	1.97	-1.27	tumor necrosis factor receptor superfamily, member 9 (Tnfrsf9)
BB706548	1.74	2.2	1.23	1.02	-1.79	Eph receptor A4
NM_008036	2.19	-1.23	1.2	-1.24	1.11	FBJ osteosarcoma oncogene B (Fosb)
NM_009290	1.66	1.38	-3.3	1.86	1.01	wingless-related MMTV integration site 8A (Wnt8a)
NM_008397	1.56	-1.09	-1.28	1.62	2.41	integrin alpha 6 (Itga6)
NM_009404	1.59	2.8	1.9	1.31	-1.05	tumor necrosis factor (ligand) superfamily, member 9 (Tnfsf9)
AV175389	3.95	6.46	-1.26	-1.72	-1.4	insulin-like growth factor binding protein 3
BB831146	-2.93	-1.3	2.39	-1.16	-1.15	CCAATenhancer binding protein (CEBP), delta
BB667679	2.22	1.67	-1.04	1.04	1.64	Rho-associated coiled-coil forming kinase 1
BC019836	1.86	2.56	1.38	-1.24	-1.13	insulin-like growth factor binding protein 4
K02782	-1.36	-1.07	2.92	-1.08	-1.04	complement component 3
M15525	-1.85	-1.46	-1.26	1.82	2.02	laminin B1
U80011	1.82	2.92	-1.41	-1.2	-1.06	pituitary homeobox 2 isoform a (Pitx2)
BQ044016	1.86	1.67	1.16	-1.12	1.04	enabled homolog (Drosophila)
D17444	1.57	1.79	1.66	2.03	3.52	soluble D-factorLIF receptor
AF179425	1.49	1.8	1.04	1.83	2.1	transcription factor GATA-6 (Gata6)
BM214048	2.09	2.7	-1.02	1.74	2.49	GATA binding protein 6
D61689	-2.2	-1.57	1.35	3.58	-1.53	SOX-LZ
BC021759	2.31	1.17	1.14	-1.4	-1.13	Sp2 transcription factor
L24755	1.32	2.36	1.6	1.05	-1.12	bone morphogenetic protein (Bmp-1)
AW536690	-1.5	-1.01	-1.07	1.81	2.33	procollagen, type IV, alpha 1
BG076079	2.03	2	1.26	-1.01	-1.1	FBJ osteosarcoma oncogene B
BM120341	1.49	2.05	1.07	-1.23	1.56	integrin beta 1 (fibronectin receptor beta)
AW555326	3.47	4.62	-1.03	1.12	2.01	smoothened homolog (Drosophila)
BI690696	2.82	1.71	-1.33	-1.37	-1.1	pre B-cell leukemia transcription factor 1 (Pbx1)
AA833146	5.4	9.16	2.49	-1.16	-1.2	prostaglandin-endoperoxide synthase 1
BB067079	2.57	1.43	1.47	-2.27	-1.01	wingless-related MMTV integration site 5A
AA499047	1.4	3.74	-1.21	-2.59	-1.33	platelet derived growth factor receptor, beta polypeptide
BM202770	2.95	2.4	-1.32	-1.19	-1.01	cysteine rich protein 61
NM_013869	2.14	1.68	1.99	-1.71	-1.38	tumor necrosis factor receptor superfamily, member 19 (Tnfrsf19)
NM_010514	1.26	2.06	-1.04	-2.02	-2.77	insulin-like growth factor 2 (Igf2)
BB269715	3.57	6.44	1.12	1.34	-1.17	hypoxia inducible factor 1, alpha subunit
BI452727	1.83	4.14	-1.2	-2.85	-2.11	follistatin-like
NM_013496	1.95	-1.44	-1.07	-1.12	-2.87	cellular retinoic acid binding protein I (Crabp1)
NM_007394	1.34	1.84	1.19	1.39	1.59	activin A receptor, type 1 (Acvr1)
AV174616	1.82	1.75	-1.12	1.26	-1.06	transducer of ERBB2, 2 (Tob2)
NM_009822	3.67	7.73	1.08	-1.59	-9.63	CBFA2T1 identified gene homolog (human) (Cbfa2t1h)
AB013898	-13.47	-5.05	2.08	-1.15	-1.96	osteoclastogenesis inhibitory factor
NM_013629	1.96	2.35	1.1	1.08	1.18	putative homeodomain transcription factor (Phtf)
NM_017463	3.31	2.38	-1.16	-2.42	1.24	pre B-cell leukemia transcription factor 2 (Pbx2)
BC021640	1.68	1.33	1.87	-1.51	-1.25	mitogen-activated protein kinase 12
BC024960	-1.5	-1.46	1.82	1.94	1.72	prostaglandin E synthase
NM_022415	1.95	2.15	1.98	-1.02	1.49	prostaglandin E synthase (Ptges)
NM_011196	2.33	6.51	1.43	4.79	3.02	prostaglandin E receptor 3 (subtype EP3) (Ptger3)
NM_011926	2.78	2.33	2.47	1.31	-1.15	CEA-related cell adhesion molecule 1 (Ceacam1)
NM_009523	1.62	2.81	1.39	1.05	1.11	wingless-related MMTV integration site 4 (Wnt4)
BI220012	1.44	2.59	1.09	1.6	1.55	Heat shock protein 47, member 1
