Accession number	Fold difference serous vs normals	Fold difference endometrioid component vs normals	Fold difference Sertoli–Leydig vs normals	Gene symbol	Gene name	Function
H65410	2.47 (P < 0.01)	2.19	2.52	ABHD6	Abhydrolase domain containing 6	Metabolism
R16676	0.50 (P < 0.02)	0.34	0.33	NFS1	Nitrogen fixation 1	Metabolism
AA449821	0.47 (P < 0.01)	0.18	0.3	RDH10	Retinol dehydrogenase 10 (all-trans)	Metabolism
H89293	2.12	0.49	0.4	GPD2	Glycerol-3-phosphate dehydrogenase 2 (mitochondrial)	Metabolism
T61792	0.44 (P < 0.01)	0.45	0.43	PDK4	Pyruvate dehydrogenase kinase, isoenzyme 4	Metabolism
AA608558	2.13 (P < 0.02)	2.72	0.34	PFKP	Phosphofructokinase, platelet	Metabolism
H37827	2.53	2.91	5.38	PIPOX	Pipecolic acid oxidase	Metabolism
N72263	3.58 (P < 0.02)	2.34	2.7	NDUFA10	NADH dehydrogenase ubiquinone 10	Metabolism
R00833	2.24	3.07	2.21	SLC2A2/GLUT2	Facilitated glucose transporter	Transporters
W93147	0.46	0.21	0.45	SLC36A1	Solute carrier family 36 (proton/amino acid symporter), member 1	Transporters
H23230	2.8	5.45	2.77	CLCN3	Chloride channel 3	Transporters
AA017200	3.32	2.24	0.49	UBE2D3	Ubiquitin-conjugating enzyme E2D 3	Protein degradation
R85213	2.08	2.05	0.42	UBE3A	Ubiquitin protein ligase E3A	Protein degradation
H63077	2.11	6.9	0.18	ANXA1	Annexin A1	Immune response
AA446344	0.44 (P < 0.02)	0.26	0.34	SLAMF9	CD2F-10/SLAM family member 9	Immune response
H17615	0.45 (P < 0.05)	0.44	0.34	FBLN5	Fibulin 5	Angiogenesis
H92525	0.37	0.16	2.17	CDC2L6	Cell division cycle 2-like 6 (CDK8-like)	Basic RNA transcription, splicing
AA398027	0.41 (P < 0.05)	0.19	0.19	CTDP1	Carboxy-terminal domain, RNA polymerase II, phosphatase, subunit 1	Basic RNA transcription, splicing
H54253	2.1	7.94	4.14	DDX26	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 26	Basic RNA transcription, splicing
H08725	2.61	2.06	0.5	RFP	Ret finger protein	Transcription factors
R39111	2.06	5.32	3.73	EGR3	Early growth response 3	Transcription factors
AA434373	3.86 (P < 0.02)	4.08	2.15	ELF3	E74-like factor 3	Transcription factors
AA418008	0.44 (P < 0.02)	0.19	0.11	GFI1	Growth factor independent 1	Transcription factors
N63770	0.31	2.59	0.28	TFAP2A	Transcription factor AP-2 alpha	Transcription factors
W85881	4.12	9.14	2.49	MYCPBP	C-myc promoter binding protein IRLB	Transcription factors
