Clone	Chromosome Band	Start Position	Genes	No.Tumors
RP11-98C1	2q14	118,783,032	FLJ39081,INSIG2	3
RP11-504L12	2q35	217,012,575	PECR	4
RP11-247E23	2q36	223,880,100		4
RP11-188B21	2q37	233,910,314	TNRC15,KCNJ13	4
RP11-21K1	2q37	235,977,579		3
RP11-116M19	2q37	236,916,706	CENTG2	7
CTB-172I13	2qtel	Telomere		4
RP11-79N22	4p15	18,622,376		3
RP11-194B9	4p15	28,103,518		3
RP11-6L19	4q32	167,513,183	TLL1	3
RP11-252I13	5q21	107,005,165	EFNA5	3
RP11-81C5	5q22-23	115,231,364	APG12L,AP3S1	3
RP11-58F7	7q36	156,989,618	PTPRN2	3
RP11-117P11	8p23	2,057,936	MYOM2	5
RP11-82K8	8p23	2,080,313	MYOM2	3
RP11-246G24	8p23	2,355,758		3
RP11-112G9	8p23	10,038,625	MSRA	3
RP11-254E10	8p23	11,164,156		3
RP11-165O14	9p24	5,873,409	MLANA,KIAA2026,RANBP6	3
CTD-2006L14	9p24	5,892,906	MLANA,KIAA2026,RANBP6	3
RP11-264O11	9p23	10,578,156		9
RP11-109M15	9p22	16,141,129		8
CTB-65D18	9p21	21,958,037	CDKN2A	20
RP11-33O15	9p21	22,823,087		5
RP11-17J8	9p13	34,511,041	UNQ470	4
RP11-165H19	9p13	34,589,621	C9orf23,DCTN3,ARID3C, OPRS1,GALT,IL11RA, CCL27,CCL19,CCL21	3
RP11-61G7	9p13	35,799,611	SPAG8,HINT2	3
RP11-19O14	9q21	68,683,031	TRPM3	3
RP11-8L13	9q21	16,996,818		3
RP11-14J9	9q21	73,221,555		4
