Agilent accession	Genbank accession	Average fold difference	P (n = 3)	Gene description and symbol
A_51_P408346	NM_008329	0.07	7.37E�06	Mus musculus IFN activated gene 204 (Ifi204), mRNA [NM_008329]
A_51_P408595	NM_016960	0.088	0.01	Mus musculus chemokine (C-C motif) ligand 20 (Ccl20), mRNA [NM_016960]
A_51_P377526	NM_009293	0.119	1.59E�05	Mus musculus steroid sulfatase (Sts), mRNA [NM_009293]
A_51_P398723	NM_010228	0.128	0.000491	Mus musculus FMS-like tyrosine kinase 1 (Flt1), mRNA [NM_010228]
A_51_P426096	NM_010810	0.13	0.00523	Mus musculus matrix metalloproteinase 7 (Mmp7), mRNA [NM_010810]
A_51_P293401	AK089315	0.142	0.0077	Mus musculus clone:F730004F21 product: thrombospondin 1, full insert sequence. [AK089315]
A_51_P508510	Z11886	0.15	9.41E�05	Mus musculus notch-1 mRNA. [Z11886]
A_51_P368012	NM_010783	0.15	0.028	Mus musculus MyoD family inhibitor (Mdfi), mRNA [NM_010783]
A_52_P120037	NM_010128	0.152	6.00E�05	Mus musculus epithelial membrane protein 1 (Emp1), mRNA [NM_010128]
A_51_P253279	NM_017383	0.164	0.00354	Mus musculus contactin 6 (Cntn6), mRNA [NM_017383]
A_52_P183088	NM_008714	0.172	0.00152	Mus musculus Notch gene homologue 1 (Drosophila; Notch1), mRNA [NM_008714]
A_52_P618427	NM_011057	0.173	0.0314	Mus musculus platelet derived growth factor, B polypeptide (Pdgfb), mRNA [NM_011057]
A_51_P451338	NM_010588	0.177	0.00135	Mus musculus jagged 2 (Jag2), mRNA [NM_010588]
A_51_P253074	NM_027979	0.193	0.00388	Mus musculus chitinase 1 (chitotriosidase; Chit1), mRNA [NM_027979]
A_51_P463765	NM_011595	0.201	4.71E�05	Mus musculus tissue inhibitor of metalloproteinase 3 (Timp3), mRNA [NM_011595]
A_51_P322265	NM_027817	0.219	0.00268	Mus musculus GRB2-related adaptor protein (Grap), mRNA [NM_027817]
A_51_P302273	NM_007887	0.226	0.000982	Mus musculus deubiquitinating enzyme 1 (Dub1), mRNA [NM_007887]
A_52_P423810	BC027262	0.235	0.000967	Mus musculus metallothionein 1, mRNA (cDNA clone MGC:27821 IMAGE:3483861), complete cds. [BC027262]
