ApplediBiosystems_probeID	Stanford_cDNA_SUID	Agilent_ID	Primary_Gene_ID	Gene_Symbol	Gene Description	GenBank Accession	LocusLink_ID	Expression Level	Overlap with Original Intrinsic Gene List
201462	102064	A_24_P696761	hCG1657430.3			AB096679.1		Up-regulated in Basal-like subtype	N
195456	313780	A_23_P31407	hCG19292.4	AGR2	anterior gradient 2 homolog (Xenopus laevis)	NM_006408.2	10551	down-regulated in Basal-like subtype	N
139546	310609	A_23_P367618	hCG16072.3	ZIC1	Zic family member 1 (odd-paired homolog, Drosophila)	NM_003412.2	7545	Up-regulated in Basal-like subtype	N
135738	117608	A_23_P328545	hCG37750.3	GABRP	gamma-aminobutyric acid (GABA) A receptor, pi	NM_014211.1	2568	Up-regulated in Basal-like subtype	Y
167608	107349	A_23_P127NM_001195.2220	hCG32860.3	DNAJC12	DnaJ (Hsp40) homolog, subfamily C, member 12	NM_201262.1	56521	down-regulated in Basal-like subtype	N
216437	112381	A_32_P199884	hCG39394.4	NOHMA	HORMA domain containing protein	NM_032132.2	84072	Up-regulated in Basal-like subtype	N
120950	227109	A_23_P144668	hCG1758400.1	LOC134147	hypothetical protein BC001573	NM_138809.2	134147	down-regulated in Basal-like subtype	N
123679	313874	A_23_P146456	hCG1746233.2	CTSL2	cathepsin L2	NM_001333.2	1515	Up-regulated in Basal-like subtype	N
194721	118262	A_23_P38830	hCG1773388.2	ZNF552	zinc finger protein 552	NM_024762.2	79818	down-regulated in Basal-like subtype	N
211534	112495	A_23_P134139	hCG19286.2	FABP7	fatty acid binding protein 7, brain	NM_001446.3	2173	Up-regulated in Basal-like subtype	N
203282	310039	A_23_P63232	hCG96731.3	CREB3L4	cAMP responsive element binding protein 3-like 4	NM_130898.2	148327	down-regulated in Basal-like subtype	N
118662	114892	A_23_P80918	hCG1641230.3	ART3	ADP-ribosyltransferase 3	NM_001179.2	419	Up-regulated in Basal-like subtype	N
159341	318561	A_23_P56404	hCG18272.2	EN1	engrailed homolog 1	NM_001426.2	2019	Up-regulated in Basal-like subtype	N
131471	331050	A_24_P269779	hCG1745893.2	CHST3	carbohydrate (chondroitin 6) sulfotransferase 3	AK025251.1	9469	Up-regulated in Basal-like subtype	N
196494	99469	A_23_P434809	hCG1743776.3	S100A8	S100 calcium binding protein A8 (calgranulin A)	NM_002964.3	6279	Up-regulated in Basal-like subtype	N
109356	225146	A_23_P78248	hCG1749891.2	KRT23	keratin 23 (histone deacetylase inducible)	NM_173213.1	25984	Up-regulated in Basal-like subtype	N
199871	114440	A_23_P133712	hCG18762.3	CYP39A1	cytochrome P450, family 39, subfamily A, polypeptide 1	NM_016593.3	51302	Up-regulated in Basal-like subtype	N
127260	224276	A_23_P165778	hCG23030.2	MLPH	melanophilin	NM_024101.4	79083	down-regulated in Basal-like subtype	N
235779	100795	A_24_P166663	hCG2027292	CDK6	cyclin-dependent kinase 6	NM_001259.5	1021	Up-regulated in Basal-like subtype	N
188430	330247	A_23_P122007	hCG1644459.1	LOC90355	hypothetical gene supported by AF038182; BC009203	NM_033211.2	90355	down-regulated in Basal-like subtype	N
100949	117726	A_23_P257296	hCG401265.3	TFF3	trefoil factor 3 (intestinal)	L08044.1	7033	down-regulated in Basal-like subtype	Y
114188	108213	A_23_P143526	hCG401259.3	S100B	S100 calcium binding protein, beta (neural)	NM_006272.1	6285	Up-regulated in Basal-like subtype	N
174203	315658	A_23_P152505	hCG2039397	ABAT	4-aminobutyrate aminotransferase	NM_020686.3	18	down-regulated in Basal-like subtype	N
141686	104297	A_23_P1043	hCG2025279			AK001763.1		Up-regulated in Basal-like subtype	N
100529	118920	A_23_P258463	hCG40703.2	PROM1	prominin 1	NM_006017.1	8842	Up-regulated in Basal-like subtype	N
132759	313814	A_23_P35617	hCG1813991.1	PLCE1	phospholipase C, epsilon 1	AF117948.1	51196	Up-regulated in Basal-like subtype	N
149133	102185	A_23_P134176	hCG34035.3	SOD2	superoxide dismutase 2, mitochondrial	NM_000636.1	6648	Up-regulated in Basal-like subtype	N
178424	115623	A_32_P85676	hCG1811550.1	STK32B	serine/threonine kinase 32B	NM_018401.1	55351	down-regulated in Basal-like subtype	N
136952	309699	A_23_P215790	hCG1811404.2	EGFR	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)	NM_005228.3	1956	Up-regulated in Basal-like subtype	N
151268	224459	A_23_P259692	hCG1984423	PSAT1	phosphoserine aminotransferase 1	NM_058179.2	29968	Up-regulated in Basal-like subtype	N
114901	105356	A_24_P104407	hCG28262.2	DMN	desmuslin	NM_145728.1	23336	Up-regulated in Basal-like subtype	N
187510	117655	A_23_P160377	hCG25678.3	DNALI1	dynein, axonemal, light intermediate polypeptide 1	NM_003462.3	7802	down-regulated in Basal-like subtype	N
198968	98984	A_23_P58132	hCG37394.3	RHOH	ras homolog gene family, member H	NM_004310.2	399	down-regulated in Basal-like subtype	N
224955	221444	A_23_P414913	hCG31372.4	C9orf19	chromosome 9 open reading frame 19	NM_022343.2	152007	Up-regulated in Basal-like subtype	N
211364	106726	A_24_P132006	hCG41754.2	MSX2	msh homeo box homolog 2 (Drosophila)	NM_002449.3	4488	down-regulated in Basal-like subtype	Y
180197	111336	A_23_P401076	hCG1784573.2	SUSD3	sushi domain containing 3	NM_145006.2	203328	down-regulated in Basal-like subtype	N
190304	331009	A_23_P140450	hCG39815.3	SLC27A2	solute carrier family 27 (fatty acid transporter), member 2	NM_003645.2	11001	down-regulated in Basal-like subtype	N
179489	117963	A_23_P392384	hCG30196.2	C9orf58	chromosome 9 open reading frame 58	NM_031426.1	83543	Up-regulated in Basal-like subtype	N
194441	119997	A_23_P233	hCG1981889	FMO5	flavin containing monooxygenase 5	NM_001461.1	2330	down-regulated in Basal-like subtype	Y
120791	221455	A_23_P79360	hCG1646868.3	NOSTRIN	nitric oxide synthase trafficking	NM_052946.2	115677	down-regulated in Basal-like subtype	N
130779	103855	A_23_P94840	hCG16745.3	DNCL2B	dynein, cytoplasmic, light polypeptide 2B	NM_130897.1	83657	down-regulated in Basal-like subtype	N
156379	101636	A_23_P50167	hCG23804.2	SLC39A6; LIV-1	solute carrier family 39 (zinc transporter), member 6	NM_012319.2	25800	down-regulated in Basal-like subtype	Y
179656	225828	A_23_P253896	hCG2030518	LOC255743	hypothetical protein LOC255743	NM_198278.1	255743	down-regulated in Basal-like subtype	N
125158	116796	A_23_P257111	hCG1640493.3	FBP1	fructose-1,6-bisphosphatase 1	NM_000507.2	2203	down-regulated in Basal-like subtype	Y
156624	112279	A_23_P96285	hCG34196.3	C2orf23	chromosome 2 open reading frame 23	NM_022912.1	65055	down-regulated in Basal-like subtype	N
113729	99254	A_23_P94501	hCG17305.3	ANXA1	annexin A1	NM_000700.1	301	Up-regulated in Basal-like subtype	N
161477	120950	A_23_P167159	hCG40511.3	SCRG1	scrapie responsive protein 1	NM_007281.1	11341	Up-regulated in Basal-like subtype	N
101648	307304	A_23_P91230	hCG38367.2	SLPI	secretory leukocyte protease inhibitor (antileukoproteinase)	NM_003064.2	6590	Up-regulated in Basal-like subtype	N
188934	311078	A_23_P88522	hCG27582.3	NMB	neuromedin B	NM_021077.3	4828	Up-regulated in Basal-like subtype	N
163850	221951	A_23_P161352	hCG22547.3	PTPLA	protein tyrosine phosphatase-like (proline instead of catalytic arginine), member a	NM_014241.2	9200	Up-regulated in Basal-like subtype	N
100214	115957	A_24_P81965	hCG1773993.2	RAP2A	RAP2A, member of RAS oncogene family	NM_021033.3	5911	Up-regulated in Basal-like subtype	N
178238	226991	A_23_P380181	hCG23732.3	LMO4	LIM domain only 4	NM_006769.2	8543	Up-regulated in Basal-like subtype	N
183356	117942	A_23_P127495	hCG26492.4	BBOX1	butyrobetaine (gamma), 2-oxoglutarate dioxygenase (gamma-butyrobetaine hydroxylase) 1	NM_003986.1	8424	Up-regulated in Basal-like subtype	N
100384	107636	A_23_P101208	hCG18067.4	CYB5	cytochrome b-5	NM_001914.1	1528	down-regulated in Basal-like subtype	Y
