P-value	Common	Genbank	Description
0.00922			Retired, similar to human GSTA2
0.00914	CTSL2	AB001928	Cathepsin L2
0.00904	ATF3	BC006322	Activating transcription factor 3
0.00904	CDT1	NM_030928	DNA replication factor
0.0085	PCDHB2	AK027526	Protocadherin ß 2
0.00845	DPEP1	J05257	Dipeptidase 1 (renal)
0.00776	VAMP4	NM_003762	Vesicle-associated membrane protein 4
0.00769	GEM	U10550	GTP binding protein overexpressed in skeletal muscle
0.00683	MGC13024	NM_152288	Hypothetical protein MGC13024
0.00683	ST6GalII	NM_032528	ß-galactoside ·-2,6-sialyltransferase II
0.00671	SOX2	NM_003106	SRY (sex determining region Y)-box 2
0.0062	KLF2	AF134053	Kruppel-like factor 2 (lung)
0.00615	GABRE	U66661	Á-aminobutyric acid (GABA) A receptor, epsilon
0.00585	SCGB2A1	AF071219	Secretoglobin, family 2A, member 1
0.00577	HMGB2	X62534	High-mobility group box 2
0.00564	TLR8	AF246971	Toll-like receptor 8
0.00555	CXCL2	BC015753	Chemokine (C-X-C motif) ligand 2
0.00551	CD36	M98398	CD36 antigen
0.00548		NM_152535	Protein of unknown function [133-aa form]
0.00503	KIAA1084	NM_014910	KIAA1084 protein
0.00484	ATP5G3	U09813	ATP synthase, H+ transporting, subunit c, isoform 3
0.00484	CXCL12	NM_000609	Chemokine (C-X-C motif) ligand 12
0.00484	FOS	BC004490	v-fos FBJ murine osteosarcoma viral oncogene
0.00478	FLJ39553	NM_173549	Hypothetical protein FLJ39553
0.00477	SCGB1D2	AJ224172	Secretoglobin, family 1D, member 2
0.00456	PDCD5	BC015519	Programmed cell death 5
0.00445	PRG1	BC015516	Proteoglycan 1, secretory granule
0.00429	HBG2	NM_000184	Hemoglobin, Á G
0.00426	LAMC2	X73902	Laminin, Á 2
0.00419			Protein of unknown function
0.00416	MAGEF1	BC010056	Melanoma antigen, family F, 1
0.00415	MGC12538	NM_032746	Hypothetical protein MGC12538
0.00415	PRSS16	AF052514	Protease, serine, 16 (thymus)
0.0038	MGC1842	BC002924	Hypothetical protein MGC1842
0.0036	PSPH	Y10275	Phosphoserine phosphatase
0.00347	KCP3	NM_173853	Keratinocytes associated protein 3
0.00341	RARRES1	U27185	Retinoic acid receptor responder (tazarotene induced) 1
0.00338	AMELY	M86933	Amelogenin, Y-linked
0.00328	UBL5	AF313915	Ubiquitin-like 5
0.00318	Z39IG	AJ132502	Ig superfamily protein
0.00302	PCDHB5	BC001186	Protocadherin ß 5
