Affy Probe-ID	GenBank Accession Number	Gene Name	When overexpressed
218226_s_at	NM_004547	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 4, 15kDa	Overexpressed Genes in Patients Who Experienced a Tumor Recurrence
216183_at	AL512703		Overexpressed Genes in Patients Who Experienced a Tumor Recurrence
202746_at	AL021786	integral membrane protein 2A	Overexpressed Genes in Patients Who Experienced a Tumor Recurrence
204118_at	NM_001778	CD48 antigen (B-cell membrane protein)	Overexpressed Genes in Patients Who Experienced a Tumor Recurrence
209515_s_at	U38654	RAB27A, member RAS oncogene family	Overexpressed Genes in Patients Who Experienced a Tumor Recurrence
213366_x_at	AV711183	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1	Overexpressed Genes in Patients Who Experienced a Tumor Recurrence
211025_x_at	BC006229	cytochrome c oxidase subunit Vb	Overexpressed Genes in Patients Who Experienced a Tumor Recurrence
205554_s_at	NM_004944	deoxyribonuclease I-like 3	Overexpressed Genes in Patients Who Experienced a Tumor Recurrence
218139_s_at	NM_018229	chromosome 14 open reading frame 108	Overexpressed Genes in Patients Who Experienced a Tumor Recurrence
202511_s_at	AK001899	APG5 autophagy 5-like (S. cerevisiae)	Overexpressed Genes in Patients Who Experienced a Tumor Recurrence
206121_at	NM_000036	adenosine monophosphate deaminase 1 (isoform M)	Overexpressed Genes in Patients Who Experienced a Tumor Recurrence
201339_s_at	NM_002979	sterol carrier protein 2	Overexpressed Genes in Patients Who Experienced a Tumor Recurrence
213415_at	AI768628	chloride intracellular channel 2	Overexpressed Genes in Patients Who Experienced a Tumor Recurrence
202343_x_at	NM_001862	cytochrome c oxidase subunit Vb	Overexpressed Genes in Patients Who Experienced a Tumor Recurrence
200731_s_at	AW165960	protein tyrosine phosphatase type IVA, member 1	Overexpressed Genes in Patients Who Experienced a Tumor Recurrence
213846_at	AA382702	cytochrome c oxidase subunit VIIc	Overexpressed Genes in Patients Who Experienced a Tumor Recurrence
205997_at	NM_021778	a disintegrin and metalloproteinase domain 28	Overexpressed Genes in Patients Who Experienced a Tumor Recurrence
220321_s_at	NM_024584	hypothetical protein FLJ13646	Overexpressed Genes in Patients Who Experienced a Tumor Recurrence
217874_at	NM_003849	succinate-CoA ligase, GDP-forming, alpha subunit	Overexpressed Genes in Patients Who Experienced a Tumor Recurrence
206631_at	NM_000956		Overexpressed Genes in Patients Who Experienced a Tumor Recurrence
216708_x_at	D84143	prostaglandin E receptor 2 (subtype EP2), 53kDa	Overexpressed Genes in Patients Who Experienced a Tumor Recurrence
206369_s_at	AF327656	phosphoinositide-3-kinase, catalytic, gamma polypeptide	Overexpressed Genes in Patients Who Experienced a Tumor Recurrence
208870_x_at	BC000931	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1	Overexpressed Genes in Patients Who Experienced a Tumor Recurrence
216814_at	AL353587	ARP3 actin-related protein 3 homolog (yeast)	Overexpressed Genes in Patients Who Experienced a Tumor Recurrence
205711_x_at	NM_005174	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1	Overexpressed Genes in Patients Who Experienced a Tumor Recurrence
208728_s_at	BC003682	cell division cycle 42 (GTP binding protein, 25kDa)	Overexpressed Genes in Patients Who Experienced a Tumor Recurrence
207080_s_at	NM_004160	peptide YY	Overexpressed Genes in Patients Who Experienced a Tumor Recurrence
204781_s_at	NM_000043	tumor necrosis factor receptor superfamily, member 6	Overexpressed Genes in Patients Who Experienced a Tumor Recurrence
218729_at	NM_020169	latexin protein	Overexpressed Genes in Patients Who Experienced a Tumor Recurrence
215115_x_at	AI613045	neurotrophic tyrosine kinase, receptor, type 3	Overexpressed Genes in Patients Who Experienced a Tumor Recurrence
205546_s_at	NM_003331	tyrosine kinase 2	Overexpressed genes in patients who remained disease-free
221794_at	AI198543	KIAA1395 protein	Overexpressed genes in patients who remained disease-free
209953_s_at	U63131	CDC37 cell division cycle 37 homolog (S. cerevisiae)	Overexpressed genes in patients who remained disease-free
203459_s_at	NM_022575	vacuolar protein sorting 16 (yeast)	Overexpressed genes in patients who remained disease-free
211996_s_at	BG256504		Overexpressed genes in patients who remained disease-free
212137_at	AV746402		Overexpressed genes in patients who remained disease-free
200800_s_at	NM_005345	heat shock 70kDa protein 1A	Overexpressed genes in patients who remained disease-free
217419_x_at	AK021586	agrin	Overexpressed genes in patients who remained disease-free
201553_s_at	NM_005561	lysosomal-associated membrane protein 1	Overexpressed genes in patients who remained disease-free
202027_at	NM_012264	chromosome 22 open reading frame 5	Overexpressed genes in patients who remained disease-free
213460_x_at	N29665	POM121 membrane glycoprotein (rat)	Overexpressed genes in patients who remained disease-free
221850_x_at	AI826075		Overexpressed genes in patients who remained disease-free
212303_x_at	BG026366	KH-type splicing regulatory protein (FUSE binding protein 2)	Overexpressed genes in patients who remained disease-free
212285_s_at	AW008051	agrin	Overexpressed genes in patients who remained disease-free
212454_x_at	AI762552	heterogeneous nuclear ribonucleoprotein D-like	Overexpressed genes in patients who remained disease-free
208890_s_at	BC004542	plexin B2	Overexpressed genes in patients who remained disease-free
212280_x_at	AA532726	autophagin-1	Overexpressed genes in patients who remained disease-free
