ProbeID	Description	GeneBank/RefSeq Id
A_23_P206059	protein regulator of cytokinesis 1	NM_003981
A_23_P201156	nectin-like protein 1	NM_021189
A_23_P157099	anillin, actin binding protein (scraps homolog, Drosophila) A	F273437
A_23_P201322	A	F030427
A_23_P206183	nucleolar protein ANKT A	F305711
A_23_P138507	cell division cycle 2, G1 to S and G2 to M	NM_001786
A_23_P122197	cyclin B1	NM_031966
A_23_P65110	Rac GTPase activating protein 1	NM_013277
A_23_P115872	chromosome 10 open reading frame 3	NM_018131
A_23_P155815	chromosome condensation protein G	NM_022346
A_23_P75071	M-phase phosphoprotein 1	NM_016195
A_23_P131866	serine/threonine kinase 6	NM_003600
A_23_P160934	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E A	Y057381
A_23_P7636	pituitary tumor-transforming 1	NM_004219
A_23_P108463	KIAA1336 protein	NM_020779
A_23_P89509	sperm associated antigen 5	NM_006461
A_23_P48835	kinesin family member 23	NM_138555
A_23_P50108	highly expressed in cancer, rich in leucine heptad repeats	NM_006101
A_23_P127460	signal-induced proliferation-associated gene 1	NM_153253
A_23_P12463	quiescin Q6	NM_002826
A_23_P118815	baculoviral IAP repeat-containing 5 (survivin) B	C000784
A_23_P122216	lysyl oxidase	NM_002317
A_23_P202232	antigen identified by monoclonal antibody Ki-67	X65550
A_23_P18579	pituitary tumor-transforming 2	NM_006607
A_23_P71727	CDC28 protein kinase regulatory subunit 2	NM_001827
A_23_P68610	TPX2, microtubule-associated protein homolog (Xenopus laevis)	NM_012112
A_23_P52017	asp (abnormal spindle)-like, microcephaly associated (Drosophila)	NM_018136
A_23_P401	centromere protein F, 350/400ka (mitosin)	NM_016343
A_23_P82699	T-LAK cell-originated protein kinase A	B027249
A_23_P118834	topoisomerase (DNA) II alpha 170kDa	NM_001067
A_23_P73982	hypothetical protein FLJ10407	NM_018087
A_23_P252335	chromosome 21 open reading frame 45	NM_018944
A_23_P55544	KIAA1983 protein A	B075863
A_23_P200310	hypothetical protein FLJ20354	NM_017779
A_23_P60271	SMC2 structural maintenance of chromosomes 2-like 1 (yeast)	NM_006444
A_23_P155989	leucine zipper protein FKSG14	NM_022145
A_23_P7144	chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)	NM_001511
A_23_P214026	fibrillin 2 (congenital contractural arachnodactyly)	NM_001999
A_23_P143207	ubiquitin-conjugating enzyme E2C B	C016292
A_23_P104372	DnaJ (Hsp40) homolog, subfamily C, member 9	NM_015190
A_23_P210726	cell division cycle 25B	NM_021874
A_23_P205031	collagen, type IV, alpha 2	NM_001846
A_23_P94422	maternal embryonic leucine zipper kinase	NM_014791
A_23_P7679	nucleoporin 155kDa	NM_153485
A_23_P11862	hypothetical protein FLJ10706	NM_018186
A_23_P55769	ubiquitin carrier protein	M91670
A_23_P65757	cyclin B2	NM_004701
A_23_P92441	MAD2 mitotic arrest deficient-like 1 (yeast)	NM_002358
A_23_P74349	cell division cycle associated 1	NM_145697
A_23_P155786	sulfotransferase, estrogen-preferring	NM_005420
A_23_P200866	stathmin 1/oncoprotein 18	NM_005563
A_23_P9571	epithelial cell transforming sequence 2 oncogene B	C006838
A_23_P218827	polymerase (DNA directed), theta	NM_006596
A_23_P156101	karyopherin (importin) beta 2	NM_002270
A_23_P88331	discs, large homolog 7 (Drosophila)	NM_014750
A_23_P214168	collagen, type XII, alpha 1	NM_004370
A_23_P76761	vaccinia related kinase 1 B	C005970
A_23_P124417	BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)	NM_004336
A_23_P167607	thyroid hormone receptor interactor 13 B	C000404
A_23_P125265	karyopherin alpha 2 (RAG cohort 1, importin alpha 1)	NM_002266
A_23_P70249	cell division cycle 25C	NM_001790
A_23_P141362	frizzled homolog 2 (Drosophila)	NM_001466
A_23_P63789	ZW10 interactor	NM_032997
A_23_P7853	calpain 11	NM_007058
A_23_P18196	replication factor C (activator 1) 4, 37kDa	NM_002916
A_23_P252721	deleted in liver cancer 1 A	F026219
A_23_P134176	superoxide dismutase 2, mitochondrial	NM_000636
A_23_P133147	H2A histone family, member Z B	C018002
A_23_P133365	transcription elongation regulator 1 (CA150)	NM_006706
A_23_P138631	chondroitin sulfate proteoglycan 6 (bamacan)	NM_005445
A_23_P75148	OLIGO
A_23_P104651	cell division cycle associated 5	NM_080668
A_23_P34788	kinesin family member 2C	NM_006845
A_23_P149562	PTPL1-associated RhoGAP 1	NM_004815
A_23_P151405	cytoskeleton associated protein 2	NM_018204
A_23_P9232	glucosaminyl (N-acetyl) transferase 1, core 2 (beta-1,6-N-acetylglucosaminyltransferase)	NM_001490
A_23_P155765	high-mobility group box 2	NM_002129
A_23_P88740	uncharacterized bone marrow protein BM039	NM_018455
A_23_P36078	structure specific recognition protein 1	M86737
A_23_P110802	centromere protein H	NM_022909
A_23_P13657	M-phase phosphoprotein 9	NM_022782
