Probe ID	Gene Symbol	Chromosomal Location
202800_at	SLC1A3	chr5p13
203723_at	ITPKB	chr1q42.13
204041_at	MAOB	chrXp11.23
204363_at	F3	chr1p22-p21
205363_at	BBOX1	chr11p14.2
205741_s_at	DTNA	chr18q12
206022_at	NDP	chrXp11.4
207443_at	NR2E1	chr6q21
207455_at	P2RY1	chr3q25.2
209301_at	CA2	chr8q22
209921_at	SLC7A11	chr4q28-q32
210066_s_at	AQP4	chr18q11.2-q12.1
210067_at	AQP4	chr18q11.2-q12.1
210068_s_at	AQP4	chr18q11.2-q12.1
210906_x_at	AQP4	chr18q11.2-q12.1
213395_at	MLC1	chr22q13.33
213618_at	CENTD1	chr4p14
217678_at	SLC7A11	chr4q28-q32
223605_at	SLC25A18	chr22q11.2
226189_at	ITGB8	chr7p15.3
226228_at	AQP4	chr18q11.2-q12.1
227084_at	DTNA	chr18q12
231925_at	P2RY1	chr3q25.2
235795_at	PAX6	chr11p13
238003_at	FLJ25530	chr11q24.2
