Probe set HUFL	Unigene	Name	Symbol	Regulation in ovarian tumours	Ratio	Pa	Classifier of malignancy
X94232_at	Hs.78335	Microtubule-associated protein 2, RP family	RP1/MAPRE2	Down	0.6	2.00E-04	Invasive
X83416_s_at		PrP gene, exon 2	PRP	Up	2.1	1.00E-04	Invasive
X68487_at	Hs.45743	A2b adenosine receptor.	ADORA2B	Down	0.46	2.00E-05	Invasive
U40434_at	Hs.155981	Mesothelin or CAK1 antigen precursor mRNA	MSLN	Up	2.5	2.00E-04	Invasive
U16799_s_at	Hs.78629	Na,K-ATPase beta-1 subunit mRNA	ATPase1	Up	4.5	2.00E-05	Invasive
U15131_at	Hs.79265	p126 (ST5) mRNA, complete cds.	ST-5/HTS1	Down	0.6	2.00E-04	Invasive
U01062_at	Hs.77515	type 3 inositol 1,4,5-trisphosphate receptor (ITPR3)	ITPR3	Up	2.7	2.00E-04	Invasive
M63603_at	Hs.85050	Phospholamban mRNA, complete cds.	PLN	Down	0.3	4.00E-05	Invasive
M16937_at	Hs.819	Homeobox c1 protein; homeobox B7	HoxB7	Up	2.5	1.00E-05	Invasive
HG1612-HT1612_at			MARCKS	Down	0.4	5.00E-05	Invasive
D28137_at	Hs.118110	BST-2	BST-2	Down	0.5	2.00E-04	Invasive
U79275_at	Hs.27414	Human clone 23947 mRNA	HSU79275	Up	2	0.149	LMP
U70671_at	Hs.43509	A2RP; Human ataxin-2 related protein mRNA, partial cds.	A2RP	Down	0.5	0.149	LMP
U60269_cds3_at			U606269	Up	1.5	0.149	LMP
U46006_s_at	Hs.10526	Smooth muscle lim protein	SmLIM	Down	0.6	0.149	LMP
U07664_at		HB9 homeobox gene, exons 2 and 3 and complete cds.	HoxB9	Up	2.5	0.114	LMP
M18700_s_at		Elastase III A gene, exon 8	ELIII	Up	1.9	0.093	LMP
HG830-HT830_at			HG830-Ht830	Up	1.7	0.093	LMP
