Accession number	Gene Name	Gene Symbol	Fold change (treated/control): (30 micromol/L) 3 h	Fold change (treated/control): (30 micromol/L) 6 h	Fold change (treated/control): (100 ?mol/L) 3 h	Fold change (treated/control): (100 ?mol/L) 6 h	Involved in
AA418907	cytochrome P450, family 1, subfamily A, polypeptide 1	CYP1A1	-2.93	-3	-2.89	-6.39	Xenobiotic metabolism
R93124	aldo-keto reductase family 1, member C1 (dihydrodiol dehydrogenase 1)	AKR1C1	1.05	1.6	-1.15	1.18	Xenobiotic metabolism
AA486533	early growth response 1	EGR1	1.11	1.03	2.49	2.3	Gene transcription
AA452909	nuclear receptor subfamily 2, group F, member 1	NR2F1	-1.4	NA1	-1.2	1.83	Gene transcription
N94487	nuclear receptor subfamily 4, group A, member 1	NR4A1	-1.19	1.09	1.45	1.08	Gene transcription
AA448256	metal-regulatory transcription factor 1	MTF1	0.28	0.34	0.09	0.74	Gene transcription
T61948	FBJ murine osteosarcoma viral oncogene homolog B	FOSB	-1.37	1.21	-1.22	-1.62	Gene transcription
AA599176	heterogeneous nuclear ribonucleoprotein A0	HNRPA0	-1.05	-1.31	-1.12	-1.58	Gene transcription
AA733038	polymerase (RNA) I polypeptide C, 30 kDa	POLR1C	-1.22	-1.28	-1.34	-1.73	Gene transcription
AA464970	phospholipase C, beta 2	PLCB2	NA	1.93	1.08	1.05	Signal transduction
AA450205	translocation protein 1	TLOC1	1.15	-1.36	-1.2	-1.62	Protein transport
AA419177	solute carrier family 7, member 5	SLC7A5	-1.27	-1.54	-1.56	-1.99	Transport
AA425451	integrin, alpha E	ITGAE	NA	1.43	1.54	NA	Cell adhesion
AA888148	tubulin, beta 2	TUBB2	-1.25	-1.25	-1.57	-1.97	Cytoskeleton
AA496359	immediate early protein	ETR101	-1.09	-1.02	1.77	1.52	unknown
