Probe set	Influence	SD	z-score	DMFS	Gene Symbol	Gene Title	Function
208905_at	13.03	3.04	4.29	-	CYCS	cytochrome c, somatic	Apoptosis
202731_at	46.15	11.5	4.01	+	PDCD4	programmed cell death 4	Apoptosis
204817_at	36.39	9.77	3.73	-	ESPL1	extra spindle poles like 1	Apoptosis
206150_at	67.6	18.92	3.57	+	TNFRSF7	tumor necrosis factor receptor superfamily, member 7	Apoptosis
38158_at	24.65	7.23	3.41	-	ESPL1	extra spindle poles like 1	Apoptosis
202730_s_at	27.75	8.73	3.18	+	PDCD4	programmed cell death 4	Apoptosis
209539_at	31.06	9.89	3.14	+	ARHGEF6	Rac/Cdc42 guanine nucleotide exchange factor (GEF) 6	Apoptosis
212593_s_at	39.35	12.82	3.07	+	PDCD4	programmed cell death 4	Apoptosis
204947_at	50.65	16.65	3.04	-	E2F1	E2F transcription factor 1	Apoptosis
201111_at	18.77	6.18	3.04	-	CSE1L	CSE1 chromosome segregation 1-like	Apoptosis
201636_at	6.94	2.34	2.97	-	FXR1	fragile X mental retardation, autosomal homolog 1	Apoptosis
204933_s_at	133.57	45.18	2.96	+	TNFRSF11B	tumor necrosis factor receptor superfamily, member 11b	Apoptosis
220048_at	3.61	1.28	2.82	-	EDAR	ectodysplasin A receptor	Apoptosis
210766_s_at	12.5	4.54	2.75	-	CSE1L	CSE1 chromosome segregation 1-like (yeast)	Apoptosis
221567_at	18.12	6.81	2.66	-	NOL3	nucleolar protein 3 (apoptosis repressor with CARD domain)	Apoptosis
213829_x_at	6.73	2.54	2.65	-	TNFRSF6B	tumor necrosis factor receptor superfamily, member 6b, decoy	Apoptosis
201112_s_at	7.18	2.79	2.57	-	CSE1L	CSE1 chromosome segregation 1-like	Apoptosis
212353_at	27.06	10.77	2.51	-	SULF1	sulfatase 1	Apoptosis
208822_s_at	4.48	1.81	2.47	-	DAP3	death associated protein 3	Apoptosis
209831_x_at	6.29	2.59	2.43	+	DNASE2	deoxyribonuclease II, lysosomal	Apoptosis
203187_at	7.63	3.21	2.37	+	DOCK1	dedicator of cytokinesis 1	Apoptosis
209462_at	87.55	36.92	2.37	-	APLP1	amyloid beta (A4) precursor-like protein 1	Apoptosis
210164_at	54.43	23.24	2.34	+	GZMB	granzyme B	Apoptosis
203005_at	4.52	1.98	2.29	-	LTBR	lymphotoxin beta receptor	Apoptosis
209239_at	8.01	3.57	2.24	+	NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 (p105)	Apoptosis
202535_at	14.8	6.72	2.2	-	FADD	Fas (TNFRSF6)-associated via death domain	Apoptosis
209803_s_at	48.69	22.44	2.17	-	PHLDA2	pleckstrin homology-like domain, family A, member 2	Apoptosis
204513_s_at	9.17	4.29	2.14	+	ELMO1	engulfment and cell motility 1 (ced-12 homolog, C. elegans)	Apoptosis
210538_s_at	26.69	12.54	2.13	+	BIRC3	baculoviral IAP repeat-containing 3	Apoptosis
217840_at	3.44	1.62	2.12	-	DDX41	DEAD (Asp-Glu-Ala-Asp) box polypeptide 41	Apoptosis
208402_at	34.33	16.37	2.1	+	IL17	interleukin 17 (cytotoxic T-lymphocyte-associated serine esterase 8)	Apoptosis
214992_s_at	7.2	3.46	2.08	+	DNASE2	deoxyribonuclease II, lysosomal	Apoptosis
209201_x_at	28.29	13.71	2.06	+	CXCR4	chemokine (C-X-C motif) receptor 4	Apoptosis
2028_s_at	2.14	1.06	2.01	-	E2F1	E2F transcription factor 1	Apoptosis
201588_at	1.13	0.56	2.01	-	TXNL1	thioredoxin-like 1	Apoptosis
203836_s_at	6.48	3.29	1.97	+	MAP3K5	mitogen-activated protein kinase kinase kinase 5	Apoptosis
215719_x_at	20.18	10.3	1.96	+	FAS	Fas (TNF receptor superfamily, member 6)	Apoptosis
204817_at	33.18	8.9	3.73	-	ESPL1	extra spindle poles like 1	Regulation of cell cycle
38158_at	22.48	6.6	3.41	-	ESPL1	extra spindle poles like 1	Regulation of cell cycle
214710_s_at	22.24	7.19	3.1	-	CCNB1	cyclin B1	Regulation of cell cycle
201076_at	7.52	2.43	3.09	+	NHP2L1	NHP2 non-histone chromosome protein 2-like 1	Regulation of cell cycle
212426_s_at	7.86	2.55	3.08	-	YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein	Regulation of cell cycle
204009_s_at	7.79	2.53	3.08	-	KRAS	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	Regulation of cell cycle
204947_at	46.18	15.18	3.04	-	E2F1	E2F transcription factor 1	Regulation of cell cycle
201947_s_at	7	2.3	3.04	-	CCT2	chaperonin containing TCP1, subunit 2 (beta)	Regulation of cell cycle
201601_x_at	24.46	8.16	3	+	IFITM1	interferon induced transmembrane protein 1 (9-27)	Regulation of cell cycle
204822_at	42.21	14.49	2.91	-	TTK	TTK protein kinase	Regulation of cell cycle
204015_s_at	71.73	24.75	2.9	+	DUSP4	dual specificity phosphatase 4	Regulation of cell cycle
220407_s_at	17.06	6.36	2.68	+	TGFB2	transforming growth factor, beta 2	Regulation of cell cycle
209096_at	7.11	2.77	2.57	-	UBE2V2	ubiquitin-conjugating enzyme E2 variant 2	Regulation of cell cycle
204826_at	10.95	4.33	2.53	-	CCNF	cyclin F	Regulation of cell cycle
212022_s_at	35.48	14.44	2.46	-	MKI67	antigen identified by monoclonal antibody Ki-67	Regulation of cell cycle
202647_s_at	8.26	3.41	2.42	-	NRAS	neuroblastoma RAS viral (v-ras) oncogene homolog	Regulation of cell cycle
206404_at	26.09	10.98	2.38	+	FGF9	fibroblast growth factor 9 (glia-activating factor)	Regulation of cell cycle
202705_at	25.47	10.74	2.37	-	CCNB2	cyclin B2	Regulation of cell cycle
202870_s_at	25.76	11.32	2.28	-	CDC20	CDC20 cell division cycle 20 homolog (S. cerevisiae)	Regulation of cell cycle
205842_s_at	11.21	4.96	2.26	+	JAK2	Janus kinase 2 (a protein tyrosine kinase)	Regulation of cell cycle
214022_s_at	13.99	6.25	2.24	+	IFITM1	interferon induced transmembrane protein 1 (9-27)	Regulation of cell cycle
211251_x_at	6.21	2.96	2.1	+	NFYC	nuclear transcription factor Y, gamma	Regulation of cell cycle
204014_at	48.13	23.03	2.09	+	DUSP4	dual specificity phosphatase 4	Regulation of cell cycle
212781_at	3.04	1.5	2.02	-	RBBP6	retinoblastoma binding protein 6	Regulation of cell cycle
2028_s_at	1.95	0.97	2.01	-	E2F1	E2F transcription factor 1	Regulation of cell cycle
208079_s_at	120.73	28.59	4.22	-	STK6	serine/threonine kinase 6	Protein amino acid phosphorylation
204092_s_at	62.39	17.05	3.66	-	STK6	serine/threonine kinase 6	Protein amino acid phosphorylation
