Gene name	Gene symbol	Acc number	Up/down	Unrestricted/Drug
4-aminobutyrate aminotransferase	ABAT	BC008990	+	(a)
Serum/glucocorticoid regulated kinase-like	SGKL	H98714	+	(a)
Thyroid hormone receptor interactor 13	TRIP13	AA630784	?	(a)
Interleukin 12A (natural killer cell stimulatory factor 1)	IL12A	AI304577	?	(a)
Hypothetical protein FLJ40629	FLJ40629	AA417744	?	(a)
Dolichyl-diphosphooligosaccharide-protein glycosyltransferase	DDOST	H96437	?	(a)
Arginine-rich, mutated in early stage tumours	ARMET	R91550	?	(a)
RNA binding protein with multiple splicing	RBPMS	W67323	+	(a)
Chromosome 20 open reading frame 129	C20orf129	R96998	?	(a)
ERO1-like (S. cerevisiae)	ERO1L	AA186804	?	(a)
Dolichyl-diphosphooligosaccharide-protein glycosyltransferase	DDOST	H96437	?	(b)
RNA binding protein with multiple splicing	RBPMS	W67323	+	(b)
Cell division cycle 27	CDC27	T81764	+	(b)
Baculoviral IAP repeat-containing 5 (survivin)	BIRC5	AA460859	?	(b)
Oestrogen receptor 1	ESR1	AA291702	+	(b)
V-abl Abelson murine leukemia viral oncogene homolog 1	ABL1	H91096	?	(b)
Fusion (involved in t(12;16) in malignant liposarcoma)	FUS	W67581	+	(b)
X-ray repair complementing defective repair in Chinese hamster cells 1	XRCC1	AA425139	+	(b)
V-raf murine sarcoma viral oncogene homolog B1	BRAF	W88566	?	(b)
Dihydrofolate reductase	DHFR	N52980	?	(b)
