Ensembl ID	Gene name	UniGene no.	Accession no.	Chromosome	Expression in normal tissues by RT-PCR
ENSG00000105549	THEG	Hs.250002	NM_016585	19	Testis only, strong expression, 2 alternative spliced forms
ENSG00000117148	LOC81569	Hs.2149	NM_030812	1	Strong in testis and pancreas, weak in placenta
ENSG00000187262	MGC27005	Hs.460933	NM_152582	X	Testis only, strong expression, 3 alternative spiced forms
ENSG00000160505	NALP4	Hs.351637	NM_134444	19	Strong in testis and ovary, weak in pancreas
ENSG00000133247	COXVIB2	Hs.329540	NM_144613	19	Strong in testis, weak in thymus, heart
NA	LOC348120	Hs.116287	BC047459	15	Testis only, 2 alternative spliced forms
ENSG00000140481	FLI32855	Hs.383206	NM_182791	15	Strong in testis, lung, moderate in placenta, weak in ovary
ENSG00000023728	LOC196993	Hs.97823	BC048128	15	Testis only, strong expression
ENSG00000166049	LOC139135	Hs.160594	NM_173493	X	Testis only, strong expression
NA	IMAGE: 164099	Hs.408584	BX103208	3	Testis only, strong expression
ENSG00000104804	TULP2	Hs.104636	NM_003323	19	Testis only, strong expression
ENSG00000013526	IMAGE: 1471044	Hs.362492	AA884595	7	Testis only, strong expression
ENSG00000024371	FLI25339	Hs.411239	BC057843	16	Testis only, strong expression, 2 alternative spliced forms
ENSG00000151962	MGC271016	Hs.133095	NM_144979	4	Testis only, strong expression
NA	IMAGE: 4837072	Hs.371922	BC040308	6	Testis only, strong expression
NA	IMAGE: 5173800	Hs.121221	BI818097	9	Strong in testis, weak in pancreas
ENSG00000101448	SPINLW1	Hs.121084	NM_181502	20	Testis only, strong expression
ENSG00000178093	SSTK	Hs.367871	NM_032037	19	Strong in testis, weak () in multiple tissues
ENSG00000168594	ADAM29	Hs.126836	NM_014269	4	Testis only, strong expression
ENSG00000173421	LOC339834	Hs.383008	NM_178173	3	Testis only, strong expression
