Rank	Symbol	UniGene ID	GeneId	Overlaps	Score
1	MYBL2	Hs.179718	4605	11	65
2	MKI67	Hs.80976	4288	7	50
3	MAD2L1	Hs.591697	4085	7	47
4	AURKA	Hs.250822	6790	7	46
5	BCL2	Hs.150749	596	8	45
6	BUB1	Hs.469649	699	6	44
7	BIRC5	Hs.514527	332	8	42
8	ESR1	Hs.598504	2099	8	41
8	CENPN	Hs.55028	55839	6	41
10	ERBB2	Hs.446352	2064	7	40
10	CCNB1	Hs.23960	891	6	40
12	NUDT1	Hs.534331	4521	6	39
12	MLF1IP	Hs.575032	79682	5	39
14	RNASE4	Hs.283749	6038	8	38
14	PLK1	Hs.592049	5347	6	38
14	GGH	Hs.78619	8836	5	38
17	CKS2	Hs.83758	1164	6	37
17	RRM2	Hs.226390	6241	6	37
19	CDKN3	Hs.84113	1033	6	36
19	MCM4	Hs.460184	4173	5	36
21	C16orf61	Hs.388255	56942	5	35
21	DLG7	Hs.77695	9787	5	35
23	H2AFZ	Hs.119192	3015	6	34
23	KPNA2	Hs.594238	3838	5	34
23	PFKP	Hs.26010	5214	5	34
