ID	Name	Symbol	Accession	UniGene	Gene	Ensembl	aveA	P400vsEGFP.M	P400vsEGFP.AdjP	P400vsEGFP.FDR	P400vsEGFP.B	Description	Coordinates	A	D	C	B
A_52_P615247	RIKEN cDNA A530040E14 gene	A530040E14Rik	NM_001037910	Mm.360513	621875	ENSMUST00000096862	12.421	5.039	0.001	0	9.997	Mus musculus RIKEN cDNA A530040E14 gene (A530040E14Rik), mRNA [NM_001037910]	chr1:85211532-85211473	5.063	-5.091	5.41	-4.594
A_51_P136390	zinc finger protein 352	Zfp352	NM_153102	Mm.214642	236537	ENSMUST00000094971	10.056	4.726	0	0	10.895	Mus musculus zinc finger protein 352 (Zfp352), mRNA [NM_153102]	chr4:89617872-89617931	4.48	-4.802	5.038	-4.583
A_51_P120645	RIKEN cDNA 2300006N05 gene	2300006N05Rik	NM_027087	Mm.158279	69464		10.473	4.569	0	0	12.307	Mus musculus RIKEN cDNA 2300006N05 gene (2300006N05Rik), mRNA [NM_027087]	chr11:99912719-99912660	4.47	-4.718	4.647	-4.439
A_51_P483617	RIKEN cDNA 0610040J01 gene	0610040J01Rik	NM_029554	Mm.38143	76261	ENSMUST00000081747	12.098	4.391	0.004	0	8.169	Mus musculus RIKEN cDNA 0610040J01 gene (0610040J01Rik), mRNA [NM_029554]	chr5:63253439-63253498	4.086	-4.627	4.859	-3.993
A_52_P302671	gene model 397, (NCBI)	Gm397	NM_001013765	Mm.131747	245109	ENSMUST00000067210	14.719	4.377	0.177	0	4.279	Mus musculus gene model 397, (NCBI) (Gm397), mRNA [NM_001013765]	chr7:9713271-9713330	3.392	-4.796	5.222	-4.1
A_52_P597818	cDNA sequence AF067063	AF067063	NM_001001449	Mm.327311	380878		11.046	4.323	0.004	0	8.344	Mus musculus cDNA sequence AF067063 (AF067063), mRNA [NM_001001449]	chrUn_random:943387-943328	3.971	-4.376	4.863	-4.084
A_51_P141413	macrophage galactose N-acetyl-galactosamine specific lectin 1	Mgl1	NM_010796	Mm.252405	17312	ENSMUST00000000327	9.624	4.308	0.002	0	9.032	Mus musculus macrophage galactose N-acetyl-galactosamine specific lectin 1 (Mgl1), mRNA [NM_010796]	chr11:70252304-70252363	4.297	-4.484	4.621	-3.829
A_52_P165856	2-cell-stage, variable group, member 3	Tcstv3	NM_153523	Mm.376032	236219	ENSMUST00000100281	14.336	4.303	0.048	0	5.709	Mus musculus 2-cell-stage, variable group, member 3 (Tcstv3), mRNA [NM_153523]	chrUn_random:000304834-000304775	3.553	-4.472	5.053	-4.135
A_52_P390685	hypothetical protein LOC433719	NA	NM_001013393	Mm.348294	433719	ENSMUST00000084480	11.624	4.21	0.023	0	6.461	Mus musculus hypothetical protein LOC433719 (LOC433719), mRNA [NM_001013393]	chr4:72835567-72835508	3.629	-4.468	4.833	-3.912
A_51_P302273	deubiquitinating enzyme 1	Dub1	NM_007887	Mm.389929	13531	ENSMUST00000067695	13.553	4.207	0.036	0	6.01	Mus musculus deubiquitinating enzyme 1 (Dub1), mRNA [NM_007887]	chr7:100918944-100919002	3.591	-4.629	4.776	-3.833
A_52_P82741	heat shock protein 1A	Hspa1a	NM_010479	Mm.6388	193740		11.784	4.169	0.001	0	9.784	Mus musculus heat shock protein 1A (Hspa1a), mRNA [NM_010479]	chr17:33066970-33066911	4.31	-4.102	4.458	-3.807
A_51_P514161	similar to Eukaryotic translation initiation factor 1A (eIF-1A) (eIF-4C)	LOC435337	NM_001013824	Mm.423010	435337	ENSMUST00000101168	14.252	4.077	0.042	0	5.836	Mus musculus similar to Eukaryotic translation initiation factor 1A (eIF-1A) (eIF-4C) (LOC435337), mRNA [NM_001013824]	chrUn_random:9213509-9213568	3.423	-4.195	4.807	-3.882
A_52_P398730	expressed sequence AA792892	AA792892	NM_178894	Mm.327439	100554	ENSMUST00000101711	9.878	4.073	0.002	0	8.787	Mus musculus expressed sequence AA792892 (AA792892), mRNA [NM_178894]	chr5:93987338-93987397	3.855	-4.436	4.284	-3.719
A_52_P1045316	gene model 428, (NCBI)	Gm428	AK139501	Mm.331671	242502		13.903	4.056	0.015	0	6.905	Mus musculus 2 cells egg cDNA, RIKEN full-length enriched library, clone:B020001K06 product:hypothetical Homeodomain-like containing protein, full insert sequence. [AK139501]	chr4:73106027-73106086	3.841	-4.166	4.672	-3.546
A_52_P499640	RIKEN cDNA A530032D15Rik gene	A530032D15Rik	NM_213615	Mm.386456	381287	ENSMUST00000069485	8.044	4.05	0.002	0	8.863	Mus musculus RIKEN cDNA A530032D15Rik gene (A530032D15Rik), mRNA [NM_213615]	chr1:85236606-85236665	3.77	-4.515	3.854	-4.06
A_52_P374897	arginase type II	Arg2	NM_009705	Mm.3506	11847	ENSMUST00000021550	9.849	4.039	0.008	0	7.617	Mus musculus arginase type II (Arg2), mRNA [NM_009705]	chr12:77110462-77110521	3.583	-4.052	4.6	-3.922
A_52_P573898	expressed sequence AU018829	AU018829	NM_001031622	Mm.380049	545762	ENSMUST00000101112	9.811	4.013	0.006	0	7.776	Mus musculus expressed sequence AU018829 (AU018829), mRNA [NM_001031622]	chr5:75714968-75714909	3.686	-4.125	4.543	-3.7
A_51_P170565	RIKEN cDNA 4933411G11Rik gene	4933411G11Rik	NM_177880	Mm.255752	330228	ENSMUST00000031574	8.224	4	0.003	0	8.543	Mus musculus RIKEN cDNA 4933411G11Rik gene (4933411G11Rik), mRNA [NM_177880]	chr5:142237922-142237981	3.72	-4.475	4.054	-3.75
A_51_P117952	heat shock protein 1A	Hspa1a	NM_010479	Mm.6388	193740		11.539	3.973	0.001	0	9.986	Mus musculus heat shock protein 1A (Hspa1a), mRNA [NM_010479]	chr17:33067000-33066941	4.149	-3.875	4.205	-3.661
A_52_P58024	similar to THO complex subunit 4 (Tho4) (RNA and export factor binding protein 1) (REF1-I) (Ally of AML-1 and LEF-1) (Aly/REF)	LOC627520	XR_002833	Mm.339215	627520	ENSMUST00000095318	16.255	3.958	1	0.001	1.944	PREDICTED: Mus musculus hypothetical LOC627520 (LOC627520), mRNA [XR_002833]	chr10:103657002-103657061	4.352	-3.292	5.241	-2.947
A_52_P664853	colony stimulating factor 2 receptor, beta 1, low-affinity (granulocyte-macrophage)	Csf2rb1	NM_007780	Mm.235324	12983	ENSMUST00000096355	10.67	3.92	0.006	0	7.904	Mus musculus colony stimulating factor 2 receptor, beta 1, low-affinity (granulocyte-macrophage) (Csf2rb1), mRNA [NM_007780]	chr15:78429378-78429640	3.572	-4.063	4.402	-3.642
A_52_P618671			TC1536985		NA		9.299	3.913	0.001	0	9.209	Q69ZD5 (Q69ZD5) MKIAA1680 protein (Fragment), partial (26%) [TC1536985]	chr6:61788672-61788731	3.51	-4.207	4.041	-3.895
A_52_P2540	similar to Eukaryotic translation initiation factor 1A (eIF-1A) (eIF-4C)	LOC435337	NM_001013824	Mm.423010	435337	ENSMUST00000101170	14.927	3.881	0.017	0	6.784	Mus musculus similar to Eukaryotic translation initiation factor 1A (eIF-1A) (eIF-4C) (LOC435337), mRNA [NM_001013824]	chrUn_random:9213059-9213544	3.276	-4.283	4.221	-3.744
A_51_P231820	RIKEN cNDA C130026I21 gene	C130026I21Rik	AK047983	Mm.372785	75307		8.344	3.873	0	0	11.192	Mus musculus 16 days embryo head cDNA, RIKEN full-length enriched library, clone:C130026I21 product:hypothetical Sp100 domain containing protein, full insert sequence. [AK047983]	chr1_random:7876325-7876266	3.814	-3.858	4.111	-3.71
A_52_P520607	ankyrin repeat domain 22	Ankrd22	NM_024204	Mm.183030	52024		8.731	3.831	0.002	0	8.961	Mus musculus ankyrin repeat domain 22 (Ankrd22), mRNA [NM_024204]	chr19:33824285-33824226	3.504	-4.164	4.006	-3.65
A_52_P363843	gene model 397, (NCBI)	Gm397	NM_001013765	Mm.131747	245109	ENSMUST00000067210	13.263	3.831	0.046	0	5.733	Mus musculus gene model 397, (NCBI) (Gm397), mRNA [NM_001013765]	chr7:9711998-9712057	3.12	-4.389	4.121	-3.695
A_51_P466229	platelet-derived growth factor receptor-like	Pdgfrl	NM_026840	Mm.284246	68797	ENSMUST00000034004	11.899	3.752	0	0	11.259	Mus musculus platelet-derived growth factor receptor-like (Pdgfrl), mRNA [NM_026840]	chr8:39774192-39774252	3.735	-3.928	3.794	-3.549
A_51_P297346	secretory carrier membrane protein 1	Scamp1	NM_029153	Mm.201455	107767	ENSMUST00000022197	10.781	3.752	0.004	0	8.331	Mus musculus secretory carrier membrane protein 1 (Scamp1), mRNA [NM_029153]	chr13:91267009-91266950	3.495	-3.734	4.238	-3.542
A_52_P512201	RIKEN cDNA 5830484A20 gene	5830484A20Rik	NM_175397	Mm.335802	109032	ENSMUST00000093508	10.76	3.751	0.003	0	8.385	Mus musculus RIKEN cDNA 5830484A20 gene (5830484A20Rik), mRNA [NM_175397]	chr8_random:4195156-4195097	3.727	-3.681	4.204	-3.392
A_52_P356073	DNA segment, Chr 5, ERATO Doi 577, expressed	D5Ertd577e	NM_177187	Mm.348793	320549	ENSMUST00000094593	8.567	3.745	0.008	0	7.565	Mus musculus DNA segment, Chr 5, ERATO Doi 577, expressed (D5Ertd577e), mRNA [NM_177187]	chr5:94356131-94356072	3.222	-4.085	4.004	-3.667
A_51_P143200	2-cell-stage, variable group, member 3	Tcstv3	NM_153523	Mm.376032	236219		11.229	3.743	0.015	0	6.884	Mus musculus 2-cell-stage, variable group, member 3 (Tcstv3), mRNA [NM_153523]	chrUn_random:917922-917863	3.659	-3.616	4.37	-3.325
A_52_P66425	2-cell-stage, variable group, member 1	Tcstv1	NM_018756	Mm.302175	54382		14.27	3.74	0.119	0	4.714	Mus musculus 2-cell-stage, variable group, member 1 (Tcstv1), mRNA [NM_018756]	chrUn_random:000304799-000304741	3.292	-3.577	4.68	-3.412
A_52_P337821	similar to Eukaryotic translation initiation factor 1A (eIF-1A) (eIF-4C)	LOC544881	AK146348	Mm.368089	544881	ENSMUST00000101170	14.591	3.73	0.009	0	7.455	Mus musculus TIB-55 BB88 cDNA, RIKEN full-length enriched library, clone:I730059C09 product:Eukaryotic translation initiation factor 1A homolog [Mus musculus], full insert sequence. [AK146348]	chrUn_random:11321199-11321140	3.385	-4.291	3.726	-3.519
A_51_P481777	2-cell-stage, variable group, member 1	Tcstv1	NM_018756	Mm.302175	54382	ENSMUST00000075819	14.607	3.673	0.074	0	5.233	Mus musculus 2-cell-stage, variable group, member 1 (Tcstv1), mRNA [NM_018756]	chrUn_random:000918116-000918057	3.51	-3.414	4.519	-3.248
A_52_P648246	similar to THO complex subunit 4 (Tho4) (RNA and export factor binding protein 1) (REF1-I) (Ally of AML-1 and LEF-1) (Aly/REF)	LOC435616	XM_487586	Mm.386957	435616	ENSMUST00000088301	12.937	3.641	0.005	0	7.929	PREDICTED: Mus musculus similar to THO complex subunit 4 (Tho4) (RNA and export factor binding protein 1) (REF1-I) (Ally of AML-1 and LEF-1) (Aly/REF), transcript variant 1 (LOC435616), mRNA [XM_487586]	chr1:31221884-31221825	3.392	-3.794	4.068	-3.308
A_52_P547251	zinc finger protein 560	Zfp560	AK009475	Mm.379669	434377		10.855	3.622	0.004	0	8.337	Mus musculus adult male tongue cDNA, RIKEN full-length enriched library, clone:2310022J22 product:kit ligand, full insert sequence. [AK009475]	chr10:99659310-99659369	3.41	-3.738	4.028	-3.313
A_52_P508229	similar to transcription elongation factor B polypeptide 3 binding protein 1 isoform 1	LOC619649	XR_004426	Mm.16926	619649		11.239	3.596	0.002	0	8.992	PREDICTED: Mus musculus similar to transcription elongation factor B polypeptide 3 binding protein 1 isoform 1 (LOC619649), mRNA [XR_004426]	chrUn_random:9597927-9597868	3.584	-3.695	3.888	-3.217
A_52_P17466			TC1479199		NA		8.825	3.57	0.002	0	9.048	Q7TPY4 (Q7TPY4) LOC384077 protein (Fragment), partial (5%) [TC1479199]	chr8_random:4395338-4395279	3.266	-3.932	3.585	-3.497
A_52_P609778	monoglyceride lipase	Mgll	NM_011844	Mm.272197	23945	ENSMUST00000079809	10.201	3.567	0.001	0	9.853	Mus musculus monoglyceride lipase (Mgll), mRNA [NM_011844]	chr6:88898474-88900777	3.379	-3.689	3.828	-3.375
A_51_P279616	RIKEN cDNA A430089I19 gene	A430089I19Rik	NM_177913	Mm.26025	331195	ENSMUST00000086953	11.099	3.565	0.163	0	4.369	Mus musculus RIKEN cDNA A430089I19 gene (A430089I19Rik), mRNA [NM_177913]	chr5:94572651-94572710	2.895	-4.296	3.886	-3.185
A_51_P139920	monoglyceride lipase	Mgll	NM_011844	Mm.272197	23945	ENSMUST00000089449	10.397	3.557	0.006	0	7.822	Mus musculus monoglyceride lipase (Mgll), mRNA [NM_011844]	chr6:88903385-88903444	3.247	-3.821	3.903	-3.258
A_52_P77234	deubiquitinating enzyme 1a	Dub1a	NM_201409	Mm.334094	381944		10.184	3.557	0.029	0	6.249	Mus musculus deubiquitinating enzyme 1a (Dub1a), mRNA [NM_201409]	chr7:100896784-100896719	3.218	-3.636	4.19	-3.186
A_52_P106585	zinc finger protein 352	Zfp352	NM_153102	Mm.214642	236537	ENSMUST00000094971	8.72	3.525	0	0	11.356	Mus musculus zinc finger protein 352 (Zfp352), mRNA [NM_153102]	chr4:89617356-89617415	3.38	-3.698	3.55	-3.472
A_51_P473953	RIKEN cDNA 4631416L12 gene	4631416L12Rik	XM_887737	Mm.153974	622434		10.059	3.524	0.002	0	8.82	PREDICTED: Mus musculus RIKEN cDNA 4631416L12 gene, transcript variant 1 (4631416L12Rik), mRNA [XM_887737]	chr3:62606559-62606618	3.297	-3.419	3.942	-3.438
A_52_P618852	eukaryotic translation initiation factor 1A	Eif1a	AK139584	Mm.379796	13664		13.272	3.517	0.008	0	7.56	Mus musculus 2 cells egg cDNA, RIKEN full-length enriched library, clone:B020005J11 product:Eukaryotic translation initiation factor 1A homolog [Mus musculus], full insert sequence. [AK139584]	chr12:85603037-85602978	3.173	-3.962	3.668	-3.265
A_52_P471812	similar to SP140 nuclear body protein (predicted)	LOC545342	XM_001004177		545342		8.527	3.504	0.012	0	7.119	PREDICTED: Mus musculus similar to SP140 nuclear body protein (predicted) (LOC545342), mRNA [XM_001004177]	chr1:85544405-85545710	2.938	-3.86	3.633	-3.583
A_51_P396215			ENSMUST00000067307	Mm.376946	NA	ENSMUST00000067307	8.498	3.492	0.023	0	6.491	PREDICTED: Mus musculus RIKEN cDNA C130092O11 gene (C130092O11Rik), mRNA [XM_989610]	chr6:61779402-61779461	3.172	-3.561	4.088	-3.145
A_52_P662142	cDNA sequence BC061212	BC061212	NM_198667	Mm.425002	381724	ENSMUST00000087149	11.582	3.484	0.222	0	4.029	Mus musculus cDNA sequence BC061212 (BC061212), mRNA [NM_198667]	chr5:94053795-94053736	2.759	-3.894	4.173	-3.11
A_51_P318182	hypothetical protein LOC665756	LOC665756	XM_979235	Mm.410765	665756		10.866	3.449	0.001	0	9.531	PREDICTED: Mus musculus hypothetical protein LOC665756 (LOC665756), mRNA [XM_979235]	chrUn_random:10091116-10091057	3.312	-3.575	3.713	-3.198
A_51_P151070			AK046642		NA		10.146	3.433	0.017	0	6.773	Mus musculus 4 days neonate male adipose cDNA, RIKEN full-length enriched library, clone:B430216N15 product:hypothetical protein, full insert sequence. [AK046642]	chr19:22838813-22838754	3.232	-3.891	3.641	-2.969
A_52_P466542	expressed sequence BB114266	BB114266	NM_172763	Mm.290849	235047	ENSMUST00000072465	11.136	3.427	0.003	0	8.505	Mus musculus expressed sequence BB114266 (BB114266), mRNA [NM_172763]	chr9:22118098-22118157	3.116	-3.774	3.556	-3.262
A_51_P475378	enoyl Coenzyme A hydratase domain containing 3	Echdc3	NM_024208	Mm.38342	67856	ENSMUST00000042658	10.649	3.414	0.002	0	8.81	Mus musculus enoyl Coenzyme A hydratase domain containing 3 (Echdc3), mRNA [NM_024208]	chr2:6106249-6106190	3.3	-3.485	3.758	-3.112
A_52_P96748	RIKEN cDNA 2510042P03 gene	2510042P03Rik	AK011097	Mm.275109	72421		9.293	3.356	0	0	10.649	Mus musculus 13 days embryo liver cDNA, RIKEN full-length enriched library, clone:2510042P03 product:4930506L13RIK PROTEIN homolog [Mus musculus], full insert sequence. [AK011097]	chr2:75780006-75779947	3.27	-3.438	3.541	-3.175
A_51_P497100	lectin, galactose binding, soluble 4	Lgals4	NM_010706	Mm.210336	16855	ENSMUST00000066723	12.592	3.354	0.009	0	7.425	Mus musculus lectin, galactose binding, soluble 4 (Lgals4), mRNA [NM_010706]	chr7:25775797-25775856	2.923	-3.707	3.577	-3.21
