Genebank accession	Gene ID	P value TS+	P value TS-	Biological function
S73288	SPRR1A	0.0073	0.0078	Epidermis development
NM_001034	RRM2	0.0143	0.0133	DNA replication; deoxyribonucleoside diphosphate metabolism
NM_005554	KRT6A, B, C	0.0168	0.003	Ectoderm development
NM_003125	SPRR1B	0.0211	0.0014	Epidermis development
NM_000407	GP1BB	0.0229	0.0094	Blood coagulation; cell adhesion; cell surface receptor linked signal transduction
NM_000389	CDKN1A	0.0265	0.0137	Cell cycle arrest; apoptosis;cell proliferation; regulation of cyclin dependent protein kinase activity
NM_013376	SEI1	0.0274	0.0477	Cell proliferation; regulation of cyclin dependent protein kinase activity; transcription, DNA-dependent
NM_000422	KRT17	0.0278	0.0044	Epidermis development
NM_002658	PLAU	0.0362	0.0019	Blood coagulation; cell growth and/or maintenance; chemotaxis
NM_000107	DDB2	0.0441	0.0049	Nucleotide-excision repair
NM_006142	SFN	0.0482	0.0115	Cell proliferation; negative regulation of protein kinase activity; regulation of cell cycle; signal transduction
