EntrezGene.ID	HUGO.gene.symbol	agilent	affy	coefficient	NMSE
6772	STAT1	NM_007315	209969_s_at	1	0
3627	CXCL10	NM_001565	204533_at	0.79	0.37
6890	TAP1	NM_000593	202307_s_at	0.77	0.38
6373	CXCL11	NM_005409	210163_at	0.73	0.47
3620	INDO	NM_002164	210029_at	0.69	0.48
4283	CXCL9	NM_002416	203915_at	0.71	0.51
4599	MX1	NM_002462	202086_at	0.7	0.51
27074	LAMP3	NM_014398	205569_at	0.69	0.52
9636	ISG15	NM_005101	205483_s_at	0.69	0.52
64108	RTP4	Contig51660_RC	219684_at	0.67	0.52
55008	HERC6	NM_017912	219352_at	0.68	0.53
10964	IFI44L	NM_006820	204439_at	0.68	0.53
4600	MX2	M30818	204994_at	0.68	0.55
3437	IFIT3	NM_001549	204747_at	0.68	0.55
51191	HERC5	NM_016323	219863_at	0.65	0.55
91543	RSAD2	AF026941	213797_at	0.65	0.57
23586	DDX58	NM_014314	218943_s_at	0.64	0.57
6352	CCL5	NM_002985	1405_i_at	0.66	0.57
27299	ADAMDEC1	NM_014479	206134_at	0.64	0.59
914	CD2	NM_001767	205831_at	0.64	0.62
55601	NA	NM_017631	218986_s_at	0.61	0.62
10866	HCP5	NM_006674	206082_at	0.61	0.63
9111	NMI	NM_004688	203964_at	0.6	0.64
9806	SPOCK2	NM_014767	202524_s_at	0.58	0.64
6355	CCL8	NM_005623	214038_at	0.57	0.65
10346	TRIM22	NM_006074	213293_s_at	0.59	0.65
4069	LYZ	NM_000239	213975_s_at	0.54	0.66
3659	IRF1	NM_002198	202531_at	0.59	0.66
3902	LAG3	NM_002286	206486_at	0.54	0.67
9595	PSCDBP	NM_004288	209606_at	0.57	0.67
22797	TFEC	NM_012252	206715_at	0.6	0.67
10537	UBD	NM_006398	205890_s_at	0.58	0.67
11262	SP140	NM_007237	207777_s_at	0.58	0.68
1075	CTSC	NM_001814	201487_at	0.56	0.68
2537	IFI6	NM_002038	204415_at	0.56	0.68
7941	PLA2G7	NM_005084	206214_at	0.56	0.7
917	CD3G	NM_000073	206804_at	0.56	0.7
1890	ECGF1	NM_001953	204858_s_at	0.55	0.7
51316	PLAC8	NM_016619	219014_at	0.54	0.7
10875	FGL2	NM_006682	204834_at	0.52	0.71
3003	GZMK	NM_002104	206666_at	0.53	0.72
962	CD48	NM_001778	204118_at	0.53	0.72
6775	STAT4	NM_003151	206118_at	0.55	0.72
2841	GPR18	Contig35647_RC	210279_at	0.52	0.73
5026	P2RX5	NM_002561	210448_s_at	0.5	0.73
10437	IFI30	NM_006332	201422_at	0.51	0.74
4068	SH2D1A	NM_002351	210116_at	0.47	0.74
7805	LAPTM5	NM_006762	201720_s_at	0.5	0.75
969	CD69	NM_001781	209795_at	0.47	0.75
5778	PTPN7	NM_002832	204852_s_at	0.5	0.76
3394	IRF8	NM_002163	204057_at	0.49	0.77
11040	PIM2	NM_006875	204269_at	0.48	0.77
51513	ETV7	NM_016135	221680_s_at	0.53	0.77
29909	GPR171	NM_013308	207651_at	0.47	0.78
5720	PSME1	NM_006263	200814_at	0.46	0.78
330	BIRC3	NM_001165	210538_s_at	0.47	0.78
356	FASLG	NM_000639	210865_at	0.52	0.78
8519	IFITM1	NM_003641	201601_x_at	0.47	0.78
24138	IFIT5	NM_012420	203596_s_at	0.47	0.78
3689	ITGB2	NM_000211	202803_s_at	0.46	0.78
11118	BTN3A2	NM_007047	212613_at	0.46	0.79
3059	HCLS1	NM_005335	202957_at	0.45	0.8
6398	SECTM1	NM_003004	213716_s_at	0.43	0.8
55843	ARHGAP15	NM_018460	218870_at	0.42	0.8
22914	KLRK1	NM_007360	205821_at	0.44	0.81
10261	IGSF6	NM_005849	206420_at	0.44	0.81
1880	EBI2	NM_004951	205419_at	0.4	0.82
26034	NA	AB007863	214735_at	0.41	0.83
29887	SNX10	NM_013322	218404_at	0.4	0.84
79132	NA	Contig63102_RC	219364_at	0.39	0.85
684	BST2	NM_004335	201641_at	0.38	0.85
55337	NA	NM_018381	218429_s_at	0.39	0.86
341	APOC1	NM_001645	204416_x_at	0.36	0.86
51237	NA	NM_016459	221286_s_at	0.37	0.87
445347	NA	M17323	209813_x_at	0.31	0.89
56829	ZC3HAV1	NM_020119	220104_at	0.34	0.89
23564	DDAH2	NM_013974	214909_s_at	-0.33	0.89
23547	LILRA4	AF041261	210313_at	0.34	0.89
10148	EBI3	NM_005755	219424_at	0.28	0.89
3823	KLRC3	NM_007333	207723_s_at	0.27	0.9
50856	CLEC4A	NM_016184	221724_s_at	0.35	0.9
959	CD40LG	NM_000074	207892_at	0.33	0.91
7409	VAV1	NM_005428	206219_s_at	0.35	0.91
2745	GLRX	NM_002064	206662_at	0.31	0.91
54	ACP5	NM_001611	204638_at	0.28	0.91
5993	RFX5	NM_000449	202964_s_at	0.29	0.91
51816	CECR1	NM_017424	219505_at	0.31	0.91
7187	TRAF3	NM_003300	208315_x_at	0.25	0.92
4218	RAB8A	NM_005370	208819_at	0.27	0.92
3606	IL18	NM_001562	206295_at	0.27	0.93
1942	EFNA1	NM_004428	202023_at	-0.26	0.93
10125	RASGRP1	NM_005739	205590_at	0.26	0.94
9985	REC8L1	NM_005132	218599_at	0.26	0.94
9034	CCRL2	NM_003965	211434_s_at	0.32	0.94
10126	DNAL4	NM_005740	204008_at	-0.22	0.94
