GenBank	Symbol	p-value	Nonresponder (mean ± SD)	Responder (mean ± SD)	Nonresponder/responder
R21221	SERPINE1	0.00021	2.65 ± 1.69	0.96 ± 0.82	2.77
H93835	SLC9A3R1	0.00226	0.87 ± 0.16	1.32 ± 0.68	0.66
R31161	LOC400050	0.00299	1.41 ± 0.54	0.79 ± 0.37	1.79
R83815	ID2	0.00391	1.95 ± 1.18	0.90 ± 0.28	2.16
H21596	PPARG	0.00504	1.39 ± 0.53	0.75 ± 0.48	1.86
R71940	GPX3	0.00505	2.11 ± 1.32	0.95 ± 0.80	2.21
AA031864	EST	0.00646	1.36 ± 0.67	0.76 ± 0.40	1.79
H51356	GABBR1	0.00647	1.54 ± 0.53	0.88 ± 0.55	1.74
R52866	MYCN	0.00647	0.67 ± 0.36	1.32 ± 0.65	0.51
N30932	SERPINE1	0.00821	1.66 ± 0.88	0.91 ± 0.45	1.82
T94533	PTPNS1	0.00821	1.41 ± 0.65	0.78 ± 0.48	1.81
H72516	ARGBP2	0.00821	1.61 ± 1.07	0.87 ± 0.39	1.86
H18886	RYR2	0.0103	1.39 ± 0.66	0.79 ± 0.51	1.77
R20328	FLJ13878	0.0103	1.51 ± 0.70	0.85 ± 0.51	1.77
H40074	EST	0.0103	1.49 ± 0.59	0.79 ± 0.52	1.88
N30946	PANX1	0.0103	1.65 ± 0.86	0.81 ± 0.43	2.03
R34766	DPP3	0.0103	0.87 ± 0.22	1.25 ± 0.58	0.7
H89029	NOV	0.0103	1.67 ± 1.10	0.89 ± 0.32	1.88
AW473741	CENTD1	0.0103	0.80 ± 0.20	1.33 ± 0.64	0.6
H45101	CRYAB	0.0128	5.77 ± 5.86	1.60 ± 2.07	3.6
H89878	NEXN	0.0128	2.25 ± 2.19	0.75 ± 0.41	3.01
BM916405	MEL	0.0128	0.83 ± 0.16	1.26 ± 0.63	0.66
AA071197	ERP70	0.0159	0.88 ± 0.21	1.36 ± 0.79	0.65
H47808	IGF1R	0.0159	1.35 ± 0.59	0.94 ± 0.45	1.43
BQ068114	NGFRAP1	0.0159	0.82 ± 0.37	1.28 ± 0.57	0.65
T87394	MYCBP2	0.0159	1.59 ± 0.88	0.90 ± 0.29	1.77
R40077	EST	0.0159	1.39 ± 0.37	1.01 ± 0.80	1.38
N73206	FLJ20531	0.0159	1.41 ± 1.11	0.91 ± 0.25	1.54
R98113	CD209L	0.0159	1.55 ± 1.40	0.89 ± 0.23	1.75
R35448	COL6A3	0.0194	1.67 ± 0.81	0.92 ± 0.55	1.81
BQ062070	RPL23	0.0194	1.62 ± 0.69	1.08 ± 0.62	1.5
N36349	EST	0.0194	1.41 ± 0.52	0.90 ± 0.42	1.58
BQ045071	DCN	0.0194	2.71 ± 2.35	0.97 ± 0.54	2.8
W51940	CLDN1	0.0194	1.54 ± 0.79	1.24 ± 1.56	1.24
BG469305	KRT18	>0.02	0.83 ± 0.22	1.18 ± 0.34	0.7
