Accession No.	Gene
NM_008187	Gene trap locus 3 (Gtl3)
NM_026042	RIKEN cDNA 2810405O22 gene (2810405O22Rik)
NM_026753	RIKEN cDNA 1110019N10 gene (1110019N10Rik)
XM_127929	RIKEN cDNA 4933421G18 gene (4933421G18Rik)
NM_144541	Brain and reproductive organ-expressed protein (Bre)
NM_145711	Thymocyte selection-associated HMG box gene (Tox)
NM_172148	cDNA sequence BC028440 (BC028440)
NM_009342	t-Complex testis expressed 1 (Tctex1)
NM_009821	Runt related transcription factor 1 (Runx1)
NM_010149	Erythropoietin receptor (Rpor)
NM_011178	Proteinase 3 (Prtn3)
NM_013585	Proteosome (prosome, macrepain) subunit, beta type 9 (large multifunctional protease 2) (Psmb9)
NM_013814	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1 (Galnt1)
NM_013899	Translocase of inner mitochondrial membrane 13 homolog a (yeast) (Timm13a)
NM_018782	Calcitonin receptor-like (Calcrl)
NM_025570	Mitochondrial ribosomal protein L20 (Mrpl20)
NM_026479	DNA segment, Chr 11, ERATO Doi 416, expressed (D11Ertd416e)
NM_026965	Catechol-O-methyltransferase domain containing 1 (Comtd1)
NM_028906	Dipeptidylpeptidase 8 (Dpp8)
NM_030066	Armadillo repeat containing, X-linked 1 (Armcx1)
NM_133786	SMC4 structural maintenance of chromosomes 4-like 1 (yeast) (Smc4l1)
NM_148934	Gene trap ROSA b-geo 22 (Gtrgeo22)
NM_172562	Transcriptional adaptor 2 (ADA2 homolog, yeast)-like (Tada2l)
NM_173440	Nuclear receptor interacting protein 1 (Nrip1)
NM_177342	TAF5 RNA polymerase II, TATA box binding protein (TBP)-associated factor (TAF5)
