UniGene ID	Library	ESTs	TPM	TPM, UniGene	Gene symbol	Name
Mm.305152	LVW	76	5106	511	Apoe	Apolipoprotein E
Mm.282093	LVW	74	4972	552	Gm1821	Gene model 1821, (NCBI)
Mm.335315	LVW	63	4233	100	Eef1a1	Eukaryotic translation elongation factor 1 alpha 1
Mm.45372	LVW	61	4098	71	Ppp1r1b	Protein phosphatase 1, regulatory (inhibitor) subunit 1B
Mm.371591	LVW	56	3762	1244	Tuba1	Tubulin, alpha 1
Mm.331905	LVW	54	3628	128	Hpca	Hippocalcin
Mm.29846	LVW	51	3426	392	Ndrg4	N-myc downstream regulated gene 4
Mm.252063	LVW	50	3359	1543	Mbp	Myelin basic protein
Mm.285993	LVW	49	3292	1244	Calm1	Calmodulin 1
Mm.329243	LVW	49	3292	861	Calm2	Calmodulin 2
Mm.297444	LVW	43	2889	386		Cyclic AMP-regulated phosphoprotein, 21
Mm.16831	LVW	42	2822	356	Ckb	Creatine kinase, brain
Mm.1268	LVW	41	2755	912	Plp1	Proteolipid protein (myelin) 1
Mm.275831	LVW	40	2687	454	Aldoa	Aldolase 1, A isoform
Mm.290774	LVW	39	2620	300	Hspa8	Heat shock protein 8
Mm.29870	LVW	37	2486	376	Itm2c	Integral membrane protein 2C
Mm.31395	LVW	37	2486	481	Cpe	Carboxypeptidase E
Mm.216135	LVW	36	2419	654	Pkm2	Pyruvate kinase, muscle
Mm.212703	LVW	35	2352	407	Mdh1	Malate dehydrogenase 1, NAD (soluble)
Mm.238973	LVW	32	2150	1150	Atp5b	ATP synthase, H+ transporting mitochondrial F1 complex, beta subunit
Mm.3304	LVW	32	2150	366	Nsg2	Neuron-specific gene family member 2
Mm.196173	LVW	29	1948	350	Actg1	Actin, gamma, cytoplasmic 1
Mm.277498	LVW	29	1948	1831	Psap	Prosaposin
Mm.278458	LVW	29	1948	390	Fkbp1a	FK506 binding protein 1a
Mm.1776	LVW	28	1881	749	Fth1	Ferritin heavy chain 1
Mm.41925	NS	39	1529	49	Metrn	Meteorin, glial cell differentiation regulator
Mm.30016	NS	37	1451	63	Arhgdia	Rho GDP dissociation inhibitor (GDI) alpha
Mm.289707	NS	34	1333	284	Fscn1	Fascin homolog 1, actin bundling protein (Strongylocentrotus purpuratus)
Mm.44173	NS	34	1333	83	Lrrc4b	Leucine-rich repeat containing 4B
Mm.306946	NS	30	1176	100	Wnt7b	Wingless-related MMTV integration site 7B
Mm.5021	NS	30	1176	243	Ddr1	Discoidin domain receptor family, member 1
Mm.30141	NS	29	1137	157	Gnb2	Guanine nucleotide binding protein, beta 2
Mm.236443	NS	27	1059	407	Fasn	Fatty acid synthase
Mm.280175	NS	27	1059	40	Mmp14	Matrix metalloproteinase 14 (membrane-inserted)
Mm.30214	NS	25	980	296	0610006O14Rik	RIKEN cDNA 0610006O14 gene
Mm.329616	NS	25	980	151	Nrxn2	Neurexin II
Mm.41665	NS	25	980	66	Grina	Glutamate receptor, ionotropic, N-methyl d-asparate-associated protein 1 (glutamate binding)
Mm.242644	NS	24	941	108	Pcdh10	Protocadherin 10
Mm.29737	NS	24	941	149	Mlf2	Myeloid-leukemia factor 2
Mm.254134	NS	23	902	266	Gpiap1	GPI-anchored membrane protein 1
Mm.338476	NS	23	902	204	Pbp	Phosphatidylethanolamine binding protein
Mm.4598	NS	23	902	216	Bcan	Brevican
Mm.16898	NS	22	863	165	Phgdh	3-Phosphoglycerate dehydrogenase
Mm.331129	NS	22	863	118	Nes	Nestin
Mm.42855	NS	22	863	143	Ptov1	Prostate tumor over expressed gene 1
Mm.22524	NS	21	823	364	AI481750	Expressed sequence AI481750
Mm.29196	NS	21	823	77	Cyc1	Cytochrome c-1
Mm.1451	NS	20	784	139	Mfge8	Milk fat globule-EGF factor 8 protein
Mm.207432	NS	20	784	440	Atp1a2	ATPase, Na+/K+ transporting, alpha 2 polypeptide
Mm.278701	NS	20	784	77	Srebf1	Sterol regulatory element binding factor 1
Mm.290774	BM-HPC	197	18,930	4638	Hspa8	Heat shock protein 8
Mm.240490	BM-HPC	169	16,239	266	1200009K13Rik	RIKEN cDNA 1200009K13 gene
Mm.274926	BM-HPC	132	12,684	853	Emb	Embigin
Mm.289630	BM-HPC	116	11,146	293	Ywhaq	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide
Mm.16660	BM-HPC	81	7783	826	P4hb	Prolyl 4-hydroxylase, beta polypeptide
Mm.16771	BM-HPC	77	7399	479	H2-D1	Histocompatibility 2, D region locus 1
Mm.4266	BM-HPC	73	7015	666	Itm2b	Integral membrane protein 2B
