GenBank Accession#	Coordinate	Gene/Protein name	Normal (mean + or - s.d.)	Adenomas Incidence	Adenomas Changes (fold)	Adenomas RT±PCR (mean + or - s.d.)	Adenocarcinomas Incidence	Adenocarcinomas Changes (fold)	Adenocarcinomas RT±PCR (mean + or - s.d.)
X83974	A2j	RNA polymerase 1 termination factor TTF-1^	0.025+-0.010	4/5	2~3	0.072+0.019	6/6	3~5	0.113+0.020
X66032	A6d	Cyclin B2 (G2/M-specific)^	0.057+-0.017	4/5	2~4	0.138+0.036	5/6	2~7	0.161+0.076
S78355	A6f	Cyclin D1 (G1/Sspecific)^	0.212+-0.083	4/5	3~5	0.921+0.321	4/6	2~3	0.481+0.042
L01640	A6m	Cdk4; cyclin-dependent kinase 4	0.153+-0.172	3/5	2~3	1.001+0.124	4/6	2~3	1.014+0.234
L02526	B6a	MAPKK1; MAP kinase kinase 1; MEK1	0.495+-0.115	4/5	2~3	0.993+0.273	4/6	2~3	1.011+0.107
M69042	B6g	PKC-delta	0.217+-0.102	4/5	2~3	0.515+0.123	4/6	2~3	0.521+0.056
M27129	E6e	CD44 antigen	1.265+-0.415	4/4	4~7	5.880+1.569	3/6	2	2.524+0.266
U20553	A7g	p57kip2; cdk inhibitor kip2	0.367+-0.079	4/5	-2	0.168+0.011	3/6	-2~5	0.116+0.033
M94087	D1b	Activating transcription factor 4 (mATF4)	1.329+-0.022	5/5	-2~3	0.614+0.125	3/6	-2~3	0.489+0.074
M19436	F5l	Atrial/fetal myosin alkali light chain	2.849+-1.634	5/5		lost	6/6		lost
