GeneName	RefSeq ID	Lgr5 log2 AVG	Lgr5 q-value (%)
Lgr5	NM_010195	2.54	0.45
Tnfrsf19	NM_013869	2.23	0.45
Fstl1	NM_008047	1.7	4.07
Nkd1	NM_027280	1.65	4.07
Sp5	NM_022435	1.6	4.07
Arl4c	NM_177305	1.59	4.07
Rgmb	BC096024	1.54	4.07
1190003M12Rik	NM_026860	1.53	4.07
Acot1	NM_012006	1.51	4.07
Pdlim2	NM_145978	1.5	4.07
Slc14a1	NM_028122	1.49	4.07
NAP027049-1	NAP027049-1	1.48	4.07
Gpr30	NM_029771	1.48	4.07
2810004A10Rik	NM_027265	1.43	4.07
Lamb3	NM_008484	1.39	4.07
Ephb3	NM_010143	1.38	4.07
1190002H23Rik	NM_025427	1.36	4.07
Nrn1	NM_153529	1.35	4.07
E030025L21Rik	NM_207531	1.33	4.07
Pdgfa	NM_008808	1.32	4.07
Cyr61	NM_010516	1.3	4.47
Plekhb1	NM_013746	1.29	4.07
Mia1	NM_019394	1.28	4.07
Nav1	NM_173437	1.27	4.07
Ces3	NM_053200	1.27	4.07
Pls3	NM_145629	1.26	4.47
Rec8L1	NM_020002	1.25	4.1
Slco3a1	NM_023908	1.21	4.42
Adora1	NM_001008533	1.21	4.47
Ptpro	NM_011216	1.19	4.47
ENSMUST00000064814	ENSMUST00000064814	1.16	4.71
BC107410	BC107410	1.16	5.82
Cd44	NM_009851	1.15	4.71
Nr2e3	NM_013708	1.14	4.71
Scn2b	NM_001014761	1.14	4.71
Rnf43	NM_172448	1.14	4.47
Sfxn3	NM_053197	1.14	4.71
Kif12	NM_010616	1.12	4.71
Sox9	NM_011448	1.12	4.71
Sectm1b	NM_026907	1.11	4.71
E030011O05Rik	AK086536	1.11	4.71
Utrn	NM_011682	1.11	4.71
Igfbp4	NM_010517	1.1	4.71
Sox6	NM_011445	1.09	4.71
D430015B01Rik	NM_153574	1.09	4.71
Ddit4	NM_029083	1.09	5.82
Dgkg	NM_138650	1.08	4.71
Shroom1	NM_027917	1.08	4.71
6330505N24Rik	NM_001033301	1.08	4.71
AI173486	NM_178928	1.07	4.71
1300002K09Rik	NM_028788	1.04	4.71
Parc	AK019026	1.04	4.71
Jun	NM_010591	1.03	4.71
Hunk	NM_015755	1.03	4.71
Olfm4	NM_001030294	1.02	5.82
Cdk6	AK030810	1.01	5.82
TC1722686	TC1722686	1.01	4.71
Zfp341	NM_199304	1.01	4.71
Socs2	AK033206	1	4.71
Sorcs2	NM_030889	1	4.71
Soat1	NM_009230	0.99	5.82
Acsm3	NM_212441	0.99	5.82
Fgfr4	NM_008011	0.98	5.82
Hook1	AK049897	0.97	5.82
Psrc1	NM_019976	0.97	5.82
Aqp1	NM_007472	0.97	5.82
Tns3	XM_109868	0.97	5.82
Arid5b	NM_023598	0.97	5.82
Slc23a3	NM_194333	0.96	5.82
H2-Aa	NM_010378	0.95	5.82
Cdc42ep1	NM_027219	0.95	5.82
BC057022	NM_001004180	0.94	5.82
Gas6	NM_019521	0.94	5.82
Sema7a	NM_011352	0.94	5.82
2610042L04Rik	AK084071	0.93	6.54
Ell3	NM_145973	0.92	5.82
Tia1	NM_011585	0.92	5.82
Slc30a2	AK031425	0.91	5.82
AI428936	NM_153577	0.91	5.82
CB588406	CB588406	0.9	5.82
Phlda1	NM_009344	0.9	5.82
App	NM_007471	0.89	5.82
Emp2	NM_007929	0.88	5.82
Cited4	NM_019563	0.88	6.54
Dbp	NM_016974	0.87	5.82
Rnf32	NM_021470	0.87	6.54
Slc12a2	NM_009194	0.87	5.82
Krt23	NM_033373	0.87	6.54
Immp2l	NM_053122	0.87	6.54
1500012F01Rik	AK005231	0.86	6.54
Picalm	NM_146194	0.85	6.54
Cfi	NM_007686	0.85	6.54
H2-Eb1	X52641	0.84	7.07
Prelp	NM_054077	0.83	7.07
Fgfrl1	NM_054071	0.83	6.54
B930095G15Rik	AK084997	0.82	7.07
Trim24	NM_145076	0.82	7.07
Aqp4	NM_009700	0.82	7.07
Ptprd	NM_011211	0.82	6.54
Cachd1	XM_991907	0.82	7.07
Zbtb12	NM_198886	0.81	7.07
Lrig1	NM_008377	0.81	7.07
Notch1	Z11886	0.81	7.07
Chmp4c	AK033502	0.81	8.97
Wipi1	NM_145940	0.81	8.07
Zfp12	NM_177681	0.81	7.07
Ets2	NM_011809	0.8	7.07
2210407C18Rik	NM_144544	0.8	8.07
Zfp503	NM_145459	0.8	7.07
Tmem46	NM_145463	0.8	7.07
Prss23	NM_029614	0.79	7.07
Clca4	NM_139148	0.78	8.07
Smarcd3	NM_025891	0.78	8.97
Sfpq	XM_994784	0.78	8.97
Adfp	NM_007408	0.78	7.07
Rpl22	NM_009079	0.78	7.07
Pik3r1	NM_001077495	0.77	8.07
Crlf1	NM_018827	0.77	8.97
Tacc1	NM_177089	0.77	8.97
Pabpc1	AK005009	0.77	8.97
Slc16a11	NM_153081	0.76	7.07
Adra2a	NM_007417	0.76	8.07
NAP019557-001	NAP019557-001	0.76	8.97
Zc3h6	ENSMUST00000056897	0.76	8.07
Pacsin3	NM_030880	0.76	8.97
Wwp1	NM_177327	0.76	8.07
Dtx4	NM_172442	0.75	8.07
Tlr2	NM_011905	0.75	8.07
Sord	NM_146126	0.75	8.97
Ascl2	NM_008554	0.75	8.97
Cdca7	NM_025866	0.74	8.97
Pla2g5	NM_011110	0.73	8.97
Ches1	NM_183186	0.72	8.97
ENSMUST00000050697	ENSMUST00000050697	0.72	8.97
