Gene Description	Deregulation Time	Function	Status	Ensembl.Gene.ID	HGNC.symbol	Description
Asp (abnormal spindle)-like, microcephaly associated (ASPM)	early	Proliferation	upregulated	ENSG00000066279	ASPM	Abnormal spindle-like microcephaly-associated protein (Abnormal spindle protein homolog) (Asp homolog). [Source:Uniprot/SWISSPROT;Acc:Q8IZT6]
Cell division cycle 2 homolog A (CDC2)	early	Proliferation	upregulated	ENSG00000170312	CDC2	Cell division control protein 2 homolog (EC 2.7.11.22) (EC 2.7.11.23) (p34 protein kinase) (Cyclin-dependent kinase 1) (CDK1). [Source:Uniprot/SWISSPROT;Acc:P06493]
Cyclin B1 (CCNB1)	early	Proliferation	upregulated	ENSG00000134057	CCNB1	G2/mitotic-specific cyclin-B1. [Source:Uniprot/SWISSPROT;Acc:P14635]
Discs, large homolog 7 (DLG7)	early	Proliferation	upregulated	ENSG00000126787	DLG7	Disks large-associated protein DLG7 (Discs large homolog 7) (Hepatoma up-regulated protein) (HURP). [Source:Uniprot/SWISSPROT;Acc:Q15398]
Ect2 oncogene (ECT2)	early	Proliferation	upregulated	ENSG00000114346	ECT2	ECT2 protein (Epithelial cell-transforming sequence 2 oncogene). [Source:Uniprot/SWISSPROT;Acc:Q9H8V3]
Hyaluronan mediated motility receptor (HMMR)	early	Proliferation	upregulated	ENSG00000072571	HMMR	Hyaluronan mediated motility receptor (Intracellular hyaluronic acid- binding protein) (Receptor for hyaluronan-mediated motility) (CD168 antigen). [Source:Uniprot/SWISSPROT;Acc:O75330]
Kinesin family member 23 (KIF23)	early	Proliferation	upregulated	ENSG00000137807	KIF23	Kinesin-like protein KIF23 (Mitotic kinesin-like protein 1) (Kinesin- like protein 5). [Source:Uniprot/SWISSPROT;Acc:Q02241]
Kinetochore associated 2 (KNTC2)	early	Proliferation	upregulated	ENSG00000080986	NDC80	Kinetochore protein Hec1 (HsHec1) (Kinetochore-associated protein 2) (Highly expressed in cancer protein) (Retinoblastoma-associated protein HEC). [Source:Uniprot/SWISSPROT;Acc:O14777]
Maternal embryonic leucine zipper kinase (MELK)	early	Proliferation	upregulated	ENSG00000165304	MELK	Maternal embryonic leucine zipper kinase (EC 2.7.11.1) (hMELK) (Protein kinase PK38) (hPK38). [Source:Uniprot/SWISSPROT;Acc:Q14680]
Minichromosome maintenance deficient 10 (MCM10)	early	Proliferation	upregulated	ENSG00000065328	MCM10	Protein MCM10 homolog (HsMCM10). [Source:Uniprot/SWISSPROT;Acc:Q7L590]
