FeatureID	Gene Symbol	Gene name	Gene Index U Cluster	RefSeq Acc	GenBank Acc	MGI	NSC	ESC	MAPC	K-means clustering	K-means clustering (similarity)
Z00007320-1	Gata6	GATA binding protein 6	U018415	NM_010258.2	AF179425		1.8133	2.24	4.3584	3	1.519209477
Z00004783-1	Pla2G12B	phospholipase A2, group XIIB	U011549	NM_023530.2	AF339738	MGI:1917086	1.5193	2.1007	3.8927	3	1.351592078
Z00015331-1	Prg1	proteoglycan 1, secretory granule	U031851	NM_011157.1	AK087960	MGI:97756	2.6212	2.8938	4.8445	3	1.302584944
Z00059673-1	Glipr1	GLI pathogenesis-related 1 (glioma)	U012010	NM_028608.1	AK010768	MGI:1920940	2.599	3.3223	4.8011	3	1.206071482
Z00053430-1	2200002D01Rik	RIKEN cDNA 2200002D01 gene	U028350		AK008617	MGI:1919525	2.4022	3.4925	4.4226	3	1.112762139
Z00040999-1	Sh3Tc2	SH3 domain and tetratricopeptide repeats 2	U018800	NM_172628.1	AK031388		2.146	2.5882	4.1469	3	1.085942822
Z00025587-1	Pitx2	paired-like homeodomain transcription factor 2	U003838	NM_011098.2	AB006320	MGI:109340	2.6245	3.2552	4.4601	3	0.943987342
Z00024159-1	Krt1-18	keratin complex 1, acidic, gene 18	U016695	NM_010664.1	BC020474	MGI:96692	3.4133	4.4054	5.2196	3	0.969544572
Z00006684-1	Krt2-8	keratin complex 2, basic, gene 8	U036682	NM_031170.1	AK077597	MGI:96705	3.3097	4.0502	5.1147	3	0.926790496
Z00026066-1	Spink3	serine protease inhibitor, Kazal type 3	U038383	NM_009258.3	AK007841	MGI:106202	2.8024	3.2999	4.5935	3	0.918084083
Z00034163-1	Sox17	SRY-box containing gene 17	U021094	NM_011441.2	AK004781	MGI:107543	2.9571	3.0365	4.7355	3	1.003907428
Z00033633-1	Xlr5	Mus musculus X-linked lymphocyte-regulated 5 (Xlr5), mRNA	U039451	NM_031493.1	BC003812		2.074	2.1967	3.8309	3	0.971549082
Z00045959-1	Hkdc1	hexokinase domain containing 1	U031847	NM_145419.1	AK180519		2.7878	2.8143	4.5337	3	0.996956621
Z00060985-1	Xmr	Xlr-related, meiosis regulated	U163836	NM_009529.2	BC048742		2.3117	2.6439	4.0491	3	0.900415241
Z00025854-1	Trpm6	transient receptor potential cation channel, subfamily M, member 6	U019269	NM_153417.1	AK080899		2.8651	2.3967	4.1246	3	0.860798273
Z00003720-1	Bc014699	cDNA sequence BC014699	U007065	NM_145570.1	BC014699		2.5789	3.0031	4.3066	3	0.878136461
Z00012401-1	Cryab	crystallin, alpha B	U010466	NM_009964.1	BC010768	MGI:88516	2.5527	3.3156	4.2685	3	0.871522335
Z00030559-1	Sox7	SRY-box containing gene 7	U015758	NM_011446.1	AB023419		2.2456	2.6238	3.9564	3	0.871650969
Z00027226-1	Lhfpl1	lipoma HMGIC fusion partner-like 1	U039762	NM_178358.3	AY253666	MGI:1891214	3.8872	3.8113	5.4954	3	0.926448187
Z00022842-1	Enpep	glutamyl aminopeptidase	U024638	NM_007934.1	AK031439	MGI:106645	2.3898	2.3358	4.0052	3	0.922896149
Z00043693-1	2210016H18Rik	RIKEN cDNA 2210016H18 gene	U038208		AK008737		2.1335	2.2334	3.7868	3	0.89501646
Z00050391-1	1700040F15Rik,Loc435032,Loc434974,Loc435029	RIKEN cDNA 1700040F15 gene	U198124	XM_356448.2	AK076905		2.4914	2.9084	4.1324	3	0.81325007
Z00057248-1	Xlr	Mus musculus X-linked lymphocyte-regulated complex, mRNA (cDNA clone MGC:11553 IMAGE:3965533), complete cds.	U040096	NM_027510.1			2.3444	2.358	3.9735	3	0.906609127
Z00006007-1	F3	coagulation factor III	U003796	NM_010171.2	AY500273	MGI:88381	3.7291	4.4536	5.3457	3	0.804167673
Z00000270-1	Cubn	cubilin (intrinsic factor-cobalamin receptor)	U022297	XM_130038.3	AF197159	MGI:1931256	3.3626	2.9248	4.5215	3	0.764942305
Z00036109-1	Lamb1-1	laminin B1 subunit 1	U013837	NM_008482.1	AK013952	MGI:96743	3.2984	4.0685	4.8759	3	0.789397879
Z00033264-1	Loc434166	Mus musculus similar to hypothetical protein MGC37588, mRNA (cDNA clone MGC:91149 IMAGE:6493658), complete cds.	U105833	XM_485767.1	AK034434		4.0184	3.9444	5.5191	3	0.837919286
Z00030114-1	1110017F19Rik	RIKEN cDNA 1110017F19 gene	U013553		AK003745		1.7107	1.7772	3.2763	3	0.835210936
