EntrezGene.ID	HUGO.gene.symbol	agilent	affy	coefficient	NMSE
6790	AURKA	NM_003600	208079_s_at	1	0
11065	UBE2C	NM_007019	202954_at	0.82	0.33
9133	CCNB2	NM_004701	202705_at	0.79	0.38
1058	CENPA	NM_001809	204962_s_at	0.79	0.38
332	BIRC5	NM_001168	202095_s_at	0.79	0.39
11004	KIF2C	NM_006845	209408_at	0.78	0.4
10112	KIF20A	NM_005733	218755_at	0.76	0.42
991	CDC20	NM_001255	202870_s_at	0.74	0.44
2305	FOXM1	U74612	202580_x_at	0.74	0.44
891	CCNB1	Contig56843_RC	214710_s_at	0.75	0.44
22974	TPX2	AB024704	210052_s_at	0.75	0.47
9088	PKMYT1	NM_004203	204267_x_at	0.7	0.47
54478	FAM64A	NM_019013	221591_s_at	0.69	0.49
4751	NEK2	NM_002497	204641_at	0.72	0.49
24137	KIF4A	NM_012310	218355_at	0.71	0.49
23397	NCAPH	D38553	212949_at	0.72	0.49
9319	TRIP13	U96131	204033_at	0.71	0.5
4085	MAD2L1	NM_002358	203362_s_at	0.7	0.52
9156	EXO1	NM_006027	204603_at	0.67	0.54
10615	SPAG5	NM_006461	203145_at	0.67	0.55
7083	TK1	NM_003258	202338_at	0.64	0.55
6491	STIL	NM_003035	205339_at	0.68	0.56
6241	RRM2	NM_001034	209773_s_at	0.66	0.56
55839	CENPN	NM_018455	219555_s_at	0.67	0.57
7298	TYMS	NM_001071	202589_at	0.66	0.57
641	BLM	NM_000057	205733_at	0.65	0.58
4171	MCM2	NM_004526	202107_s_at	0.64	0.6
1164	CKS2	NM_001827	204170_s_at	0.61	0.61
79682	MLF1IP	Contig64688	218883_s_at	0.62	0.62
10129	FRY	U50534	204072_s_at	-0.59	0.65
51659	GINS2	NM_016095	221521_s_at	0.58	0.65
10212	DDX39	NM_005804	201584_s_at	0.57	0.66
3925	STMN1	NM_005563	200783_s_at	0.59	0.66
79801	SHCBP1	Contig34952	219493_at	0.59	0.66
3014	H2AFX	NM_002105	205436_s_at	0.58	0.67
10535	RNASEH2A	NM_006397	203022_at	0.58	0.67
5984	RFC4	NM_002916	204023_at	0.58	0.67
55970	GNG12	AL049367	212294_at	-0.56	0.68
1033	CDKN3	NM_005192	209714_s_at	0.58	0.69
55388	MCM10	NM_018518	220651_s_at	0.57	0.69
55257	C20orf20	NM_018270	218586_at	0.55	0.7
1163	CKS1B	NM_001826	201897_s_at	0.55	0.7
8914	TIMELESS	NM_003920	203046_s_at	0.56	0.7
54821	NA	NM_017669	219650_at	0.51	0.71
23371	TENC1	AB028998	212494_at	-0.54	0.72
8544	PIR	NM_003662	207469_s_at	0.52	0.72
8317	CDC7	AF015592	204510_at	0.52	0.73
2331	FMOD	NM_002023	202709_at	-0.5	0.73
51512	GTSE1	NM_016426	215942_s_at	0.52	0.74
6424	SFRP4	NM_003014	204051_s_at	-0.5	0.74
55353	LAPTM4B	NM_018407	208029_s_at	0.51	0.74
8404	SPARCL1	NM_004684	200795_at	-0.51	0.74
990	CDC6	NM_001254	203967_at	0.5	0.75
7043	TGFB3	NM_003239	209747_at	-0.5	0.75
11047	ADRM1	NM_007002	201281_at	0.48	0.75
58190	CTDSP1	NM_021198	217844_at	-0.49	0.76
79838	TMC5	Contig45537_RC	219580_s_at	-0.49	0.76
84823	LMNB2	M94362	216952_s_at	0.49	0.77
83989	C5orf21	AF070617	212936_at	-0.49	0.77
1793	DOCK1	NM_001380	203187_at	-0.48	0.77
9358	ITGBL1	NM_004791	205422_s_at	-0.44	0.77
8836	GGH	NM_003878	203560_at	0.48	0.77
57088	PLSCR4	NM_020353	218901_at	-0.48	0.77
6642	SNX1	AL050148	213364_s_at	-0.47	0.77
4969	OGN	NM_014057	218730_s_at	-0.47	0.77
90627	STARD13	AL049801	213103_at	-0.48	0.77
11260	XPOT	NM_007235	212160_at	0.47	0.77
22827	NA	AF114818	209899_s_at	0.48	0.77
9793	CKAP5	D43948	212832_s_at	0.47	0.78
2791	GNG11	NM_004126	204115_at	-0.44	0.79
55247	NEIL3	NM_018248	219502_at	0.39	0.79
10234	LRRC17	NM_005824	205381_at	-0.47	0.79
