Spot	GB Acc	Symbol	Gene/protein identity	Fold ch	Chrom loc	Cor	P-value
C_F04g	X56134	VIM	Vimentin	42.71	10p13	90.8	7.30E-06
H_A07d	X16707	FOSL1	FOS-like antigen 1	25.05	11q13	80.8	8.39E-04
H_A05e	M76125	AXL	axl oncogene	21.14	19q13.1	90.3	9.56E-06
H_A03h	X59798	CCND1	G1/S-specific cyclin D1	16.56	11q13	83.9	2.17E-04
H_F05n	X03124	TIMP1	Tissue inhibitor of metalloproteinase 1	16.09	Xp11.3–11.23	ND	ND
H_C06h	U28014	CASP4	Caspase 4	10.57	11q22.2–22.3	ND	ND
H_A11g	X57766	MMP11	Matrix metalloproteinase 11	9.15	22q11.23	ND	ND
H_C14h	M23254	CAPN2	M-type calcium-activated neutral proteinase	9.13	1q41–42	ND	ND
H_E03f	M24069	CSDA	Cold shock domain protein A	8.31	12p13.1	ND	ND
C_F09g	M96322	AKAP12	Gravin	7.85	6q24–25	ND	ND
H_D10j	Z36715	ELK3	ets domain protein elk-3	7.59	12q23	ND	ND
H_E09g	M73780	ITGB8	Integrin beta 8	7.32	7p21.3	ND	ND
H_F03b	M34664	HSPD1	Heat shock 60-kDa protein	7.19	2q33.1	ND	ND
C_F14a	J03040	SPARC	Secreted protein acidic and rich in cysteine	7.04	5q31.3–32	ND	ND
H_E13k	X66945	FGFR1	Fibroblast growth factor receptor 1	6.78	8p11.2–11.1	ND	ND
C_D09m	U90313	GSTTLp28	Glutathione-S-transferase-like protein	6.67	10q24.33	ND	ND
H_B12g	U48959	MYLK	Smooth muscle and nonmuscle myosin light chain kinase	6.18	3q21	ND	ND
C_B10c	L31951	MAPK9	Mitogen-activated protein kinase 9	6.16	5q35	ND	ND
H_F02g	U10117	SCYE1	Endothelial-monocyte activating polypeptide II	6.12	4q24	ND	ND
C_C10b	U60520	CASP8	Caspase 8	5.74	2q33–34	ND	ND
C_E03i	AF031385	CYR61	Cysteine-rich anigogenic inducer 61	4.97	1p31–22	ND	ND
H_B11e	M59371	EPHA2	Ephrin type-A receptor 2	4.87	1p36	ND	ND
H_D08i	M13667	PRNP	Major prion protein	4.66	20pter-p12	ND	ND
H_F02l	D00760	PSMA2	Proteasome subunit alpha type 2	4.23	7p13–12	ND	ND
H_A02d	J04101	ETS1	ets1 proto-oncogene	3.93	11q23.3	ND	ND
C_A05i	M25753	CCNB1	G2/mitotic-specific cyclin B1	3.83	5q12	ND	ND
H_A12c	V00568	MYC	myc proto-oncogene	3.67	8q24.12–24.13	94.7	1.00E-06
C_E11l	M34671	CD59	CD59 glycoprotein	3.64	11p13	ND	ND
H_E13g	D13866	CTNNA1	Alpha1 catenin	3.53	5q31	ND	ND
H_F07k	X87212	CTSC	Cathepsin C	3.33	11q14.1–14.3	ND	ND
