Affymetrix ID	Accession	Gene Symbol	Gene Description
209460_at	AF237813	ABAT	4-aminobutyrate aminotransferase
214454_at	NM_014244	ADAMTS2	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 2
236664_at	AA448167	AKT2	v-akt murine thymoma viral oncogene homolog 2
220237_at	NM_022488	APG3	autophagy Apg3p/Aut1p-like
203381_s_at	N33009	APOE	apolipoprotein E
211621_at	M73069	AR	androgen receptor (dihydrotestosterone receptor; testicular feminization; spinal and bulbar muscular atrophy; Kennedy disease)
211110_s_at	AF162704	AR	androgen receptor (dihydrotestosterone receptor; testicular feminization; spinal and bulbar muscular atrophy; Kennedy disease)
205239_at	NM_001657	AREG	amphiregulin (schwannoma-derived growth factor)
239258_at	BE551407	ARHQ	ras homolog gene family, member Q
214449_s_at	NM_012249	ARHQ	ras homolog gene family, member Q
1553153_at	NM_152565	ATP6V0D2	ATPase, H+ transporting, lysosomal 38kDa, V0 subunit d isoform 2
216873_s_at	AL137537	ATP8B2	ATPase, Class I, type 8B, member 2
205363_at	NM_003986	BBOX1	butyrobetaine (gamma), 2-oxoglutarate dioxygenase (gamma-butyrobetaine hydroxylase) 1
229589_x_at	AW274311	BIVM	basic, immunoglobulin-like variable motif containing
204455_at	NM_001723	BPAG1	bullous pemphigoid antigen 1, 230/240kDa
219857_at	NM_024889	FLJ23537	chromosome 10 open reading frame 81
239306_at	AI678680	C14orf93	chromosome 14 open reading frame 93
207996_s_at	NM_004338	C18orf1	chromosome 18 open reading frame 1
219439_at	NM_020156	C1GALT1	core 1 UDP-galactose:N-acetylgalactosamine-alpha-R beta 1,3-galactosyltransferase
1552575_a_at	NM_153344	C6orf141	chromosome 6 open reading frame 141
220329_s_at	NM_017909	C6orf96	chromosome 6 open reading frame 96
220581_at	NM_025059	C6orf97	chromosome 6 open reading frame 97
235917_at	AI950319	HSPC043	chromosome 9 open reading frame 80
204508_s_at	BC001012	FLJ20151	carbonic anhydrase XII
1557581_x_at	BC027347	CABIN1	calcineurin binding protein 1
1554201_at	BC033167	CABP4	calcium binding protein 4
220162_s_at	NM_022352	CARD9	caspase recruitment domain family, member 9
223796_at	AF333769	CASPR3	cell recognition molecule CASPR3
210072_at	U88321	CCL19	chemokine (C-C motif) ligand 19
204655_at	NM_002985	CCL5	chemokine (C-C motif) ligand 5
242625_at	AW189843	cig5	viperin
213797_at	AI337069	cig5	viperin
214598_at	AL049977	CLDN8	claudin 8
243301_at	AW241910	COL22A1	collagen, type XXII, alpha 1
225293_at	AK021957	COL27A1	collagen, type XXVII, alpha 1
225288_at	AI949136	COL27A1	collagen, type XXVII, alpha 1
221729_at	AL575735	COL5A2	collagen, type V, alpha 2
209083_at	U34690	CORO1A	coronin, actin binding protein, 1A
1555250_a_at	BC036444	CPEB3	cytoplasmic polyadenylation element binding protein 3
206100_at	NM_001874	CPM	carboxypeptidase M
232466_at	AU155661	CUL4A	cullin 4A
205898_at	U20350	CX3CR1	chemokine (C-X3-C motif) receptor 1
207386_at	NM_004820	CYP7B1	cytochrome P450, family 7, subfamily B, polypeptide 1
204424_s_at	AL050152	DAT1	neuronal specific transcription factor DAT1
