CLONEID	NAME	UniGene Id	GeneBank Id
347348	FLJ10700 hypothetical protein FLJ10700	Hs.295909	W81185
156386	FLOT2 flotillin 2	Hs.184488	R72913
338519	SMARCE1 SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1	Hs.332848	W51779
563451	TLK1 tousled-like kinase 1	Hs.18895	AA113347
245198	TRAP100 thyroid hormone receptor-associated protein (100 kDa)	Hs.23106	N54470
68400	PPARBP PPAR binding protein	Hs.15589	T57034
756253	ERBB2 v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)	Hs.323910	AA480116
236059	GRB7 growth factor receptor-bound protein 7	Hs.86859	H53702
783729	ERBB2 v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)	Hs.323910	AA443351
825577	Homo sapiens mRNA; cDNA DKFZp761B0319 (from clone DKFZp761B0319)	Hs.379960	AA504615
782756	TBPL1 TBP-like 1	Hs.13993	AA448001
418240	Homo sapiens mRNA; cDNA DKFZp564O2364 (from clone DKFZp564O2364)	Hs.28893	W90240
509823	CEACAM6 carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen)	Hs.73848	AA054073
135221	S100P S100 calcium binding protein P	Hs.2962	R32848
138936	EPB72 erythrocyte membrane protein band 7.2 (stomatin)	Hs.160483	R62817
259905	FLJ10607 hypothetical protein FLJ10607 similar to glucosamine-phosphate N-acetyltransferase	Hs.27931	N32919
201288	HNF3G hepatocyte nuclear factor 3, gamma	Hs.36137	R99562
50582	Homo sapiens cDNA FLJ39293 fis, clone OCBBF2012678	Hs.351357	H17037
263014	GSTT1 glutathione S-transferase theta 1	Hs.77490	H99813
810463	DKFZp566O084 DKFZP566O084 protein	Hs.11411	AA457140
795893	PPP1R15A protein phosphatase 1, regulatory (inhibitor) subunit 15A	Hs.76556	AA460168
128302	PTMS parathymosin	Hs.171814	R10451
301043	Homo sapiens cDNA FLJ34425 fis, clone HHDPC2008297	Hs.120638	N81017
148800	N33 Putative prostate cancer tumor suppressor	Hs.71119	H13424
284100	COLEC12 collectin sub-family member 12	Hs.29423	N53421
213850	FJX1 four jointed box 1 (Drosophila)	Hs.39384	H72368
209655	TGFBR3 transforming growth factor, beta receptor III (betaglycan, 300kDa)	Hs.342874	H61499
781007	RPL27A ribosomal protein L27a	Hs.76064	AA446013
488434	RB1CC1 RB1-inducible coiled-coil 1	Hs.50421	AA047435
23185	TNC tenascin C (hexabrachion)	Hs.289114	R39239
