Deletion	Cytoband	BoundariesofPeak	Q-value	Frequency†(%)	Oncogene or Tumor Suppressor Gene in Region
1	1p36.32	0–19.3	0.24	10	CHD5;PAX7
2	3p26.2	0–3.5	0.13	4	FBXW7
3	4q34.3	92.1–183.3	8.00E-04	8	---
4	6q16.3	10.48–10.49	0.04	9	---
5	7p22.2	0–4.2	0.12	10	---
6	7q33	109.2–137.1	0.11	4	---
7	8p21.2	25.1–29.8	0.02	12	---
8	11q23.3	116.5–134.5	0.18	8	---
9	13q12.3	0–27.8	0.22	6	---
10	15q26.3	97.9–100.3	0.07	10	---
11	16q21	58.3–65.1	1.00E-03	18	---
12	17p12	11.5–12.2	0.02	8	---
13	22q13.2	41.7–44.3	0.18	10	---
