Spot	GB Acc	Symbol	Gene/protein identity	Fold ch	Chrom loc	Cor	P-value
H_F09f	M61176	BDNF	Brain-derived neurotrophic factor	16.67	11p13	92.9	4.61E-06
H_F04a	L26336	HSPA2	Heat shock-related 70-kDa protein 2	11.11	14q24.1	95.1	2.04E-06
H_C06c	Y09689	NRGN	Neurogranin	7.69	11q24	ND	ND
H_E06i	M59911	ITGA3	Integrin alpha 3	7.14	17q21.32	85.9	8.20E-05
H_B03i	M22199	PRKCA	Protein kinase C alpha polypeptide	6.25	17q22–23.2	75.9	1.67E-03
H_C06j	M35663	PRKR	Interferon-inducible RNA-dependent protein kinase	4.17	2p22–21	89.9	1.24E-05
H_B12h	L36719	MAP2K3	Mitogen-activated protein kinase kinase 3	3.7	17q11.2	80.7	4.91E-04
H_A01k	D84212	STK6	Aurora-related kinase 1	3.57	20q13.2–13.3	ND	ND
H_E06h	M34064	CDH2	Cadherin 2	2.94	18q11.2	83.3	2.17E-04
H_A08j	D88435	GAK	Cyclin G-associated kinase	2.86	4p16	ND	ND
H_B03g	U40282	ILK	Integrin-linked kinase	2.5	11p15.5–15.4	60.9	2.09E-02
C_A11l	M81934	CDC25B	Cell division cycle 25 homolog B	2.44	20p13	82.9	2.51E-04
