Symbol	Gene ID	Log2	CV	Description	Prenatal exposure to high dose (250micrograms) of BPA
Actn3	NM_133424	0.95	1.11	Actinin alpha 3	21 days
Ahr	NM_013149	1.05	0.95	Aryl hydrocarbon receptor	21 days
Akap3	BF412657	0.91	1.2	A-kinase anchor protein 3	21 days
Coro1a	NM_130411	1.07	1.01	Coronin, actin binding protein 1A	21 days
Cxcl10	NM_139089	1.02	1.67	Chemokine (C-X-C motif) ligand 10	21 days
Edg5	NM_017192	1.4	0.9	Endothelial differentiation, sphingolipid G-protein-coupled receptor, 5	21 days
Ela2	NM_012553	0.9	1.01	Elastase 2	21 days
Glycam1	NM_012794	0.93	1.24	Glycosylation dependent cell adhesion molecule 1	21 days
Gp2	NM_134418	0.9	0.8	Glycoprotein 2 (zymogen granule membrane)	21 days
Gpc2	NM_138511	0.92	0.56	Glypican 2 (cerebroglycan)	21 days
Grin2d	NM_022797	1.16	0.71	Glutamate receptor, ionotropic, NMDA2D	21 days
Hspb7	CB606395	1.11	0.88	Heat shock 27kD protein family, member 7 (cardiovascular)	21 days
Igfbp2	NM_013122	1.05	1.34	Insulin-like growth factor binding protein 2	21 days
Lalba	NM_012594	1.26	1.33	Lactalbumin, alpha	21 days
Lgals7	NM_022582	1.13	0.81	Lectin, galactose binding, soluble 7	21 days
Myog	NM_017115	0.95	0.67	Myogenin	21 days
Oip1	NM_134467	1.01	0.7	Ring finger protein 38	21 days
Plxna3	CB548224	0.89	0.45	Plexin A3	21 days
Ptprc	AI177752	0.89	1.3	Protein tyrosine phosphatase, receptor type, C	21 days
Rps6kb2	BQ210840	1.01	0.91	Ribosomal protein S6 kinase, polypeptide 2 (predicted)	21 days
Slpi	NM_053372	1.23	0.75	Secretory leukocyte peptidase inhibitor	21 days
Tacstd1	NM_138541	0.97	0.98	Tumor-associated calcium signal transducer 1	21 days
Bsn	NM_019146	-1.03	-0.9	Hypothetical gene supported by NM_019146	35 days
Cdk2	BQ207066	-0.96	-0.45	Cyclin dependent kinase 2	35 days
Ddx24	CB544892	-2.32	-0.37	DEAD (Asp-Glu-Ala-Asp) box polypeptide 24	35 days
Gad1	NM_017007	-1.07	-0.25	Glutamate decarboxylase 1	35 days
Plaur	BE096666	-0.98	-1.03	Immunoglobulin superfamily, member 4C (predicted)	35 days
Ccna2	AA998516	0.87	0.45	Cyclin A2	35 days
Ctnnd2	BG376561	0.83	0.47	Catenin (cadherin-associated protein), delta 2	35 days
Hsd3b1	AI060276	1.15	0.45	Hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1	35 days
Kcnh1	NM_031742	0.96	0.52	Potassium voltage-gated channel, subfamily H (eag-related), member1	35 days
Myl2	NM_012605	0.92	1.61	Myosin, light polypeptide 2	35 days
Nfyc	NM_012866	0.9	0.83	Nuclear transcription factor-Y gamma	35 days
Pbef1	BI303593	0.83	0.17	Pre-B-cell colony enhancing factor 1	35 days
Rp58	NM_022678	0.97	0.35	Zinc finger protein 238	35 days
Sostdc1	NM_153737	0.84	0.73	Uterine sensitization-associated gene 1 protein	35 days
Vof16	NM_147207	0.89	0.54	Ischemia related factor vof-16	35 days
Znf291	BI300876	0.82	0.23	Zinc finger protein 291	35 days
Gad1	NM_017007	-1.28	-0.39	Glutamate decarboxylase 1	50 days
Gas6	BF556153	-1	-0.41	Growth arrest specific 6	50 days
Actn3	NM_133424	2.08	1.01	Actinin alpha 3	50 days
Birc5	NM_022274	1.25	0.56	Baculoviral IAP repeat-containing 5	50 days
Ca2	NM_019291	1.12	0.14	Carbonic anhydrase 2	50 days
Cdc2a	NM_019296	0.89	0.95	Cell division cycle 2 homolog A (S. pombe)	50 days
Cdkn1c	AI599589	1	0.32	Cyclin-dependent kinase inhibitor 1C (P57)	50 days
Ckm	NM_012530	1.5	1.27	Creatine kinase, muscle	50 days
Cox8h	NM_012786	1.28	1.38	Cytochrom c oxidase subunit VIII-H (heart/muscle)	50 days
Cryab	NM_012935	0.94	0.78	Crystallin, alpha B	50 days
CSN1S1	AA997495	1.15	0.43	Casein alpha s1	50 days
Ddah1	NM_022297	0.95	0.66	Dimethylarginine dimethylaminohydrolase 1	50 days
Dnaja1	NM_022934	0.85	0.21	DnaJ-like protein	50 days
Fabp3	NM_024162	1.16	0.17	Fatty acid binding protein 3	50 days
Glycam1	NM_012794	0.91	0.75	Glycosylation dependent cell adhesion molecule 1	50 days
Gpm6b	NM_138846	1	0.48	Hypothetical gene supported by NM_138846	50 days
Hnrpd	NM_024404	0.94	0.34	Heterogeneous nuclear ribonucleoprotein D	50 days
Igf2	NM_031511	0.92	0.56	Insulin-like growth factor 2	50 days
LOC64183	AI710695	1.08	1.15	Phosphodiesterase 4D interacting protein (myomegalin)	50 days
Mapk6	NM_031622	0.85	0.35	Mitogen-activated protein kinase 6	50 days
Msx1	NM_031059	0.86	0.5	Homeo box, msh-like 1	50 days
Myl2	NM_012605	2.93	0.89	Myosin, light polypeptide 2	50 days
Myom2	BE109496	1.09	1.47	Myomesin 2	50 days
Npy	NM_012614	0.92	0.57	Neuropeptide Y	50 days
Ns5atp9	AI230347	1.39	0.76	Ns5atp9 protein	50 days
Pdlim3	NM_053650	0.96	1.05	PDZ and LIM domain 3	50 days
Pfkm	NM_031715	1.02	0.84	Phosphofructokinase, muscle	50 days
Pgam2	NM_017328	1.09	1.38	Phosphoglycerate mutase 2	50 days
Phlda1	NM_017180	0.91	0.09	Pleckstrin homology-like domain, family A, member 1	50 days
Pom210	NM_053322	0.86	0.33	Nuclear pore membrane glycoprotein 210	50 days
