Rank	NKI ID	Symbol	Annotation	Accession no.
1	111275		EST	H20757
2	109268	ALDH3A2	Aldehyde dehydrogenase 3 family, member A2	AA633569
3	109236	BTD	Biotinidase	R17765
4	110384	KPNA2	Karyopherin alpha 2 (RAG cohort 1, importin alpha 1)	AA676460
5	131448	PLEKHG1	KIAA1209 protein	AI301815
6	108691	ACK1	Activated p21cdc42Hs kinase	AA427891
7	107840	EPC1	ESTs	AA120875
8	126868	TMC4	DKFZP586J0619 protein	AA991211
9	106257	FLJ32499	H. sapiens cDNA FLJ12749 fis, clone NT2RP2001149	W56590
10	128493	GMFG	Glia maturation factor, gamma	AI311932
11	128702			AI313031
12	129547	METAP2	Methionine aminopeptidase; eIF-2-associated p67	AA283030
13	111787	ZNF451	H. sapiens cDNA FLJ13010 fis, clone NT2RP3000542	AA486412
14	103209	RBMS1	H. sapiens mRNA; cDNA DKFZp564H0764 (from clone DKFZp564H0764)	R62566
15	108595	CCL19	Small inducible cytokine subfamily A (Cys-Cys), member 19	AA680186
16	129267			AA609203
17	109127	ESR1	Oestrogen receptor 1	AA291749
18	100263	MYB	V-myb avian myeloblastosis viral oncogene homolog	N49284
19	100524	CELSR2	Cadherin, EGF LAG seven-pass G-type receptor 2, flamingo (Drosophila) homolog	H39187
20	100260	MAL	Mal, T-cell differentiation protein	AA227885
21	102995	PIGT	CGI-06 protein	H82992
22	108649		Human clone 23948 mRNA sequence	H15114
23	109246	BCL2	B-cell CLL/lymphoma 2	W63749
24	100203	TNFAIP3	Tumour necrosis factor, alpha-induced protein 3	AA476272
25	107809	XBP1	X-box binding protein 1	W90128
26	102921		H. sapiens mRNA; cDNA DKFZp434D0818 (from clone DKFZp434D0818)	N95578
27	108671	BCAT2	Branched chain aminotransferase 2, mitochondrial	AA436410
28	101925	EZH2		AA430744
29	123382	HIG1	Likely ortholog of mouse hypoxia induced gene 1	T74105
30	131187	KPNA2	Karyopherin alpha 2 (RAG cohort 1, importin alpha 1)	AA489087
31	111288		H. sapiens mRNA; cDNA DKFZp564C2063 (from clone DKFZp564C2063)	AA416628
32	109170	C4A	Complement component 4A	AA664406
33	108203	TEGT	Testis enhanced gene transcript (BAX inhibitor 1)	AA629591
34	102639	EML2	Microtubule-associated protein like echinoderm EMAP	R27580
35	131258	PSMA7	Proteasome (prosome, macropain) subunit, alpha type, 7	AI318565
36	123478	FLJ14712	Hypothetical protein FLJ14712	N79050
37	109415	FCGBP	Fc fragment of IgG binding protein	R52030
38	127815	PLAT	Plasminogen activator, tissue	R38933
39	115769		ESTs	AA406313
40	106220	GIMAP5	Hypothetical protein FLJ11296	AA150443
41	128641	PTTG1	Pituitary tumour-transforming 1	AI362866
42	105439	TGOLN2	Trans-Golgi network protein (46-, 48-, 51-kD isoforms)	T81338
43	101362	ERBB2	V-erb-b2 avian erythroblastic leukaemia viral oncogene homolog 2 (neuro/glioblastoma derived oncogene homolog)	AA446928
44	108387	IDH2	Isocitrate dehydrogenase 2 (NADP+), mitochondrial	AA679907
45	100352	TGOLN2	Trans-Golgi network protein (46-, 48-, 51-kD isoforms)	H82891
46	107941	PLAC8	Hypothetical protein	AA150263
47	100104	SELL	Selectin L (lymphocyte adhesion molecule 1)	H00662
48	110983	DLEU1	Deleted in lymphocytic leukaemia, 1	AA425755
49	108438	GRB7	Growth factor receptor-bound protein 7	H53703
50	107752	PAG	Phosphoprotein associated with GEMs	N50114
51	128532	LTB	Lymphotoxin beta (TNF superfamily, member 3)	AI351740
52	124620	ASTN2	KIAA0634 protein	AA404602
53	102357	CHN1	Chimerin (chimaerin) 1	AA598668
54	109454	AKR7A2	Aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase)	T62865
55	108678	CASP10	Caspase 10, apoptosis-related cysteine protease	H80712
56	131111	CUGBP2	CUG triplet repeat, RNA-binding protein 2	AA047257
57	123475	C9orf87	Hypothetical protein FLJ10493	N53432
58	105013		EST	H61003
59	100791	TDG	Thymine-DNA glycosylase	AA496947
60	100528	BCL2L2	BCL2-like 2	AA454588
61	116312	FLJ14299	Hypothetical protein FLJ14299	AA453170
62	100700	TRIB2	GS3955 protein	AA458653
63	102004	PIK3R1	Phosphoinositide-3-kinase, regulatory subunit, polypeptide 1 (p85 alpha)	R54050
64	104569	MYO1B	H. sapiens cDNA FLJ20153 fis, clone COL08656, highly similar to AJ001381 H. sapiens incomplete cDNA for a mutated allele	N95358
65	113907	SNRPB2	Small nuclear ribonucleoprotein polypeptide B	H00286
66	128683	WASL	Wiskott-Aldrich syndrome-like	AI261600
67	123768	DUSP22	Mitogen-activated protein kinase phosphatase x	H42417
68	105099	RET	Ret proto-oncogene (multiple endocrine neoplasia MEN2A, MEN2B and medullary thyroid carcinoma 1, Hirschsprung disease)	H24956
69	116859	STMN1	Leukaemia-associated phosphoprotein p18 (stathmin)	AA873060
70	111660	FLJ13710	ESTs	AA120866
71	100112	SAA1	Serum amyloid A1	H25546
72	100840	THOC1	Nuclear matrix protein p84	AA129297
73	129239		EST, Moderately similar to AF119917 63 PRO2831 [H. sapiens]	W95750
74	115662	GIMAP4	Hypothetical protein FLJ11110	AA406363
75	109607	HTPAP	ESTs	T48412
76	108692	EMP2	Epithelial membrane protein 2	T88721
77	105133	JUNB	Jun B proto-oncogene	N94468
78	129959	LOC283352	EST	AI023540
