Probe Set	Accession	Gene Symbol	FC:(Tduc/ normal lobular)	pfp	Increase	Decrease
209351_at	BC002690	KRT14	-22,8833	0	0	4
205157_s_at	NM_000422	KRT17	-17,6991	0	0	4
206378_at	NM_002411	SCGB2A2	-12,1507	0	1	4
212730_at	AK026420	DMN	-9,96016	0	0	5
201820_at	NM_000424	KRT5	-8,86525	0	1	4
203296_s_at	NM_000702	ATP1A2	-8,23723	0	0	4
202036_s_at	AF017987	SFRP1	-7,47943	0	0	4
202037_s_at	NM_003012	SFRP1	-7,12251	0	0	5
211737_x_at	BC005916	PTN	-7,06714	0	0	4
1553602_at	NM_058173	LOC118430	-7,05716	0	0	4
203951_at	NM_001299	CNN1	-6,71592	0	0	5
223623_at	AF325503	ECRG4	-6,57895	0,0006	0	4
229947_at	AI088609	PI15	-6,50195	0,0013	0	4
206548_at	NM_024880	FLJ23556	-6,34115	0,001	0	5
229201_at	AW044658	---	-5,84454	0,0044	0	5
209466_x_at	M57399	PTN	-5,77701	0,0015	0	5
209291_at	AW157094	ID4	-5,13875	0,0027	0	5
204855_at	NM_002639	SERPINB5	-5,13347	0,0054	0	4
204304_s_at	NM_006017	PROM1	-4,97512	0,0016	1	4
223475_at	AF142573	CRISPLD1	-4,97018	0,0054	0	4
226755_at	AI375939	---	-4,94805	0,0102	0	4
1558828_s_at	AL703532	LOC401212	-4,93827	0,006	0	4
201496_x_at	S67238	MYH11	-4,89476	0,0047	1	4
226147_s_at	AA838075	PIGR	-4,80307	0,0129	0	4
209170_s_at	AF016004	GPM6B	-4,7824	0,0055	0	4
202291_s_at	NM_000900	MGP	-4,60193	0,0064	0	4
214456_x_at	M23699	SAA1	-4,54752	0,0046	0	4
204259_at	NM_002423	MMP7	-4,51671	0,0186	0	4
202672_s_at	NM_001674	ATF3	-4,48833	0,0047	0	5
205380_at	NM_002614	PDZK1	-4,46229	0,0143	0	4
1556006_s_at	BQ025347	---	-4,29	0,0087	0	4
202274_at	NM_001615	ACTG2	-4,23729	0,0122	0	4
204389_at	NM_000240	MAOA	-4,18936	0,0145	0	4
205044_at	NM_014211	GABRP	-4,15455	0,0137	1	4
243140_at	AI917901	ACTA2	-4,02414	0,0184	0	4
205382_s_at	NM_001928	DF	-3,96511	0,0183	0	5
220625_s_at	AF115403	ELF5	-3,9604	0,015	0	4
209613_s_at	M21692	ADH1B	-3,93391	0,0052	1	4
223600_s_at	AL136867	KIAA1683	-3,69822	0,0281	0	4
228885_at	AI862120	MAMDC2	-3,65764	0,0279	0	4
222862_s_at	BG169832	AK5	-3,64299	0,0233	0	4
823_at	U84487	CX3CL1	-3,62188	0,043	0	4
202768_at	NM_006732	FOSB	-3,61141	0,0353	0	5
218087_s_at	NM_015385	SORBS1	-3,59971	0,0508	0	4
220230_s_at	NM_016229	CYB5R2	-3,56633	0,0466	0	5
221796_at	AA707199	NTRK2	-3,51741	0,0182	1	4
213029_at	BG478428	NFIB	-3,51741	0,0274	0	4
224823_at	AA526844	MYLK	-3,51617	0,038	0	4
201510_at	AF017307	ELF3	-3,48311	0,0491	0	4
209031_at	AL519710	IGSF4	-3,38639	0,0678	0	4
209189_at	BC004490	FOS	-3,3761	0,0375	0	4
205498_at	NM_000163	GHR	-3,36361	0,0794	0	5
225724_at	AW136120	FLJ31306	-3,35909	0,0359	0	4
233884_at	AL512747	HIVEP3	-3,35458	0,0793	0	4
238481_at	AW512787	MGP	-3,33333	0,0232	0	4
212741_at	AA923354	MAOA	-3,30469	0,0382	0	4
205547_s_at	NM_003186	TAGLN	-3,27654	0,0465	0	4
1554636_at	BC032569	---	-3,26371	0,0866	0	5
214823_at	AF033199	ZNF204	-3,24359	0,0537	0	4
