Probesets	Symbol	Title	FC	Gene ontology	in or decrease
33129_at	CST6	Cystatin E/M	153	Protease inhibitor	Increase
1966_i_at	NOS2C	Nitric oxide synthase 2C (pseudogene)	2.1	NO biosynthesis	Increase
34193_at	CHL1	Cell adhesion molecule with homology to L1CAM	1.72	Cell adhesion	Increase
31665_s_at	—	—	1.71		Increase
33440_at	TCF-8	TCF-8/ZEB1/?EF1 (represses interleukin 2 expression)	1.68	transcription	Increase
37780_at	PCLO	Piccolo (presynaptic cytomatrix protein)	1.63	Cytoskeleton organization	Increase
31954_f_at	GAGE5	G antigen 5	1.6		Increase
34308_at	HIST1H2AC	Histone 1, H2ac	1.56	DNA binding	Increase
31498_f_at	GAGE6	G antigen 6	1.54		Increase
1089_i_at	—	—	1.43		Increase
37043_at	ID3	Inhibitor of DNA binding 3	1.4	Transcription	Increase
39827_at	DDIT4	DNA-damage-inducible transcript 4	1.4		Increase
33149_at	HEAB	ATP/GTP-binding protein	1.39	ATP/GTP binding	Increase
32638_s_at	SMG1	PI-3-kinase-related kinase SMG-1	1.39	mRNA catabolism, kinase	Increase
38932_at	ZNF7	Zinc finger protein 7 (KOX 4, clone HF.16)	1.39	Nucleic acid binding	Increase
36767_at	CYP1A1	Cytochrome P450, family 1, subfamily A, polypeptide 1	1.36	Electron transport	Increase
1697_s_at	PTPRJ	Protein tyrosine phosphatase, receptor type, J	1.36	Cell–cell signaling	Increase
38825_at	FGA	Fibrinogen, A ?-polypeptide	1.35	Cell proliferation	Increase
501_g_at	CYP2J2	Cytochrome P450, family 2, subfamily J, polypeptide 2	1.35	Electron transport	Increase
35372_r_at	IL8	Interleukin 8	1.35	Angiogenesis, cell growth	Increase
38411_at	SORL1	Sortilin-related receptor	1.35	Transmembrane receptor	Increase
41544_at	PLK2	Polo-like kinase 2 (Drosophila)	?1.31	Cell cycle	Decrease
40488_at	DMD	Dystrophin	?1.36	Cytoskeletal anchoring	Decrease
33203_s_at	FOXD1	Forkhead box D1	?1.36	Transcription	Decrease
219_i_at	MAP2	Microtubule-associated protein 2	?1.38	Microtubule stabilization	Decrease
40913_at	ATP2B4	ATPase, Ca2+ transporting, plasma membrane 4	?1.39	Ca2+ transport/binding	Decrease
35168_f_at	COL16A1	Collagen, type XVI, ?1	?1.39	Cell adhesion	Decrease
1005_at	DUSP1	Dual specificity phosphatase 1	?1.4	Cell cycle	Decrease
32761_at	SRRM2	Serine/arginine repetitive matrix 2	?1.41	DNA binding	Decrease
32242_at	CRYAB	Crystallin, ?B	?1.42	Protein folding	Decrease
297_g_at	—	—	?1.42		Decrease
1237_at	IER3	Immediate early response 3	?1.42	Apoptosis, cell growth	Decrease
41431_at	ICK	Intestinal cell (MAK-like) kinase	?1.43	Kinase	Decrease
37420_i_at	HLA-F	Major histocompatibility complex, class I, F	?1.43	Immune response	Decrease
296_at	—	—	?1.43		Decrease
939_at	—	—	?1.44		Decrease
34693_at	SIAT7B	Sialyltransferase 7	?1.45	Glycosylation	Decrease
40081_at	PLTP	Phospholipid transfer protein	?1.46	Lipid metabolism/transport	Decrease
1152_i_at	CGB	Chorionic gonadotropin, ?-polypeptide	?1.46		Decrease
1385_at	TGFBI	Transforming growth factor, ?-induced, 68 kDa	?1.47	Cell adhesion/proliferation	Decrease
39710_at	C5orf13	Chromosome 5 open reading frame 13	?1.5		Decrease
1826_at	RHOB	ras homolog gene family, member B	?1.51	Cell growth/maintenance	Decrease
2067_f_at	BAX	BCL2-associated X protein (?, ?, ?, , and ?)	?1.51	Apoptosis, cell cycle	Decrease
34722_at	TIMP2	Tissue inhibitor of metalloproteinase 2	?1.51	Protease inhibitor	Decrease
34478_at	RAB11B	RAB11B, member RAS oncogene family	?1.53	Signal transduction	Decrease
38803_at	NCALD	Neurocalcin-?	?1.55	Vesicle-mediated transport	Decrease
40489_at	DRPLA	Dentatorubral-pallidoluysian atrophy (atrophin-1)	?1.56	Protein binding	Decrease
34365_at	PPIE	Peptidylprolyl isomerase E (cyclophilin E)	?1.56	Protein folding	Decrease
41124_r_at	ENPP2	Autotaxin (ATX)	?1.57	Cell growth/motility/angiog.	Decrease
33942_s_at	STXBP1	Syntaxin-binding protein 1	?1.59	Protein transport/secretion	Decrease
32243_g_at	CRYAB	Crystallin, ?B	?1.6	Protein folding	Decrease
2094_s_at	FOS	v-fos FBJ murine osteosarcoma viral oncogene homolog	?1.6	Cell growth, transcription	Decrease
1916_s_at	FOS	v-fos FBJ murine osteosarcoma viral oncogene homolog	?1.68	Cell growth, transcription	Decrease
41123_s_at	ENPP2	Autotaxin (ATX)	?1.69	Cell growth/motility/angiog.	Decrease
2065_s_at	BAX	BCL2-associated X protein (?, ?, , and ?)	?1.69	Apoptosis, cell cycle	Decrease
34517_at	HMGCS1	3-Hydroxy-3-methylglutaryl-Coenzyme A synthase 1	?1.71	Lipid metabolism	Decrease
34870_at	LDB3	LIM domain binding 3	?1.72	Protein binding	Decrease
434_at	H1F0	H1 histone family, member 0	?1.8	DNA binding	Decrease
1915_s_at	FOS	v-fos FBJ murine osteosarcoma viral oncogene homolog	?1.86	Cell growth, transcription	Decrease
36498_at	AP1S1	Adaptor-related protein complex 1, ?1 subunit	?1.86	Protein transport	Decrease
38038_at	LUM	Lumican	?1.95	Cell motility	Decrease
1997_s_at	BAX	BCL2-associated X protein (?, ?, and )	?2	Apoptosis, cell cycle	Decrease
