Ensembl Gene ID	HGNC symbol	EntrezGene ID
ENSG00000006125	AP2B1	163
ENSG00000059804	SLC2A3	6515
ENSG00000066697	C9orf30,TMEFF1	91283,8577
ENSG00000076003	MCM6	4175
ENSG00000080986	NDC80	10403
ENSG00000083720	OXCT1	5019
ENSG00000091651	ORC6L	23594
ENSG00000100985	MMP9	4318
ENSG00000102755	FLT1	2321
ENSG00000103121	C16orf61	56942
ENSG00000104415	WISP1	8840
ENSG00000105327	BBC3	
ENSG00000107959	PITRM1	
ENSG00000108771	DHX58	79132
ENSG00000109255	NMU	10874
ENSG00000112414	GPR126	57211
ENSG00000114346	ECT2	1894
ENSG00000115163	CENPA	1058
ENSG00000115461	IGFBP5	3488
ENSG00000116750	UCHL5	51377
ENSG00000119699	TGFB3	7043
ENSG00000125895	C20orf46	55321
ENSG00000127252	HRASLS	57110
ENSG00000128266	GNAZ	
ENSG00000131152		
ENSG00000134202	GSTM3	2947
ENSG00000134871	COL4A2	1284
ENSG00000137804	NUSAP1	51203
ENSG00000139734	DIAPH3	81624,100134278
ENSG00000143476	DTL	51514
ENSG00000143776	CDC42BPA	8476
ENSG00000144331	ZNF385B	151126
ENSG00000144354	CDCA7	83879
ENSG00000152749	GPR180	160897
ENSG00000152953	STK32B	55351
ENSG00000154917	RAB6B	51560
ENSG00000156136	DCK	1633
ENSG00000156427	FGF18	8817
ENSG00000157654	AKAP2,PALM2	445815
ENSG00000159423	ALDH4A1	8659
ENSG00000163655	GMPS	8833
ENSG00000163918	RFC4	
ENSG00000164283	ESM1	11082
ENSG00000165304	MELK	9833
ENSG00000165661	QSOX2	169714
ENSG00000166927	MS4A7	
ENSG00000175356	SCUBE2	57758
ENSG00000180543	TSPYL5	85453
ENSG00000182197	EXT1	2131
ENSG00000183814	LIN9	286826
ENSG00000198721	PECI	10455
ENSG00000198863	RUNDC1	146923
ENSG00000198901	PRC1	9055
ENSG00000204323		
ENSG00000205572	SERF1B	
