Gene	UniGene Number	Hazard Ratio	P Value�	Correlation Coefficient for Microarray Results vs. Real-Time RT-PCR Results	P Value�
ERBB3	Hs.118681	1.73	0.03	0.59	<0.001
LCK	Hs.470627	0.43	0.02	0.55	<0.001
DUSP6	Hs.298654	2.12	0.01	0.46	<0.001
STAT1	Hs.470943	0.56	0.02	0.4	<0.001
MMD	Hs.463483	2.5	0.04	0.27	0.006
CPEB4	Hs.127126	1.8	0.02	0.16	0.12
RNF4	Hs.66394	1.91	0.02	0.13	0.18
STAT2	Hs.530595	1.8	0.03	0.15	0.12
NF1	Hs.113577	1.6	0.04	-0.15	0.12
FRAP1	Hs.338207	0.46	0.04	-0.12	0.24
DLG2	Hs.503453	3.75	0.004	-0.09	0.37
IRF4	Hs.401013	1.68	0.03	0.06	0.57
ANXA5	Hs.480653	0.34	0.004	0.06	0.57
HMMR	Hs.72550	1.67	0.04	-0.03	0.79
HGF	Hs.396530	1.66	0.03	0.02	0.82
ZNF264	Hs.515634	1.73	0.01	0.01	0.95
