Rank	Gene symbol	Accession number	Annotation
1	CBX3	W69106	heterochromatin-like protein 1
2		AA620477	eukaryotic translation elongation factor 1 gamma
3	CKS2	AA010065	CDC28 protein kinase 2
4	CKS2	AA397813	CDC28 protein kinase 2
5	ATP5J2	AA453995	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit f, isoform 2
6	C2orf4	W84667	Chromosome 2 open reading frame 4
7	SDCCAG3	N74362	serologically defined colon cancer antigen 3
8	EVI2B	AA159620	ecotropic viral integration site 2B
9	EGR1	AA486533	early growth response 1
10	CKS1B	AA459292	CDC28 protein kinase 1
11	ASIP	AI220203	agouti (mouse)-signaling protein
12	FLJ11305	N94612	hypothetical protein FLJ11305
13	LSM7	AA402875	U6 snRNA-associated Sm-like protein LSm7
14	NOLA3	AA464531	nucleolar protein family A, member 3 (H/ACA small nucleolar RNPs)
15		H90134
16	PHF8	AA278697	PHD finger protein 8
17	POLR2H	AI554561	polymerase (RNA) II (DNA directed) polypeptide H
18	MRPS11	AI348664	Mitochondrial ribosomal protein S11
19	TSGA14	AA629116	Testis specific, 14
20	H2AFV	AI344518	H2A histone family, member V
21	LOC440448	AA464251	Homo sapiens cDNA: FLJ20944 fis, clone ADSE01780
22	FLJ10349	W81472	Hypothetical protein FLJ10349
23	OAZ2	AA780745	Ornithine decarboxylase antizyme 2
24	CDH12	R70233 | AI732287	Cadherin 12, type 2 (N-cadherin 2)
25	LOC339005	AA022910	ESTs, Moderately similar to 810024C cytochrome oxidase I [H.sapiens]
26	FLJ12770	AA447727	Homo sapiens cDNA FLJ12770 fis, clone NT2RP2001613, weakly similar to MITOCHONDRIAL IMPORT RECEPTOR SUBUNIT TOM40
27	ZNF291	H10995	Zinc finger protein 291
28	MRPL36	AA454963	Mitochondrial ribosomal protein L36
29	MCM4	AA488610	minichromosome maintenance deficient (S. cerevisiae) 4
30		N73550	ESTs
31	FDPS	T65790	farnesyl diphosphate synthase (farnesyl pyrophosphate synthetase, dimethylallyltranstransferase, geranyltranstransferase)
32		AI653010	H4 histone family, member D
33		AA877347	6-pyruvoyltetrahydropterin synthase
34		R69236 | R69117	CHMP1.5 protein
35		AA410289	CDNA FLJ35491 fis, clone SMINT2008625, moderately similar to GLYCINE CLEAVAGE SYSTEM H PROTEIN PRECURSOR
36	MLLT10	N68327	myeloid/lymphoid or mixed-lineage leukemia (trithorax (Drosophila) homolog); translocated to, 10
37	H3F3A	AA878273	H3 histone, family 3A
38		AA490902	guanylate kinase 1
39	ARHGEF18	AA456630	Rho-specific guanine nucleotide exchange factor p114
40		AA426022	Full-length cDNA clone CS0DI014YH21 of Placenta Cot 25-normalized of Homo sapiens (human)
41	CHD4	H02839	chromodomain helicase DNA binding protein 4
42		N74625
43	FLJ34870	AA022953	EST
44		AA128316
45	ZNF596	H50654	Zinc finger protein 596
46	HUMGT198A	AA134555	GT198, complete ORF
47		R98047	ESTs
48	PCBP2	H90894	poly(rC)-binding protein 2
49	MTHFD2	AA480995	methylene tetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofolate cyclohydrolase
50	CBL	W73366	Cas-Br-M (murine) ecotropic retroviral transforming sequence
51		R38943
52	TNPO3	AA455456	Transportin 3
53	C20orf44	R82522	Chromosome 20 open reading frame 44
54	SLC26A4	AI139968	solute carrier family, member 4
55		H10228	ESTs
56	CYR61	AA012944	cysteine-rich, angiogenic inducer, 61
57		AA521370	ESTs
58		W52341 | AA284245	EST
59	PRC1	AA449336	protein regulator of cytokinesis 1
60	TIMM8B	AA629910	translocase of inner mitochondrial membrane 8 (yeast) homolog B
61	RPL35	AA625634	ribosomal protein L35
62		W96155	v-jun avian sarcoma virus 17 oncogene homolog
63		R98487	ESTs
64		H01940	ESTs
65	HIST1H4B	AI218900	Histone 1, H4b
66	PSMA7	AI318565	proteasome (prosome, macropain) subunit, alpha type, 7
67		H70498	Homo sapiens mRNA; cDNA DKFZp564F093 (from clone DKFZp564F093)
68	LAT1-3TM	AA398908	LAT1-3TM protein
69	SDF2	R45235	stromal cell-derived factor 2
70	NME1	AA644092	non-metastatic cells 1, protein (NM23A) expressed in
71		N62213	ESTs
72	C9orf123	AA016225	Chromosome 9 open reading frame 123
73	ATP5I	AA431433	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit e
74		AI688512
75	WAC	N73510	WW domain containing adaptor with coiled-coil
76	ENDOGL1	AI127671	endonuclease G-like 1
77	CFH	AA953249	H factor 1 (complement)
78	SYT1	AA683073	synaptotagmin I
79		H93021	peptidylprolyl isomerase A (cyclophilin A)
80	CHURC1	AA626788	Churchill domain containing 1
