ProbeID	Description	GeneBank/RefSeq Id
A_23_P82699	T-LAK cell-originated protein kinase A	B027249
A_23_P92441	MAD2 mitotic arrest deficient-like 1 (yeast)	NM_002358
A_23_P117852	KIAA0101 gene product	NM_014736
A_23_P155815	chromosome condensation protein G	NM_022346
A_23_P63789	ZW10 interactor	NM_032997
A_23_P157099	anillin, actin binding protein (scraps homolog, Drosophila) A	F273437
A_23_P138507	cell division cycle 2, G1 to S and G2 to M	NM_001786
A_23_P136222	ribonucleotide reductase M2 polypeptide	X59618
A_23_P206183	nucleolar protein ANKT A	F305711
A_23_P201156	nectin-like protein 1	NM_021189
A_23_P45917	CDC28 protein kinase regulatory subunit 1B	NM_001826
A_23_P118815	baculoviral IAP repeat-containing 5 (survivin) B	C000784
A_23_P60271	SMC2 structural maintenance of chromosomes 2-like 1 (yeast)	NM_006444
A_23_P94422	maternal embryonic leucine zipper kinase	NM_014791
A_23_P110802	centromere protein H	NM_022909
A_23_P24129	dickkopf homolog 1 (Xenopus laevis)	NM_012242
A_23_P53276	timeless homolog (Drosophila)	NM_003920
A_23_P134910	gamma-glutamyl hydrolase (conjugase, folylpolygammaglutamyl hydrolase)	NM_003878
A_23_P168747	hypothetical protein FLJ20311	NM_017760
A_23_P87351	ribonucleotide reductase M1 polypeptide	NM_001033
A_23_P122197	cyclin B1	NM_031966
A_23_P58321	cyclin A2	NM_001237
A_23_P83134	growth arrest-specific 1	NM_002048
A_23_P65678	fibrillin 1 (Marfan syndrome)	NM_000138
A_23_P75071	M-phase phosphoprotein 1	NM_016195
A_23_P155989	leucine zipper protein FKSG14	NM_022145
A_23_P48835	kinesin family member 23	NM_138555
A_23_P115482	HSPC150 protein similar to ubiquitin-conjugating enzyme	NM_014176
A_23_P11862	hypothetical protein FLJ10706	NM_018186
A_23_P11652	ubiquitin specific protease 1	NM_003368
A_23_P7642	secreted protein, acidic, cysteine-rich (osteonectin)	NM_003118
A_23_P68610	TPX2, microtubule-associated protein homolog (Xenopus laevis)	NM_012112
A_23_P200866	stathmin 1/oncoprotein 18	NM_005563
A_23_P254733	KSHV latent nuclear antigen interacting protein 1	NM_024629
A_23_P89509	sperm associated antigen 5	NM_006461
A_23_P95302	replication factor C (activator 1) 5, 36.5kDa	NM_181578
A_23_P86653	proteoglycan 1, secretory granule	NM_002727
A_23_P159390	topoisomerase (DNA) II binding protein A	K026229
A_23_P65110	Rac GTPase activating protein 1	NM_013277
A_23_P155765	high-mobility group box 2	NM_002129
A_23_P92794	chromosome 5 open reading frame 13 B	C019068
A_23_P104372	DnaJ (Hsp40) homolog, subfamily C, member 9	NM_015190
A_23_P52017	asp (abnormal spindle)-like, microcephaly associated (Drosophila)	NM_018136
A_23_P204904	centromere protein J A	F139625
A_23_P107421	thymidine kinase 1, soluble	NM_003258
A_23_P206059	protein regulator of cytokinesis 1	NM_003981
A_23_P67771	BRCA1 associated RING domain 1	NM_000465
