Affy ID	Name	GenBank	Description
200801_x_at	ACTB	NM_001101	Actin, beta
208637_x_at	ACTN1	BC003576	Actinin, alpha 1
219918_s_at	ASPM	NM_018123	Homo sapiens asp (abnormal spindle)-like, microcephaly associated (Drosophila) (ASPM)
218542_at	C10orf3	NM_018131	Chromosome 10 open reading frame 3
218456_at	C1QDC1	NM_023925	C1q domain containing 1
209714_s_at	CDKN3	AF213033	Cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase)
204170_s_at	CKS2	NM_001827	CDC28 protein kinase regulatory subunit 2
204014_at	DUSP4	NM_001394	Dual specificity phosphatase 4
214805_at	EIF4A1	U79273	Eukaryotic translation initiation factor 4A, isoform 1
203499_at	EPHA2	NM_004431	EPH receptor A2
205014_at	FGFBP1	NM_005130	Fibroblast growth factor binding protein 1
218349_s_at	FLJ10036	NM_017975	Zwilch
202580_x_at	FOXM1	NM_021953	Forkhead box M1
218663_at	HCAP-G	NM_022346	Chromosome condensation protein G
200790_at	ODC1	NM_002539	Ornithine decarboxylase 1
209773_s_at	RRM2	BC001886	Ribonucleotide reductase M2 polypeptide
212190_at	SERPINE2	AL541302	Ser (or cys) proteinase inhibitor, clade E (nexin, plasminogen activator inhib type 1), member 2
204092_s_at	STK6	NM_003600	Serine/threonine kinase 6
206467_x_at	TNFRSF6B	NM_003823	Tumor necrosis factor receptor superfamily, member 6b, decoy
204033_at	TRIP13	NM_004237	Thyroid hormone receptor interactor 13
201714_at	TUBG1	NM_001070	Tubulin, gamma 1
203856_at	VRK1	NM_003384	Vaccinia related kinase 1
