ProbeID	Description	GeneBank/RefSeq Id
A_23_P161940	secretoglobin, family 2A, member 2	NM_002411
A_23_P148088	fibrinogen, gamma polypeptide	NM_021870
A_23_P202232	antigen identified by monoclonal antibody Ki-67	X65550
A_23_P145841	sclerostin domain containing 1	NM_015464
A_23_P12816	helicase, lymphoid-specific	NM_018063
A_23_P23303	exonuclease 1	NM_003686
A_23_P136222	ribonucleotide reductase M2 polypeptide	X59618
A_23_P151150	forkhead box M1	NM_021953
A_23_P2355	chromobox homolog 5 (HP1 alpha homolog, Drosophila)	NM_012117
A_23_P7873	MCM3 minichromosome maintenance deficient 3 (S. cerevisiae)	NM_002388
A_23_P60271	SMC2 structural maintenance of chromosomes 2-like 1 (yeast)	NM_006444
A_23_P165937	chromosome 20 open reading frame 172	NM_024918
A_23_P206059	protein regulator of cytokinesis 1	NM_003981
A_23_P83931	neuroepithelial cell transforming gene 1	NM_005863
A_23_P74349	cell division cycle associated 1	NM_145697
A_23_P150555	secretoglobin, family 1D, member 2	NM_006551
A_23_P163481	BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)	NM_001211
A_23_P258493	lamin B1	NM_005573
A_23_P155765	high-mobility group box 2	NM_002129
A_23_P92441	MAD2 mitotic arrest deficient-like 1 (yeast)	NM_002358
A_23_P65040	Rac GTPase activating protein 1 B	C032754
A_23_P88731	RAD51 homolog (RecA homolog, E. coli) (S. cerevisiae)	NM_002875
A_23_P155711	DNA glycosylase hFPG2	NM_018248
A_23_P252413	metallothionein 2A B	C007034
A_23_P164047	monocyte to macrophage differentiation-associated	NM_012329
A_23_P58321	cyclin A2	NM_001237
A_23_P104651	cell division cycle associated 5	NM_080668
A_23_P10385	RA-regulated nuclear matrix-associated protein	NM_016448
A_23_P140705	TRAF4 associated factor 1 B	C045739
A_23_P208880	ubiquitin-like, containing PHD and RING finger domains, 1	NM_013282
A_23_P82699	T-LAK cell-originated protein kinase A	B027249
A_23_P401	centromere protein F, 350/400ka (mitosin)	NM_016343
A_23_P254702	DEK oncogene (DNA binding) B	C035259
A_23_P82499	paternally expressed 10 A	B028974
A_23_P34788	kinesin family member 2C	NM_006845
A_23_P206632	membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase	U56816
A_23_P155815	chromosome condensation protein G	NM_022346
A_23_P8241	F-box only protein 5	NM_012177
A_23_P159390	topoisomerase (DNA) II binding protein A	K026229
A_23_P99292	RAD51-interacting protein	NM_006479
A_23_P138507	cell division cycle 2, G1 to S and G2 to M	NM_001786
A_23_P133123	GAJ protein	NM_032117
A_23_P118834	topoisomerase (DNA) II alpha 170kDa	NM_001067
A_23_P252740	defective in sister chromatid cohesion homolog 1 (S. cerevisiae)	NM_024094
A_23_P139312	hypothetical protein LOC200895	NM_176815
A_23_P88630	Bloom syndrome	NM_000057
A_23_P160934	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E A	Y057381
A_23_P57379	CDC45 cell division cycle 45-like (S. cerevisiae)	NM_003504
A_23_P18196	replication factor C (activator 1) 4, 37kDa	NM_002916
A_23_P118815	baculoviral IAP repeat-containing 5 (survivin) B	C000784
A_23_P119254	ASF1 anti-silencing function 1 homolog B (S. cerevisiae)	NM_018154
A_23_P9571	epithelial cell transforming sequence 2 oncogene B	C006838
A_23_P93690	MCM7 minichromosome maintenance deficient 7 (S. cerevisiae)	NM_005916
A_23_P250801	MCM2 minichromosome maintenance deficient 2, mitotin (S. cerevisiae)	X67334
A_23_P215208	fidgetin-like 1	NM_022116
A_23_P143207	ubiquitin-conjugating enzyme E2C B	C016292
A_23_P53276	timeless homolog (Drosophila)	NM_003920
A_23_P68610	TPX2, microtubule-associated protein homolog (Xenopus laevis)	NM_012112
A_23_P87192	flap structure-specific endonuclease 1 B	C000323
A_23_P14193	replication factor C (activator 1) 3, 38kDa	NM_002915
A_23_P139547	tubulin, alpha 3	NM_006009
A_23_P48669	cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase)	NM_005192
A_23_P134734	hypothetical protein FLJ20366	NM_017786
A_23_P93823	replication factor C (activator 1) 2, 40kDa	NM_181471
A_23_P137514	influenza virus NS1A binding protein A	K093912
A_23_P115482	HSPC150 protein similar to ubiquitin-conjugating enzyme	NM_014176
A_23_P35871	hypothetical protein FLJ23311	NM_024680
A_23_P48835	kinesin family member 23	NM_138555
A_23_P67771	BRCA1 associated RING domain 1	NM_000465
A_23_P89801	acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase) A	K054673
A_23_P88484	dUTP pyrophosphatase	U31930
A_23_P46306	chromosome condensation 1 B	C007300
A_23_P250313	KIAA1524 protein A	K022912
A_23_P167607	thyroid hormone receptor interactor 13 B	C000404
A_23_P96328	hypothetical protein FLJ20105 A	K000112
A_23_P137654	hypothetical protein FLJ22390 A	K026043
A_23_P107421	thymidine kinase 1, soluble	NM_003258
A_23_P84620	RA-regulated nuclear matrix-associated protein A	F195765
A_23_P206183	nucleolar protein ANKT A	F305711
A_23_P105571	choline phosphotransferase 1	NM_020244
A_23_P15843	BRCA1 interacting protein C-terminal helicase 1 A	F360549
A_23_P200866	stathmin 1/oncoprotein 18	NM_005563
A_23_P95302	replication factor C (activator 1) 5, 36.5kDa	NM_181578
A_23_P51085	AD024 protein	NM_020675
A_23_P36528	transmembrane 4 superfamily member 3 B	C005246
A_23_P259586	TTK protein kinase	NM_003318
A_23_P168747	hypothetical protein FLJ20311	NM_017760
A_23_P155989	leucine zipper protein FKSG14	NM_022145
A_23_P52017	asp (abnormal spindle)-like, microcephaly associated (Drosophila)	NM_018136
A_23_P65757	cyclin B2	NM_004701
A_23_P11862	hypothetical protein FLJ10706	NM_018186
A_23_P55769	ubiquitin carrier protein	M91670
A_23_P45917	CDC28 protein kinase regulatory subunit 1B	NM_001826
A_23_P85780	phosphoglycerate dehydrogenase B	C011262
A_23_P49972	CDC6 cell division cycle 6 homolog (S. cerevisiae)	NM_001254
A_23_P217411	SMC1 structural maintenance of chromosomes 1-like 1 (yeast)	D80000
A_23_P94422	maternal embryonic leucine zipper kinase	NM_014791
A_23_P212844	transforming, acidic coiled-coil containing protein 3	NM_006342
A_23_P259438	deoxycytidine kinase	NM_000788
A_23_P216068	PRO2000 protein	NM_014109
A_23_P167553	mutS homolog 3 (E. coli)	NM_002439
A_23_P74359	cysteine and glycine-rich protein 1	NM_004078
A_23_P157099	anillin, actin binding protein (scraps homolog, Drosophila) A	F273437
A_23_P106433	B	C008845
A_23_P89509	sperm associated antigen 5	NM_006461
A_23_P118246	HSPC037 protein	NM_016095
A_23_P25069	hypothetical protein DKFZp434C0631	NM_173498
A_23_P65110	Rac GTPase activating protein 1	NM_013277
A_23_P91590	RAN binding protein 1	NM_002882
A_23_P96607	thymosin, beta, identified in neuroblastoma cells B	C000183
A_23_P254733	KSHV latent nuclear antigen interacting protein 1	NM_024629
A_23_P215701	caspase 2, apoptosis-related cysteine protease (neural precursor cell expressed, developmentally down-regulated 2)	NM_032982
A_23_P54617	kinesin family member 22 A	B017430
A_23_P204904	centromere protein J A	F139625
A_23_P100127	AF15q14 protein	NM_020380
A_23_P163782	metallothionein 1H B	C008408
A_23_P257731	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 12 (GalNAc-T12) A	K024865
A_23_P252335	chromosome 21 open reading frame 45	NM_018944
A_23_P152136	hypothetical protein FLJ13912	NM_022770
A_23_P144179	coproporphyrinogen oxidase (coproporphyria, harderoporphyria)	NM_000097
A_23_P216355	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor-like 2	NM_013432
A_23_P204170		I_932423
A_23_P89941	cyclin-dependent kinase inhibitor 2D (p19, inhibits CDK4)	NM_001800
A_23_P50108	highly expressed in cancer, rich in leucine heptad repeats	NM_006101
A_23_P155968	serine/threonine kinase 18 A	B006972
A_23_P11652	ubiquitin specific protease 1	NM_003368
A_23_P216517	hypothetical protein FLJ14642 B	C033666
A_23_P143994	Fanconi anemia, complementation group D2 A	L832427
A_23_P148273	implantation-associated protein A	L136636
A_23_P71558	RecQ protein-like 4	NM_004260
A_23_P118582		L38933
A_23_P19712	geminin, DNA replication inhibitor	NM_015895
A_23_P88362	peptidylprolyl isomerase (cyclophilin) like 5 A	Y052405
A_23_P254626	sarcoglycan, epsilon	NM_003919
A_23_P163027	ADP-ribosyltransferase (NAD+; poly(ADP-ribose) polymerase)-like 2	NM_005484
A_23_P14062	nuclear pore complex protein	NM_020401
A_23_P102202	mutS homolog 6 (E. coli)	NM_000179
A_23_P123974	deoxythymidylate kinase (thymidylate kinase) A	F258562
A_23_P63789	ZW10 interactor	NM_032997
A_23_P203949	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 11 (CHL1-like helicase homolog, S. cerevisiae)	NM_004399
A_23_P32707	extra spindle poles like 1 (S. cerevisiae)	NM_012291
