Cox score coefficient	Probe set	Map	Gene	UniGene ID	Entrez ID
2	210078_s_at	3q26.1	KCNAB1	Hs.157818	7881
1.7	205978_at	13q12	KL	Hs.524953	9365
1.5	214152_at	15q21–q22	PIGB	Hs.126115	9488
1.5	208733_at	8q12.1	RAB2	Hs.369017	5862
1.3	213786_at	7p15	TAX1BP1	Hs.34576	8887
1.2	212522_at	15q25.3	PDE8A	Hs.9333	5151
1.1	203355_s_at	8pter–p23.3	PSD3	Hs.434255	23362
1.1	213894_at	7p21.3	KIAA0960	Hs.120855	23249
1.1	219427_at	4q28.1	FAT4	Hs.269121	79633
1.1	218306_s_at	15q22	HERC1	Hs.210385	8925
1	218878_s_at	10q21.3	SIRT1	Hs.369779	23411
1	211698_at	15q21.1–q21.2	CRI1	Hs.255973	23741
1	200685_at	1p31	SFRS11	Hs.479693	9295
0.9	214151_s_at	15q21–q22	PIGB	Hs.126115	9488
0.9	201535_at	13q12–q13	UBL3	Hs.145575	5412
0.8	202034_x_at	8p22–q21.13	RB1CC1	Hs.196102	9821
0.8	203970_s_at	6q23–q24	PEX3	Hs.7277	8504
0.8	218421_at	22q13.31	CERK	Hs.200668	64781
0.7	203049_s_at	5q15	KIAA0372	Hs.482868	9652
0.7	217731_s_at	13q14.3	ITM2B	Hs.446450	9445
0.7	205529_s_at	8q22	RUNX1T1	Hs.368431	862
0.6	208732_at	8q12.1	RAB2	Hs.369017	5862
0.6	208070_s_at	6q21	REV3L	Hs.232021	5980
0.6	212327_at	4p13	KIAA1102	Hs.335163	22998
0.6	205407_at	9p13–p12	RECK	Hs.388918	8434
0.6	206167_s_at	Xp22.3	ARHGAP6	Hs.435291	395
0.5	201916_s_at	6q21	SEC63	Hs.529957	11231
0.5	205883_at	11q23.1	ZBTB16	Hs.171299	7704
0.4	202242_at	Xp11.4	TSPAN7	Hs.441664	7102
0.4	201843_s_at	2p16	EFEMP1	Hs.76224	2202
0.4	204237_at	2q32.3–q33	GULP1	Hs.470887	51454
0.4	209894_at	1p31	LEPR	Hs.23581	54741
0.3	211959_at	2q33–q36	IGFBP5	Hs.369982	3488
–0.9	218908_at	17q25	ASPSCR1	Hs.298351	79058
–0.9	218473_s_at	19p13.11	GLT25D1	Hs.418795	79709
–1	211084_x_at	2p21	PRKD3	Hs.173536	23683
–1	221649_s_at	19p13	PPAN	Hs.14468	56342
–1	213669_at	19p13.11	FCHO1	Hs.96485	23149
–1	209831_x_at	19p13.2	DNASE2	Hs.118243	1777
–1.1	206723_s_at	19p12	EDG4	Hs.122575	9170
–1.1	221256_s_at	9q32	HDHD3	Hs.7739	81932
–1.1	216821_at	12q13	KRT8	Hs.307126	3856
–1.2	218161_s_at	15q23	CLN6	Hs.554828	54982
–1.2	218590_at	10q23.3–24.3	PEO1	Hs.22678	56652
–1.2	206722_s_at	19p12	EDG4	Hs.122575	9170
–1.2	216684_s_at	18q11.2	SS18	Hs.404263	6760
–1.2	216397_s_at	8q24.3	BOP1	Hs.535901	23246
–1.2	201679_at	7q21	ARS2	Hs.111801	51593
–1.3	219021_at	11q13.4	RNF121	Hs.368554	55298
–1.3	221941_at	10q26.3	PAOX	Hs.532469	196743
–1.4	215728_s_at	1p36.31–p36.11	BACH	Hs.126137	11332
–1.4	207484_s_at	6p21.31	EHMT2	Hs.520038	10919
–1.5	202848_s_at	5q35	GRK6	Hs.235116	2870
–1.6	215869_at	9q31.1	ABCA1	Hs.429294	19
–1.8	216855_s_at	1q44	HNRPU	Hs.166463	3192
–2	211363_s_at	9p21	MTAP	Hs.193268	4507
–3.3	208547_at	6p21.3	HIST1H2BB	Hs.553494	3018
