GenBank ID	UniGene ID	Description
N36176	Hs.108636	Membrane protein CH1
AA149253	Hs.107987	NA
AA425320	Hs.250461	Hypothetical protein; MDG1; similar to putative microvascular endothelial differentiation gene 1; similar to X98993 (PID:g1771560)
AA775616	Hs.313	OPN-b; osteopontin; secreted phosphoprotein 1 (osteopontin, bone sialoprotein I, early T-lymphocyte activation 1)
N72847	Hs.125221	NA
AA706226	Hs.113264	Neuregulin 2 isoform 4
AA976642	Hs.42116	Axin 2 (conductin, axil)
AA133215	Hs.32989	Receptor activity-modifying protein 1 precursor (CRLR activity-modifying�protein 1)
AA457267	Hs.70669	P19 protein; HMP19 protein
N50073	Hs.84926	Hypothetical protein
R38360	Hs.145567	NA
AA450205	Hs.8146	Translocation protein-1; Sec62; Dtrp1 protein; membrane protein SEC62, S cerevisiae, homolog of [Homo sapiens]
AA148578	Hs.110956	KOX 13 protein (56 AA)
R38640	Hs.89584	Insulinoma-associated 1; bA470C13.2 (insulinoma-associated protein 1)
AA487274	Hs.48950	Heptacellular carcinoma novel gene-3 protein; DAPPER1
N53172	Hs.23016	Orphan receptor; orphan G protein-coupled receptor RDC1
AA045308	Hs.7089	Insulin-induced protein 2; INSIG-2 membrane protein
AA045075	Hs.62751	Syntaxin 7
N63366	Hs.161488	NA
R22340	---	Chr2 synaptotagmin; KIAA1228 protein
AA437223	Hs.46640	NA
AA481250	Hs.154138	Chitinase precursor; chitinase 3-like 2; chondrocyte protein 39
AA045793	Hs.6790	Hypothetical protein; MDG1; similar to putative microvascular endothelial differentiation gene 1; similar to X98993 (PID:g1771560); microvascular endothelial differentiation gene 1 product; microvascular endothelial differentiation gene 1; DKFZP564F1862 p
H87795	Hs.233502	NA
AA121806	Hs.84564	Rab3c; hypothetical protein BC013033
AA284172	Hs.89385	NPAT; predicted amino acids have three regions that share similarity to annotated domains of transcriptional factor oct-1, nucleolus-cytoplasm shuttle phosphoprotein and protein kinases; NPAT; nuclear protein, ataxia-telangiectasia locus; similar to nuc
R68106	Hs.233450	Fc-gamma-RIIb2; precursor polypeptide (AA �42 to 249); IgG Fc receptor; IgG Fc receptor; IgG Fc receptor beta-Fc-gamma-RII; IgG Fc fragment receptor precursor; Fc gamma RIIB [H. sapiens]; Fc gamma RIIB
AA479270	Hs.250802	Diff33 protein homolog; KIAA1253 protein [H. sapiens]; KIAA1253 protein [H. sapiens]
AA432030	Hs.179972	Interferon-induced protein 6-16 precursor (Ifi-6-16); [Human] [H. sapiens]
R10545	Hs.148877	dJ425C14.2 (placental protein)
AA453508	Hs.168075	Transportin; karyopherin (importin) beta 2 [H. sapiens]; karyopherin beta 2; importin beta 2; transportin; M9 region interaction protein [H. sapiens]
AI149393	Hs.9302	Phosducin-like protein; phosducin-like protein; phosducin-like protein; phosducin-like protein; hypothetical protein; phosducin-like; unknown (protein for MGC:14088) [H. sapiens]
AA883496	Hs.125778	Null
AA167823	Hs.112058	CD27BP [H. sapiens]
AI203139	Hs.180370	Hypothetical protein FLJ30934 [H. sapiens]
H19822	Hs.2450	KIAA0028; leucyl-tRNA synthetase, mitochondrial [H. sapiens]; leucyl-tRNA synthetase, mitochondrial [H. sapiens]; leucine-tRNA ligase precursor; leucine translase [H. sapiens]
W73732	Hs.83634	Null
AA777892	Hs.121939	Null
AA885478	Hs.125741	Unnamed protein product [H. sapiens]; hypothetical protein FLJ12505 [H. sapiens]; unknown (protein for MGC:39884) [H. sapiens]
AA932696	Hs.8022	TU3A protein; TU3A protein [H. sapiens]
AA481507	Hs.159492	Unnamed protein product [H. sapiens]
H18953	Hs.15232	Null
AA709158	Hs.42853	Put. DNA binding protein; put. DNA binding protein; cAMP responsive element binding protein-like 1; Creb-related protein [H. sapiens]
AA488652	Hs.4209	HSPC235; ribosomal protein L2; Similar to ribosomal protein, mitochondrial, L2 [H. sapiens]; mitochondrial ribosomal protein L37; ribosomal protein, mitochondrial, L2 [H. sapiens]
N39584	Hs.17404	Null
H62801	Hs.125059	Unknown (protein for IMAGE:4309224) [H. sapiens]; hypothetical protein [H. sapiens]
H17638	Hs.17930	dJ1033B10.2.2 (chromosome 6 open reading frame 11 [BING4], isoform 2) [H. sapiens]
R43684	Hs.165575	dJ402G11.5 (novel protein similar to yeast and bacterial predicted proteins) [H. sapiens]
N21630	Hs.143039	Hypothetical protein PRO1942
T81317	Hs.189846	Alu subfamily J sequence contamination warning entry. [Human] [H. sapiens]
R45595	Hs.23892	Null
T90789	Hs.121586	Ray; small GTP binding protein RAB35 [H. sapiens]; RAB35, member RAS oncogene family; ras-related protein rab-1c (GTP-binding protein ray) [H. sapiens]
AA283062	Hs.73986	Similar to CDC-like kinase 2 [H. sapiens]
