Gene	Access	Description	Fold Change	Incidence	Function
Clk4	AF005423	CDC-like kinase 4	2.3	3/5	Cell cycle – related genes
Cks1	AB025409	CDC28 protein kinase 1	4.0	4/5	Cell cycle – related genes
CDC2a	M38724	CDC2 homolog A	16.0	5/5	Cell cycle – related genes
CDC20	AW061324	CDC20 homolog	4.6	4/5	Cell cycle – related genes
CDC25c	L16926	CDC25 homolog C	5.3	4/5	Cell cycle – related genes
Ccna2	X75483	Cyclin A2	2.6	3/5	Cell cycle – related genes
Ccnb1	X64713	Cyclin B1	16.0	4/5	Cell cycle – related genes
Ccnb2	X66032	Cyclin B2	2.5	3/5	Cell cycle – related genes
Ccnd1	AI849928	Cyclin D1	2.6	4/5	Cell cycle – related genes
Ccne1	X75888	Cyclin E1	2.5	4/5	Cell cycle – related genes
Mad2l1	U83902	MAD2-like 1	2.6	4/5	Cell cycle – related genes
Plk	U01063	Polo-like kinase homolog	9.1	5/5	Cell cycle – related genes
Plk-ps1	U73170	Polo-like kinase, pseudogene 1	2.6	4/5	Cell cycle – related genes
Dp1	AF043939	DP1 gene	2.0	3/5	Cell cycle – related genes
Gadd45b	AV138783	GADD45 beta	4.3	5/5	Cell cycle – related genes
Bub1	AF002823	mitotic checkpoint protein kinase Bub1	9.6	4/5	Cell cycle – related genes
Racgap1	AW122347	Rac GTPase- activating protein 1	3.5	4/5	Ras pathway effectors
Rad51	D13803	RAD51 homolog (Saccharomyces cerevisiae)	2.3	3/5	Ras pathway effectors
Rad9	AF045663	RAD9 homolog (S. pombe)	8.6	5/5	Ras pathway effectors
Ranbp1	X56045	RAN-binding protein 1	2.1	3/5	Ras pathway effectors
Rap2ip	U73941	Rap2-interacting protein	2.8	4/5	Ras pathway effectors
Rin2	AI835968	Ras and Rab interactor 2	2.9	3/5	Ras pathway effectors
Rassf1	AW049415	RalGDS/AF-6 domain family 1	2.8	4/5	Ras pathway effectors
Rasgrp1	AF106070	RAS guanyl releasing protein 1	4.0	5/5	Ras pathway effectors
Arhg	AB025943	Ras homolog gene family, member G	2.5	5/5	Ras pathway effectors
Arhh	AA739233	Ras homolog gene family, member H	2.9	5/5	Ras pathway effectors
Arhj	AW121127	Ras homolog gene family, member J	2.0	4/5	Ras pathway effectors
Rasl2-9	L32752	RAS-like, family 2, locus 9	2.8	3/5	Ras pathway effectors
Rac3	AA967636	RAS-related C3 Botulinum substrate 3	10.5	4/5	Ras pathway effectors
Arhgef1	U58203	Rho GEF 1	2.5	4/5	Ras pathway effectors
Rhoip3	AV277546	Rho-interacting protein 3	6.5	4/5	Ras pathway effectors
Atf3	U19118	Activating transcription factor 3	5.3	5/5	Transcription regulators
Elk4	Z36885	ELK4, member of ETS oncogene family	3.3	3/5	Transcription regulators
Etv1	L10426	Ets variant gene 1	2.1	3/5	Transcription regulators
Etv4	X63190	Ets variant gene 4 (E1AF)	4.9	5/5	Transcription regulators
Etv6	AI845538	Ets variant gene 6 (TEL oncogene)	2.1	3/5	Transcription regulators
Foxc2	AV251191	Forkhead box C2	4.0	5/5	Transcription regulators
Foxm1	Y11245	Forkhead box M1	2.0	4/5	Transcription regulators
Fosl1	AF017128	Fos-like antigen 1	9.8	5/5	Transcription regulators
Jun	X12761	Jun oncogene	7.5	5/5	Transcription regulators
Nfkb1	M57999	NF-nB1, p105	2.2	4/5	Transcription regulators
Nfkbie	AF030896	InB epsilon	3.9	4/5	Transcription regulators
Mybbp1a	U63648	MYB-binding protein (P160) 1a	4.3	4/5	Transcription regulators
Nmi	AF019249	N-myc (and STAT) interactor	2.3	3/5	Transcription regulators
Egfr	AW049716	Epidermal growth factor receptor	2.6	4/5	EGF/EGFR pathway
Mapk10	L35236	Mitogen-activated protein kinase 10	2.3	3/5	EGF/EGFR pathway
Map4k4	U88984	MAP kinase kinase kinase kinase 4	2.0	3/5	EGF/EGFR pathway
Mknk1	Y11091	MAPK-interacting serine/threonine kinase 1	4.3	5/5	EGF/EGFR pathway
Scap2	AB014485	Src family – associated phosphoprotein 2	2.3	4/5	EGF/EGFR pathway
Shd	AB018423	Src homology 2– transforming protein D	3.0	4/5	EGF/EGFR pathway
Sla	U29056	Src-like adaptor	4.6	4/5	EGF/EGFR pathway
Pik3c2a	U52193	PI3 kinase, C2 domain containing alpha	7.5	4/5	EGF/EGFR pathway
Pik3ca	U03279	PI3 kinase, catalytic, alpha-polypeptide	2.3	3/5	EGF/EGFR pathway
