Accession #	n-fold change in expression	Gene
AA985754	-2.00 ± 2.31	eukaryotic translation initiation factor 2, subunit 2 (beta, 38kDa)
NM_011339	-2.03 ± 7.74	small inducible cytokine subfamily B, member 15 (Scyb15)
M76601	-2.05 ± 2.28	alpha cardiac myosin heavy chain
BG066923	-2.08 ± 1.72	ectodermal-neural cortex 1
NM_007436	-2.15 ± 1.10	alcohol dehydrogenase family 3, subfamily A1
AI413223	-2.17 ± 2.47	nestin
BB137929	-2.29 ± 0.29	sine oculis-related homeobox 1 homolog (Drosophila, Six1))
AV175389	-2.31 ± 3.11	insulin-like growth factor binding protein 3
BG976607	-2.38 ± 4.13	ectodermal-neural cortex 1
AK014360	-2.39 ± 1.04	keratin complex 1, acidic, gene 10,
NM_021878	-2.41 ± 1.10	jumonji protein
NM_023065	-2.43 ± 0.52	interferon gamma inducible protein 30
NM_013468	-2.43 ± 1.15	cardiac responsive adriamycin protein
NM_013669	-2.46 ± 1.24	synaptosomal-associated protein, 91 kDa
BC018383	-2.59 ± 0.56	Similar to alpha internexin neuronal intermediate filament protein
NM_009523	-2.62 ± 3.96	wingless-related MMTV integration site 4 (Wnt4)
NM_010014	-2.64 ± 2.48	disabled homolog 1 (Drosophila) (Dab1)
BB831146	-2.70 ± 12.42	CCAATenhancer binding protein (CEBP), delta
NM_009290	-2.83 ± 3.45	wingless-related MMTV integration site 8A (Wnt8a)
BB138212	-3.11 ± 12.83	Friend leukemia integration 1
K02782	-3.17 ± 3.06	complement component C3 mRNA, alpha and beta subunits
BB840359	-3.53 ± 1.44	cyclin D2
BI465857	-3.61 ± 1.53	Kruppel-like factor 5
BI076485	-3.78 ± 2.10	ectodermal-neural cortex 1
BM199323	-3.85 ± 3.71	zinc finger protein of the cerebellum 5
NM_013633	-3.89 ± 2.29	POU domain, class 5, transcription factor 1 (Pou5f1)
NM_011111	-3.92 ± 5.95	plasminogen activator inhibitor, type II
X70514	-4.30 ± 1.44	nodal gene, a TGF-beta-like gene
AA796766	-4.35 ± 1.63	metallothionein 2
AV294613	-5.02 ± 5.46	teratocarcinoma-derived growth factor
NM_013602	-5.62 ± 2.31	metallothionein 1
NM_010662	-6.22 ± 1.67	keratin complex 1, acidic, gene 13
BF537798	-7.77 ± 7.93	receptor (calcitonin) activity modifying protein 2
NM_008871	-8.31 ± 2.44	plasminogen activator inhibitor, type I
NM_138648	-9.08 ± 12.87	oxidised low density lipoprotein (lectin-like)receptor 1
