GenBank Acc. No.	Gene Description	Gene Symbol	Fold Change	Gene Function
M13018	Cysteine-rich protein 1 (intestinal)	Crip1	33.58	Immunological function
Z80112	Chemokine orphan receptor 1	Cmkor1	4.91	Immunological function
X52643	Histocompatibility 2, class II antigen A, alpha	H2-Aa	17.8	Immunological function
M21932	Histocompatibility 2, class II antigen A, beta 1	H2-Ab1	8.01	Immunological function
U16985	Lymphotoxin B	Ltb	8.76	Immunological function
X00496	Ia-associated invariant chain	Ii	7.38	Immunological function
J04170	CD72 antigen	Cd72	4.98	Immunological function
AI788534	Ring finger protein 8	Rnf8	11.65	Ubiquitination
M84487	Vascular cell adhesion molecule 1	Vcam1	5.06	NF-?B signal transduction cascades
AF000236	Chemokine (C-X-C motif) receptor 4	Cxcr4	5.04	NF-?B signal transduction cascades
M25944	Carbonic anhydrase 2	Car2	6.51	One-carbon compound metabolism
X67668	High mobility group box 2	Hmgb2	5.44	Regulation of transcription
AF087434	Nuclear factor of activated T-cells, cytoplasmic 1	Nfatc1	18.56	Regulation of transcription
AI852641	Nuclear protein 1	Nupr1	72.44	Regulation of transcription
AK217100	Activating transcription factor 3	Atf3	3.8	Regulation of transcription
L36860	Guanylate cyclase activator 1a (retina)	Guca1	15.14	Intracellular calcium ion mobilization
AJ222586	Nucleobindin 2	Nucb2	9.69	Intracellular calcium ion mobilization
AF035645	Protein tyrosine phosphatase 4a3	Ptp4a3	4.99	Intracellular calcium ion mobilization
U20159	Lymphocyte cytosolic protein 2	Lcp2	4.43	Intracellular calcium ion mobilization
U19597	Cyclin-dependent kinase inhibitor 2D (p19, inhibits CDK4)	Cdkn2d	3.71	Regulation of cell cycle and proliferation
AF099973	Schlafen 2	Slfn2	9.76	Regulation of cell cycle and proliferation
AI852553	Thymosin, beta 10	Tmsb10	4.27	Actin cytoskeleton organization and biogenesis
M60474	Myristoylated alanine rich protein kinase C substrate	Marcks	3.66	Actin cytoskeleton organization and biogenesis
X61232	Carboxypeptidase E	Cpe	4.63	Protein modification
AA189555	RIKEN cDNA F630107H02 gene	F630107H02Rik	8.13	Intracellular signalling cascade
