Gene Name	P-value	Common	Genbank ID	Description
	3.69E-07	DPH2L2	NM_001384.3	Homo sapiens DPH2-like 2 (S. cerevisiae) (DPH2L2), transcript variant 1, mRNA.
	3.65E-07	C10orf27	NM_152710.1	Homo sapiens chromosome 10 open reading frame 27 (C10orf27), mRNA.
	3.51E-07	KIAA1957	XM_065166.2	Homo sapiens KIAA1957 protein (KIAA1957), mRNA.
	3.50E-07	LOC349095	XM_302956.1	Homo sapiens LOC349095 (LOC349095), mRNA.
	3.49E-07	hmm20644	null	Gnomon gene hmm20644 , RefSeq build 34
Hs.482602	3.38E-07		null	Cluster 482602 , UniGene build 163
Hs.469165	3.33E-07		null	Cluster 469165 , UniGene build 163
	3.32E-07	CKLFSF5	NM_138460.2	Homo sapiens chemokine-like factor super family 5 (CKLFSF5), transcript variant 1, mRNA.
Hs.336669	3.31E-07		null	Cluster 336669 , UniGene build 163
	3.28E-07	IFNA8	NM_002170.1	Homo sapiens interferon, alpha 8 (IFNA8), mRNA.
Hs.463343	3.25E-07		null	Cluster 463343 , UniGene build 163
Hs.510119	3.20E-07		null	Cluster 510119 , UniGene build 163
	3.20E-07	HCA112	NM_018487.2	Homo sapiens hepatocellular carcinoma-associated antigen 112 (HCA112), mRNA.
	3.16E-07	KIAA0553	XM_290758.2	Homo sapiens KIAA0553 protein (KIAA0553), mRNA.
	3.14E-07	FLJ11336	NM_018393.2	Homo sapiens hypothetical protein FLJ11336 (FLJ11336), mRNA.
	3.08E-07	LPHN1	NM_014921.2	Homo sapiens latrophilin 1 (LPHN1), mRNA.
	3.01E-07	hmm35006	null	Gnomon gene hmm35006 , RefSeq build 34
	2.97E-07	LOC285429	XM_209607.4	Homo sapiens hypothetical protein LOC285429 (LOC285429), mRNA.
	2.87E-07	SPATA5L1	NM_024063.1	Homo sapiens spermatogenesis associated 5-like 1 (SPATA5L1), mRNA.
	2.84E-07	MGC11332	NM_032718.2	Homo sapiens hypothetical protein MGC11332 (MGC11332), mRNA.
	2.73E-07	LOC387750	XM_370607.2	Homo sapiens similar to SI:zC220F6.1 (novel protein similar to human dynein heavy chain (DHC)) (LOC387750), mRNA.
	2.70E-07	TCF21	NM_003206.2	Homo sapiens transcription factor 21 (TCF21), transcript variant 2, mRNA.
	2.63E-07	ANAPC4	NM_013367.2	Homo sapiens anaphase promoting complex subunit 4 (ANAPC4), mRNA.
	2.49E-07	NVL	NM_002533.2	Homo sapiens nuclear VCP-like (NVL), transcript variant 1, mRNA.
	2.47E-07	hmm29325	null	Gnomon gene hmm29325 , RefSeq build 34
	2.47E-07	SPTBN5	NM_016642.1	Homo sapiens spectrin, beta, non-erythrocytic 5 (SPTBN5), mRNA.
	2.46E-07	KDR	NM_002253.1	Homo sapiens kinase insert domain receptor (a type III receptor tyrosine kinase) (KDR), mRNA.
Hs.478510	2.41E-07		null	Cluster 478510 , UniGene build 163
	2.38E-07	hmm30043	null	Gnomon gene hmm30043 , RefSeq build 34
	2.34E-07	DKFZp761G0122	NM_152661.1	Homo sapiens hypothetical protein DKFZp761G0122 (DKFZp761G0122), mRNA.
	2.33E-07	DKFZP434F091	NM_015453.1	Homo sapiens DKFZP434F091 protein (DKFZP434F091), mRNA.
	2.27E-07	hmm30124	null	Gnomon gene hmm30124 , RefSeq build 34
Hs.463025	2.25E-07		null	Cluster 463025 , UniGene build 163
	2.22E-07	ABCB10	NM_012089.1	Homo sapiens ATP-binding cassette, sub-family B (MDR/TAP), member 10 (ABCB10), nuclear gene encoding mitochondrial protein, mRNA.
