Category	Affymetrix ID	GeneBank	Gene name	Gene description	Fold differences: MMR(+) vs MMR(?): Cancers	Fold differences: MMR(+) vs MMR(?): Cell lines	Classifier
 Signaling	1603_g_at	L33881	PRKCI	Protein kinase C, iota	2.1	2.1	GENES MORE HIGHLY EXPRESSED IN MMR(+) CANCERS AND CELL LINESa
 Signaling	1854_at	X13293	B-myb	Myeloblastosis viral oncogene	1.9	1.9	GENES MORE HIGHLY EXPRESSED IN MMR(+) CANCERS AND CELL LINESa
 Signaling	36083_at	U01160	SAS	Sarcoma amplified sequence	1.8	2.1	GENES MORE HIGHLY EXPRESSED IN MMR(+) CANCERS AND CELL LINESa
 Signaling	1926_at	U48801	VEGFB	Vascular endothelial growth factor B	1.4	2.2	GENES MORE HIGHLY EXPRESSED IN MMR(+) CANCERS AND CELL LINESa
 Signaling	33456_at	U24166	EB1	Microtubule-associated protein	1.9	1.9	GENES MORE HIGHLY EXPRESSED IN MMR(+) CANCERS AND CELL LINESa
 Signaling	32324_at	X57346	14-3-3 beta	tyr 3/trp 5-monooxygenase activator	1.7	2	GENES MORE HIGHLY EXPRESSED IN MMR(+) CANCERS AND CELL LINESa
 Signaling	41220_at	AB023208	MSF	MLL septin-like fusion	1.3	1.6	GENES MORE HIGHLY EXPRESSED IN MMR(+) CANCERS AND CELL LINESa
 Signaling	31536_at	AB020693	RTN4/nogo-B	Reticulon 4	1.4	2.1	GENES MORE HIGHLY EXPRESSED IN MMR(+) CANCERS AND CELL LINESa
 Signaling	41134_at	AB023181	DLGAP4	Discs large homolog-associated 4	1.3	1.4	GENES MORE HIGHLY EXPRESSED IN MMR(+) CANCERS AND CELL LINESa
 Signaling	1814_at	D50683	TGFbetaRII	Transforming growth factor ? receptor II	1.8	2.6	GENES MORE HIGHLY EXPRESSED IN MMR(+) CANCERS AND CELL LINESa
 Transcription	40061_at	D83784	PLAGL2	Pleiomorphic adenoma gene-like 2	2.4	1.7	GENES MORE HIGHLY EXPRESSED IN MMR(+) CANCERS AND CELL LINESa
 Transcription	34195_at	AL121073	ODAG	Ocular development-associated	2.1	2.4	GENES MORE HIGHLY EXPRESSED IN MMR(+) CANCERS AND CELL LINESa
 Transcription	34396_at	AB023195	ASXL1	Additional sex combs like 1	1.9	2.6	GENES MORE HIGHLY EXPRESSED IN MMR(+) CANCERS AND CELL LINESa
 Transcription	34868_at	AB029012	SMG-5	Est 1p-like protein B	1.3	1.9	GENES MORE HIGHLY EXPRESSED IN MMR(+) CANCERS AND CELL LINESa
 Transcription	40411_at	D80003	NCOA6/ASC2	Nuclear receptor coactivator 6	1.7	1.6	GENES MORE HIGHLY EXPRESSED IN MMR(+) CANCERS AND CELL LINESa
 Nuclear	35221_at	X91648	PURA	Purine-rich binding protein A	2	2.4	GENES MORE HIGHLY EXPRESSED IN MMR(+) CANCERS AND CELL LINESa
 Nuclear	33845_at	W28483	HNRPH1	Heterogeneous ribonucleoprotein H1	2.5	4	GENES MORE HIGHLY EXPRESSED IN MMR(+) CANCERS AND CELL LINESa
 Nuclear	36125_s_at	L38696	RALY	RNA binding protein	1.8	2.4	GENES MORE HIGHLY EXPRESSED IN MMR(+) CANCERS AND CELL LINESa
 Nuclear	35682_at	AI133727	ZC3HAV1	Zinc finger CCCH type, antiviral 1	1.4	2	GENES MORE HIGHLY EXPRESSED IN MMR(+) CANCERS AND CELL LINESa
