Gene name	Human accession number	Varambally FC	Vanaja FC	Mouse accession number	Microarray LCB	Microarray FC	Result	QRT-PCR p value
Tubb2a	NM_001069	2.13	2.15	NM_009450	1.46	2.12	Upregulated	<0.01
Mthfd2	NM_006636	1.81	2.47	NM_008638	2.75	3.94	No Difference	0.64
Slc7a1	AA148507	1.66	1.63	NM_007513	1.54	1.2	No Difference	0.85
Sox4	NM_003107	1.63	3.08	NM_009238	2.74	4.52	Upregulated	<0.01
Cxc114	NM_004887	3.85	4.65	NM_019568	1.35	3.29	No Difference	0.16
Rgs10	NM_002925	1.65	2.13	NM_026418	1.22	1.57	No Difference	0.04
Prdx4	NM_006406	1.92	2.34	NM_016764	1.59	2.32	No Difference	0.4
Igsf4a	NM_014333	2.24	2.37	NM_018770	1.4	1.87	No Difference	0.65
Mlp	NM_023009	2.55	3.46	NM_010807	1.97	4.35	No Difference	0.24
Imp	NM_000884	1.58	1.8	NM_011830	1.3	1.58	Inconclusive	NA
