Common name	Description	Fold change in responders	Predictive value	Gene Ontology
SP1	Homo sapiens Sp1 transcription factor mRNA	–1.55	7.68	Transcription
KIAA1267	KIAA1267	2.04	7.43	Nucleus
TPMT	H. sapiens thiopurine S-methyltransferase mRNA	–1.68	5.9	Nucleobase, nucleoside, nucleotide and nucleic acid metabolic process
ARF1	H. sapiens ADP-ribosylation factor 1 transcript variant	–1.55	5.9	Endoplasmic reticulum to Golgi vesicle-mediated transport
SP1	H. sapiens Sp1 transcription factor mRNA	–1.33	5.74	Transcription
NCOR1	H. sapiens nuclear receptor corepressor 1 mRNA	–1.44	5.74	Transcription from RNA polymerase II promoter
CLTC	H. sapiens clathrin heavy chain mRNA	–1.25	5.46	Intracellular protein transport
ARF1	H. sapiens ADP-ribosylation factor 1 transcript variant	–1.39	4.81	Endoplasmic reticulum to Golgi vesicle-mediated transport
CTBP2	COOH-terminal binding protein 2	–1.61	4.81	L-Serine biosynthetic process
MCCC2	H. sapiens methylcrotonoyl-coenzyme A carboxylase 2 (beta)	–1.35	4.81	Leucine catabolic process
DLG1	H. sapiens mRNA for presynaptic protein SAP97 variant protein	–1.43	4.81	Endothelial cell proliferation
SNRPA1	Small nuclear ribonucleoprotein polypeptide A	–1.29	4.69	Nuclear mRNA splicing, via spliceosome
STK4	Serine/threonine kinase 4	1.84	4.69	Cell morphogenesis
REPS1	H. sapiens RALBP1-associated Eps domain containing 1	–1.3	4.43	Calcium ion binding
PPP3CA	H. sapiens protein phosphatase 3 (formerly 2B) catalytic	–1.42	4.43	G1-S transition of mitotic cell cycle
MALAT1	H. sapiens metastasis-associated lung adenocarcinoma transcript 1	–1.37	4.43
