No.	GenBank identification	Cy5/Cy3 ratio	Entry definition
1	M13975	0.038	Homo sapiens PKC beta-II type (PRKCB1) mRNA
2	af115348	0.276	H. sapiens clone JJOL1 lambda 1 immunoglobulin light chain variable region mRNA
3	V01512	0.3	Human cellular oncogene c-fos
4	M57730	0.307	Human B61 mRNA
5	U45878	0.315	Human inhibitor of apoptosis protein 1 mRNA,
6	S65791	0.322	FMR1, fragile X gene
7	X74594	0.398	H. sapiens mRNA for Rb2/p130 protein.
8	m55150	0.404	Human fumarylacetoacetate hydrolase mRNA
9	d79986	0.416	Human mRNA for KIAA0164 gene
10	AF057297	0.416	H. sapiens ornithine decarboxylase antizyme 2 (OAZ2) mRNA
11	X07173	0.42	Human mRNA for second protein of inter-alpha-trypsin inhibitor complex
12	AF038404	0.424	H. sapiens homolog of Nedd5 (hNedd5) mRNA, complete cds
13	D31767	0.434	Human mRNA for KIAA0058 gene
14	ab028974	0.444	H. sapiens mRNA for KIAA1051 protein
15	AF086365	0.463	H. sapiens full length insert cDNA clone ZD66D02
16	D21261	0.472	Human mRNA for KIAA0120 gene
17	x76057	0.473	H.sapiens PMI1 mRNA for phosphomannose isomerase
18	U03911	0.48	Human mutator gene (hMSH2) mRNA
19	U39657	2.202	Human MKK6 mRNA
20	X76981	2.356	H.sapiens mRNA for adenosine receptor A3
21	L12261	2.537	Human recombinant glial growth factor mRNA
22	AB011084	2.577	H.sapiens mRNA for KIAA0512 protein
23	X14723	3.166	Human SP-40,40 mRNA for complement-associated protein SP-40,40 alpha-1 and beta-1 chain
24	X91249	3.22	H.sapiens mRNA for white gene protein
25	AF038953	36.997	H.sapiens E25 protein mRNA
