Gene	Description	MicroarrayID	UniGeneID	Signature
MS4A7	Membrane-spanning 4-domains	AF201951	Hs.11090	14-Gene signature
TGFB3	Transforming growth factor, ß 3	NM_003239	Hs.2025	14-Gene signature
BBC3	BCL2 binding component 3	U82987	Hs.87246	14-Gene signature
AP2B1	Adaptor-related protein complex 2	NM_001282	Hs.74626	14-Gene signature
ALDH4A1	Aldehyde dehydrogenase 4 family, member A1	NM_003748	Hs.77448	14-Gene signature
C20orf46	Chromosome 20, open reading frame 46	NM_018354	Hs.155071	14-Gene signature
C16orf61	DC13 protein	NM_020188	Hs.6879	14-Gene signature
GMPS	Guanine monophosphate synthetase	NM_003875	Hs.5398	14-Gene signature
AKAP2	A kinase (PRKA) anchor protein	Contig57258_RC	Hs.42322	14-Gene signature
DCK	Deoxycytidine kinase	NM_000788	Hs.709	14-Gene signature
ECT2	Epithelial cell transforming sequence 2	Contig25991	Hs.122579	14-Gene signature
EST	ESTs, weakly similar to quiescin	Contig38288_RC		14-Gene signature
OXCT1	3-Oxoacid CoA transferase	NM_000436	Hs.177584	14-Gene signature
EXT1	Exostoses (multiple) 1	NM_000127	Hs.184161	14-Gene signature
